name,country,mbid,youtube_channel
Mighty Sparrow,GD,ab7b79e9-2671-40c7-a540-838f75b0c04e,
Leslie “Hutch” Hutchinson,GD,613c87b2-024a-4e03-b51e-8129f6818e6f,
May Fortune,GD,5b9a1cb4-1ec5-4765-8943-97a83e9187ab,
Slatta,GD,b5205c7f-508f-4e25-bcc2-6e1bcf1fb6fb,
V'ghn,GD,c6ff1710-b21a-4a2f-b849-6bfd15e80370,
Ruiz dB,GD,d58bfb71-3b6a-45cb-9bc9-8589e07d7bba,
Sonnel Allert,GD,f7daac5d-ae96-4738-a828-02b5a9492c52,
Gorine Joseph,GD,5bafb7a5-9c6c-4bf0-9b37-90619b2b10b8,
Willie Alexander,GD,54809c6e-965a-45b7-9ee6-868f7df0d036,
Jemina Joseph,GD,5cf47e9d-96a7-4182-b57e-b9a9b0f839c8,
Canute Caliste,GD,a1d8b0b4-9bf9-49e3-899d-31aefbe14930,
Irene McQueen,GD,511e1815-6ea7-4297-8c3c-eed2454ae3f6,
Charlie Bristol,GD,3270cf0f-9c64-40fe-9548-ad117aadc89e,
Boyzie,GD,a7f65705-dffc-41a5-a54d-b856ba4706d4,
Newton Joseph,GD,204f202c-cde3-4781-8d3c-b9323d5ed5b5,
Super P,GD,d662264a-2696-4925-986c-1d9a675192bb,
Daniel Aikens,GD,aa193e7e-2156-448a-bb71-c739e4d5edf0,
Goodfella X,GD,023d396e-523a-449f-b2b6-03c0de777dab,
Norris Welsh,GD,bab37e67-1dff-4267-b4f7-35499da25c83,
Sugar Adams,GD,03e1c765-b59d-4f81-8ad9-9181b4a4fd5f,
Lil Kerry,GD,d68a019f-8598-41f3-b465-9681f54a1229,
Tida Lazarus,GD,762e31db-4e02-416c-a6f4-780af8f5ab64,
Emmanuel Babsy McQueen,GD,ead39d28-c0fe-48ce-b531-fc5b7b06409a,
Norman Miller,GD,97f91c46-80e9-4ae5-8f47-3e4f716bb426,
Giddon MP,GD,1b27a4d4-19c8-410e-8975-1d44a7e93e57,
Patrick Roach,GD,6cd2a4fd-9bfa-4e3d-82fd-80c59135c762,
Conrad James,GD,f368e664-879e-45cf-84bd-177e82d43ed9,
Sweet Honey Duncan,GD,903120bd-104f-49c9-b683-68717f946ea6,
Willie Joseph,GD,be7f5558-8bef-4d62-8173-8a9d7227fae3,
Chyst,GD,abb70cec-3f12-45e0-baea-cf74ceb28524,
Tamantha-Chole,GD,2ccd1efa-0390-4ced-8417-f0166fb3faa8,
SlowPitchSound,GD,0a65481a-12a6-4566-888e-e188743f06bb,
Virginia Joseph,GD,7c8aada4-5061-46ac-8426-8d5797d16cbb,
Beatrice Dick,GD,db1b2fae-a5c7-4e93-ae3f-c66079474e40,
Joseph Jerome,GD,01a75d2b-3f48-411c-b8e4-de6a5b4c0bbc,
Richardo Keens-Douglas,GD,281710cf-d699-44c7-97a8-cda49eed18f6,
Louis Arnold Masanto,GD,17249f0d-d99f-4e51-b32f-dcdcdf292379,
Patrick Olive,GD,aa66e39c-0d92-4639-be11-8f44ba25a297,
