name,country,mbid,youtube_channel
გია ყანჩელი,GE,33d286c3-7f43-42de-8883-267d35b4588b,
ბასიანი,GE,2b7b73a0-6514-48e5-86c9-550757e5e573,
ცოდნის მფლობელები,GE,24d420fc-f6c8-45be-abe6-e2ea7b0c7374,
Saphileaum,GE,4f85ace1-5257-4db8-9a31-7c55b907ed90,
მგზავრები,GE,802cf3f9-86c0-447a-ad76-70a41e0c8d95,
Anchiskhati Choir,GE,48f73f47-f17a-4137-824f-2dc5d26a272d,
ანსამბლი “რუსთავი”,GE,84476c38-0d12-4a53-9bc0-baf7ea2bb8fe,
TBA,GE,cb33fc9c-439f-4375-bb46-452f281c1970,
Khatia Buniatishvili,GE,fce26bb5-6332-4cbe-88c1-0b324301ae10,
Psychonaut 4,GE,c0c720b5-012f-4204-a472-981403f37b12,
ჰამლეტ გონაშვილი,GE,ff5d1e4f-c773-4c03-8d17-7b442ca65764,
Nikakoi,GE,3cc04f87-14f1-4a7f-974a-be3d91524aa5,
Djansug Kakhidze,GE,edccbd66-4f2e-48df-8dd9-a44d827bb0e1,
Nino Katamadze,GE,74852572-c4fc-4ae0-95bf-6c75af4e301c,
გეორგიკა,GE,e027bb71-9941-4a00-b2e1-e1b66b2880dc,
Nyetscape,GE,abe953d8-5986-4720-849d-37a96fda4881,
Lela Tsurtsumia,GE,eac30d5c-caa5-4feb-927f-e5e526321adf,
Ensemble Tbilisi,GE,eacce6d0-0692-485e-a2df-780cf58a39a1,
The Shin,GE,b2c01708-fb01-41f3-b21b-de4e63f768e7,
RTNH,GE,d13fb844-e6ec-4b49-b8f8-669d64587017,
Insight,GE,206fffea-3aee-4c02-8f89-867ae8f39089,
Silverwind,GE,1fd118de-0949-4188-a5fb-2130caa0b31a,
Gori Women’s Choir,GE,c0bd0280-f59d-42b9-9fe0-9ba44f2182f2,
Или,GE,d1139205-97b9-43f3-9445-d0a014d899a7,
Zedashe,GE,2446e0ea-81c9-416f-93d1-0a96043f6445,
Filalete,GE,b936ae2c-43f5-4b76-ab54-8d40c80d6bef,
Tamar Beraia,GE,57117a88-aeeb-4522-af8b-a932d797abfc,
Nuera,GE,bb18578f-d88a-488f-ac21-8019c665f573,
Nino Gvetadze,GE,a3c654ff-c849-44b0-a204-28f047b3e48d,
zerofuturism,GE,4dd33ddb-eb3f-413e-9234-9a3c48534d76,
Human Is Alive,GE,6497cbb5-0ce2-4d90-8e32-19cffc12b457,
Quemmekh,GE,5dfbb024-68be-48bc-a35a-466e3c883e52,
Vertical Alignment,GE,decbaca8-9d1a-42a9-8118-509cd38140b1,
Ensemble Mze Shina,GE,136d0ea0-7bbc-4f1b-98cd-f4fe7e05050e,
Государственный камерный оркестр Грузии,GE,0c88e4fa-3799-4343-b217-32645c3d1357,
Ксения Георгиади,GE,a625db13-d20b-4552-9f10-296d55473253,
Lisa Batiashvili,GE,4b0f0c8b-d661-4d1e-96e0-eed0f68ef495,
ანსამბლი კელაპტარი,GE,76412a6f-35ae-4804-aa19-313af6cf4c59,
Gvantsa Narim,GE,5be35dbd-93db-42ed-afda-119b9b40db2a,
Sophie Villy,GE,7ae29ba2-45f6-43ca-ac9c-85572c55a993,
Trio Mandili,GE,59010e65-d63d-44d4-b06b-f1809feadc15,
ზაქარია ფალიაშვილი,GE,ba4f18f4-1f44-4a90-bde4-238e8aa9a997,
Vulkanski,GE,ae36d22f-1986-42b0-8ca7-6e659c04921a,
Ennui,GE,7b410645-dd29-41c2-88df-2dd52fe273a9,
Mariam Batsashvili,GE,71e19fff-712d-4a59-b9f7-7efc4fc8c3f9,
Elisso Bolkvadze,GE,0e3d0e49-ff40-4c35-a0a3-4cc507fcd1f8,
Alex Sevenrings,GE,3d86b194-5a69-4006-aff3-cb8480c05b68,
შარა,GE,ab678b5f-0f81-43f8-9e36-9cde2e91551a,
Nodar Gabunia,GE,c630ee1d-195e-49c8-b215-c2dff81eaab1,
dim,GE,9c0c7bba-effa-4f02-a73a-e48eeb4d54e4,
Kobala,GE,1453a5cf-d16c-4239-a941-210f57664433,
ნინო ჩხეიძე,GE,412d71e0-8729-4ed4-a452-d0c1c7a6db8b,
Nyctophilia,GE,bdc7f6fd-ae15-4cff-88b1-7b31f9fc94d0,
Michael & Levan,GE,032b6fea-871f-43bb-9eb6-4615f66e8951,
Angel of Disease,GE,3fd21111-afb6-4a53-abdb-b1ac8f166ef1,
Bohema,GE,902c1253-4051-40a6-9613-e6d944f21803,
Михаи́л Леони́дович Лавро́вский,GE,1b47687f-9d43-4573-8797-0906e40f6c6f,
Of Noah,GE,fb07de45-1a2c-45e9-a7e1-5be8a33a5e33,
Phonothek,GE,ae92ad92-396a-48f5-81ff-2c75cea77908,
Yanamaste,GE,93658435-0d4a-46fb-970a-3ceab8569bf0,
33ა,GE,83b0ba4c-1a76-48a6-af39-954b47cefe35,
Tutarchela,GE,c0d5a98b-1046-4595-9f22-70229cb8f07c,
Vakhtang Kakhidze,GE,da20dd9f-eaea-4797-ad63-5f0dfb86f79c,
წერილი,GE,51d99843-042a-4eca-8302-251745909b10,
Newa,GE,e084ed42-95bd-4ba8-9f1e-7b634d22c2ef,
Liana Isakadze,GE,f93fd7e2-8d06-482d-846d-7f7d55895d3e,
Anasisana,GE,ffd6e2e1-4e60-4197-93de-26950a81fb0c,
Dismyth,GE,4989e97f-5b19-45e1-95ab-479fbd8e53bd,
Mother on Mondays,GE,7f09f605-7b41-41ce-83e1-4634b5c46d07,
Bakradze,GE,c1378593-5c1c-4b3e-baed-894a09fc6e36,
Mix Master Kutyma,GE,a5cdc9a5-3a0e-42e9-a8c8-bcbc1df0ca5e,
Adramalech,GE,58a1250a-c62b-485d-82d6-2e1d9b77208b,
Boyd Schidt,GE,d6375cc1-742c-464b-ae64-1939f2cae7f0,
Okinawa Lifestyle,GE,3d374cb6-7a9b-45bb-bc06-20a2f5c3cef4,
Niaz Diasamidze,GE,c4058977-133a-4dcc-804b-87789fa82cd0,
Pankisi Ensemble,GE,f8e8c024-5a53-441a-a715-f304636b67cc,
Vakhtang Jordania,GE,3749c1c6-02a1-4644-abdf-e3f55cb6a778,
Lomidze,GE,7cdcf34a-9d3a-4958-9ea8-3a5bbbe64648,
Giorgi Gigashvili,GE,f4cad0f1-613d-4dca-8f8b-91f03e9727bf,
ირაკლი ჩარკვიანი,GE,2fa3b88b-cc69-4d89-b341-ef2d6e9f8683,
Vaja Azarashvili,GE,fc544e53-9e8e-4364-ab32-68c80b79d26e,
"His Holyness and beatitude, the Catholicos-Patriarch of all Georgia, Ilia II",GE,c7b9b04b-53fe-45ad-a5c0-4332605c9f0c,
sudo rm,GE,831ed020-fe84-435e-b51f-81b50ab126a5,
The Tsinandali Choir,GE,1f358d9d-4317-4eb1-b869-6ce9706fe9ff,
OTHR,GE,e149b6d6-a746-49c6-8b41-e8902f6a4df6,
Memorial,GE,3e2291e2-db37-48d3-a366-7596faeeb5c9,
A2K,GE,c261f5a2-f12b-4266-a316-c3810fbac056,
Nutsa,GE,c35427ce-89e2-4fbe-9a0d-cef16bbd528a,
Ketevan Badridze,GE,4b49ae68-6113-4a4b-8ebf-81bdf03a369c,
String Quartet of Georgia,GE,ddf7f077-84a9-4305-a4db-468ed35f7078,
Ясность,GE,a2f8fc43-acf1-4a6b-8157-d23924b801a9,
Nino Machaidze,GE,e305f49f-8ee2-4ec0-a1fd-5fa534d6d66e,
ოთარ თაქთაქიშვილი,GE,f50dbf38-a4f4-451d-9637-0f03e55a32aa,
Glub Fizzler,GE,bbb13700-fef2-4df5-b993-1ba8906c2fdb,
Eldrine,GE,9439b776-709a-4be9-95f7-5068fd68e3bb,
ზურაბ ლავრენტის ძე სოტკილავა,GE,caa752ba-16d1-4d8f-b152-77e1a7805155,
Iberi Choir,GE,6c109298-7ee5-41af-8a6a-8286dbe3d550,
Davit Markozashvili,GE,bb09b74b-371d-41a0-98b0-08882bdd835f,
Bellkeeper,GE,ecf9e152-f879-4c92-9444-2900e3568096,
Джаз-трио «Кавказ»,GE,439b3f81-c58f-4af9-8f83-75a26dade291,
Im Nebel,GE,5949ed58-f557-4078-a0a3-03a216fe2c5e,
Yorick,GE,be44c930-e31b-4323-a2a8-7b702532e823,
Ekala,GE,05aa81dc-1833-4f9b-b9ee-f3e8ec593969,
Anton Mikhailov,GE,ea014fec-c8b7-44c9-b9eb-42d04ff8e866,
Gvantsa Buniatishvili,GE,f98b5318-146f-41e5-8dc4-a74c43bf1be7,
გოგი ძოძუაშვილი,GE,c9be6739-895f-4410-83c1-6a35963bfa11,
Mellow,GE,7ae5be07-c57f-4e9a-8404-e47c2fe62701,
Benvol,GE,373f7cf5-9a8a-4b9b-87be-aa636c830fca,
MoKuMoKu,GE,3a75e7af-4b3c-4517-bcb2-b13588e2f60f,
Bonværon,GE,d2167fe5-b48a-4a71-8acb-6d6cdd59e1d9,
Элисо Вирсалазде,GE,6d26ca05-8754-4763-aa9c-8ba7897ba64d,
Ориони,GE,d4a13879-d5fd-4921-b11b-810bf234a541,
სიმები,GE,fd4de918-1047-4ca6-bcf7-6bb7bf860b0b,
Children's Medicine,GE,d5eb90c2-703e-48b1-b2ea-2b3d776f0328,
Solarmental,GE,37ddbeea-b828-4d84-8ef6-1fa1b013388f,
Nato Metonidze,GE,cd455e07-be55-4b83-9d87-2a072772d11c,
Winter Flags,GE,1490cce4-ca4b-4487-b4a8-4cb638ecf272,
Forklift Operator,GE,cef9fab1-b4d0-453e-9132-c056f8a2f493,
Downwell,GE,20c9a59c-d14b-4368-9c94-9fbd7d3e7e5d,
The Hasty Family,GE,2ee44f52-dad9-427d-b2ea-fea4c19dd3a6,
TeTe Noise,GE,dee720fc-ea21-4e73-bb3e-ed7ec823ab87,
Tkivilsaari,GE,c9018fb4-be2f-49b6-9f59-99986f1bd163,
Seraphim Bit-Kharibi,GE,c5323528-2edd-4b3f-af04-70cf5d0bcbc8,
senkodev,GE,df345bff-e29e-4aaf-ba0b-1e70edff92dc,
ერეკლე დეისაძე,GE,dad15207-fff5-49ce-8ece-653949c1b135,
თორნიკე ყიფიანი,GE,a9a838c5-5577-4d21-8f7f-ee57fead51c8,
Bani Hill Band,GE,c679a0d9-b628-4567-8fc3-47d4d7ecdb4c,
Undo Creation,GE,cc1bae3c-353d-40c8-ac78-76205c4047a4,
Valley Lord,GE,b58232ac-6627-43dd-8b2b-e15086dbd453,
Dato,GE,661a4c5b-8853-4a7e-8e44-cad5dafa9c9f,
Georgian Ensemble,GE,39956f14-e70b-44f9-b6ac-6e0f5f6ac85d,
რეცეპტი,GE,f3e28d83-2496-4b4d-8200-ec5216d2ad83,
The Dumbheads,GE,77d6f378-5fc7-4043-86d9-bd026cbdd243,
ანიტა რაჭველიშვილი,GE,fac63e16-91f0-464c-b229-cacf836a15c8,
University of Georgia Wind Symphony,GE,26c87c2b-25f7-49a0-b13d-0f146f549c00,
Black Dust,GE,14325ebc-4159-432a-8d83-ff278705af65,
George Kasradze,GE,70d31f53-83a1-4fe8-9ca8-23cde0b83ac2,
Diabolus Sanctus,GE,79c26ad3-01e0-428b-a6ae-d2f6a54663f6,
მზეთამზე,GE,2981013c-1830-4d86-b3d3-7123b3fc3fe3,
Сосо Павлиашвили,GE,da969dec-81be-4a21-a009-5ecb9f9c93b1,
Уча Гугунава,GE,1eb68701-2e8d-4a56-938b-adfcdf11e1e1,
პრიზი,GE,0fa8c6c2-92fa-4000-965d-2b5857367cbc,
იოსებ კეჭაყმაძე,GE,afcff45e-f297-4d81-971d-9bf3eca4c632,
გოგი ჩლაიძე,GE,cc18400f-ef48-495f-a0bb-bfa1bb62df21,
Choir of Makvaneti,GE,33ce50ae-f167-4936-9fff-44ea85750c9e,
Rusudan Khuntsaria,GE,1f751826-532a-4233-8d73-b20b56608dc1,
WILDCARD,GE,209311fa-6483-48c7-ab83-57c7da331317,
Shalva Mosidze,GE,12937e4c-f6dc-4596-963a-85c885fb0731,
Teimurazi Kharshiladze,GE,3b7edce1-461a-4639-9197-7f8862fe5789,
Ketevan Sepashvili,GE,27e5eaec-83c4-4a24-a41f-f1d578e73a32,
Гюлли Чохели,GE,4b26d3ef-e986-4f26-a8f3-de91d7c32ccf,
Akvsenti Megrelidze,GE,0085bce8-00a0-4b68-8d4f-dcc724f8d1cd,
Megi Gogitidze,GE,068bacb4-3f32-44fa-8d1c-d2c6bcbdfb48,
Hecate Legacy,GE,1d66f07b-341d-4133-a64a-9ba526e5a05a,
ბერიკონი,GE,edb34706-6f72-4420-8418-010ad0c759b3,
Les Soeurs Gogochurebi,GE,3ad82bad-4428-45ae-8744-898d45a921da,
Choir of Guria Province,GE,35c6071f-af4a-49d7-a20c-ae42c2277967,
Ottonian,GE,8ab6d35c-ea00-49e5-979a-9044439c6c57,
კოტე კალანდაძე,GE,389d45b0-9102-4bac-a1b9-f49308ba1cd1,
Choir of Tbilisi,GE,4d3b906c-f412-41a6-a2de-d583f5342b33,
ნიკა კოჩაროვი,GE,9a912bb1-e01f-475a-937e-e5980cd7bf7f,
Marooned,GE,f24b3cab-5622-4a5d-bab4-6f0d85e7b052,
Tamás Batiashvili,GE,d477f43f-a986-4672-b40a-0a788f3e3886,
Adyta,GE,167defb6-8bb8-4205-bdc8-4db839dc1f9e,
წინანდალი,GE,daf372aa-47aa-4e42-af6a-94c847ea6792,
Государственный ансамбль песни и танца Грузии,GE,0175d51b-4862-4f71-9144-8237d4e23c15,
Kordz,GE,7cc845eb-794a-477a-80b6-f555793ef38b,
მძღრენი,GE,9895bbe4-edc9-41cc-992a-c00eaa239c1d,
Misha G.,GE,8b09ae98-24db-42a3-8480-7fd08b29bfc5,
Nina Sublatti,GE,9dd99a09-eb41-4f31-a81d-6c4a31078952,
Константин Меладзе,GE,33fdf20c-fe89-4e7f-be61-bf64a61354da,
The Forest,GE,7c6c5281-8ab7-47a6-857d-279d965d3c14,
Stella Grigorian,GE,5d33dbec-231d-4e41-9047-941966755528,
ოთო ნემსაძე,GE,11399350-94b6-4e02-9938-4b6cd9bbf0fc,
Iriao,GE,256d2478-f475-42dc-97b8-fd7ae1b06193,
Circus Mircus,GE,1d1c2395-2a52-4df1-849c-593235182fb3,
ნება,GE,12c1f7a7-377d-4a95-a1d8-195c0500cc27,
მარიამ შენგელია,GE,3dc4735d-1354-4519-90b9-0faa9630457a,
ჯემალ ბეგლარიშვილი,GE,07fd02d4-1b2f-49cc-b1e2-b4fdca6457f9,
Jenny Anvelt,GE,0c9d4cc9-3f4a-4b19-9373-4fef34fc022a,
მარიკო ებრალიძე,GE,9b9b9ed2-ce50-469c-857e-ba430eae153d,
Violetta,GE,ade77af5-bdff-422c-9565-18bee4eb720c,
Georgian State Merited Ensemble of Folk Song and Dance,GE,2d48cfa8-baad-4e76-9e61-58884a493f63,
Alexander Korsantia,GE,8c0d7c52-785b-4f12-ae26-d5fe7258d21a,
Tekla Sulaqvelidze,GE,683b0bae-c4a8-4721-87aa-9cb9ba3e5547,
Sandro Kakhetelidze,GE,8619441c-887a-4215-9732-cd12edaa1992,
Mariam Romelashvili,GE,58751901-4e34-480a-a71f-8f6bd7edef35,
სოფო ხალვაში,GE,63a99d96-7637-4e5f-9c37-5491a08c702a,
Bzikebi,GE,a912c6b1-6906-4674-97ec-c3731da85974,
The FunKids,GE,730aaaa1-c49d-4185-8f36-0ce4b481f793,
Princesses,GE,d741affe-5e14-485a-9a26-30255a4e2cc5,
Natela Svanidze,GE,844b5129-ae8b-4c15-9442-1f7e2a0b79a5,
Tbilisi Festival Choir,GE,f41015be-59e5-44d0-a2eb-094710811b45,
YT,GE,70cf53b1-9aeb-4772-88ac-fcc37a706477,
Anzor Kavsadze,GE,6d0ea49f-a9f7-4fac-b502-5058292eee43,
Choir of Upper Aketi,GE,31b3f52f-f525-4bcb-ab30-88a93525286d,
Choir of Kutaisi,GE,340146d6-e06b-4ea0-9676-d6c4559ab29e,
Matthew Tucciarone,GE,6834160c-a355-43a9-8603-4ca7564f6340,
БЫАТУШКА,GE,f3bd10de-70b3-4183-a688-e29e71ad22a1,
Folk and Liturgical Choir of Tbilisi,GE,6e2a3756-d8d1-437c-b97d-89b33c7cc90e,
Kohf,GE,6057e4ad-cd8b-4eca-b3d5-cb88fedc5753,
Folk and Liturgical Choir of Tbilisi,GE,6e2a3756-d8d1-437c-b97d-89b33c7cc90e,
Choir of Shilda,GE,4e034489-a720-4002-a8d3-e9335c397703,
ეკა სურმავა,GE,38069e6e-0faf-4cef-8abe-51f76de353e5,
Anathema,GE,676bd3fb-5e69-4dfe-b1f0-d0f30b747844,
Tomura,GE,58d13d18-9886-413e-857d-89e0630e3bb3,
P.Y.M.K.,GE,aac320c7-e8c9-432b-b160-7c28f79dfa21,
Эстрадный оркестр Телевидения и радио Грузии,GE,0482ab10-9931-4ace-931b-bdc984bcb4a0,
IRU,GE,9356dc8c-4b0d-442f-bae1-5e49cb8f26bc,
David Osipov,GE,345819dd-e878-4a1a-8544-e3c75a110e4f,
ANARQIA 18,GE,aa9dc355-14bf-4500-801c-c73d5c250d4e,
Leo Kodian,GE,e0d54823-4cd0-4561-9629-b0a89a8c2787,
"""Alpha Wolf Kodi""",GE,52b08caa-e934-46bd-9234-70aae0385b27,
Mtiebi Choir,GE,955d026e-e079-457a-8697-535d486a202f,
Instant Function,GE,58e4ca1c-4d55-4f77-814d-25dcd8baa086,
East Duo,GE,f4f0e36c-5914-4433-9b08-6320b92e1084,
Elfenxiety,GE,85870e09-a86a-4511-a0d8-5254a0d2f202,
Liana Purcell,GE,672e8bf8-0292-47a7-b341-da0135a7d5fa,
Fazisi,GE,ba798f8e-31b9-4083-b423-fbc6a18064b9,
Candy,GE,f8018fb9-c66e-4bbf-aaf3-784244890c43,
Young Georgian Lolitaz,GE,7609401b-4de0-486a-ab55-9b3f1df1186e,
Lizi Japaridse,GE,4aecc55e-a21f-4373-8df0-92d7520e90ab,
Underskyz,GE,f5a33c04-a07d-40b4-ae17-7fbd0ef8b5ca,
Tamara Gachechiladze,GE,0b9ea1e8-72c0-42ef-b1bd-99b0aecfd33d,
საქართველოს ეროვნული სიმფონიური ორკესტრი,GE,6c6392ed-4af6-4509-b299-d59476417cd5,
Salome Esadze,GE,04a78ca5-2ca0-4e25-94c2-425d69b13eb4,
Lali Gogidze,GE,c212685d-1b94-479d-af3d-ac0faf0a1189,
AVTO,GE,3016bb2c-e559-4dda-9f5e-39dde344120e,
Nana Gordaze,GE,d6649603-be43-4903-8d03-5b7add3c3cb2,
გიორგი გაბუნია,GE,da56fb06-ef56-4e75-93f1-942231602809,
სოფო გელოვანი,GE,470e3d42-41c3-40e6-b0ce-8ad9fcc2dac3,
ექვთიმე კოჭლამაზაშვილი,GE,76301734-f7f1-45db-9ee7-afa156398cff,
ნოდიკო ტატიშვილი,GE,7e5f4e0a-1c64-42b0-a61f-edd3e42f1b3e,
Alexander Bakshi,GE,9924c8ea-62e2-416d-b08a-5bedbb33f30f,
The State Symphony of Georgia,GE,35268b49-d6cc-40ef-aa89-ccbada35de3a,
The Georgian Radio Orchestra,GE,cb46e363-6f68-46ec-81bb-b67f1a1d666a,
ალექსი მაჭავარიანი,GE,a8d029cd-1cc4-4846-9f75-5bcbba34655d,
Loudspeakers,GE,362e0d18-c97d-4400-b736-72ad5e45dab5,
Otar Gordeli,GE,bea030f0-00d0-430a-a1d6-a880e3c15237,
Minago,GE,cc1b6c62-446c-4c2a-aa0a-a2d4d0d6a8c6,
Teona Dvali,GE,2f50f91d-c47a-4863-9071-703928a6ce68,
Манана Тодадзе,GE,28ebac3c-8635-430e-9dd5-5668a9b29114,
H2SO4,GE,84017e73-0f16-473a-ad2c-dbadec7724c1,
Giorgi Rostiashvili,GE,fc80f583-26ec-4284-98fe-50abcdaa56e3,
Irakli Kakhidze,GE,7472c9e8-3e5a-44f4-b194-6824169df2a3,
Hanker,GE,d194dc5f-bff8-444d-845e-21f632abd340,
Mariam Roinishvili,GE,dbfb669f-f733-4ae2-a651-376f78d40389,
Mess Montage,GE,6d032a14-f196-476d-872a-071b76f30926,
SSeq,GE,229e505d-aa5c-4f89-a02e-b920cfec94d8,
Ensemble Kereoni,GE,2c5a32ca-9297-4828-9ca8-f4e876c4d20b,
Georgian Radio Folk Song Ensemble,GE,36ecc1f2-3491-47c0-9bac-3f97f7c844c7,
Zura Gorgadze,GE,e90a441e-8475-4409-84b2-8a9fbff705ea,
Georgian Strings,GE,550345f8-b329-45d6-af84-d2d953692a53,
Nia Kharebashvili,GE,9d392ca5-5cd2-45e0-90f9-ade12b577fcf,
STAOX,GE,1bfbc7af-c4a5-417d-a165-d6c5b6e809da,
Stephane & 3G,GE,d9489008-9928-4adf-8ada-379df786faaf,
Niko Kajaia,GE,5bfe5547-639d-4462-b20f-7ba2b47e6bf8,
Andria,GE,e4b3ee9a-b68d-4714-b905-db6157e22d36,
ზაზა ხუციშვილი,GE,fd0d5875-e8a4-4b8e-99d6-533ba57dd0d1,
Grigol Kipshidze,GE,f9a51b69-3091-4faf-b9c3-44e70da1e809,
Mariam Mamadashvili,GE,be49d762-5644-4cb9-9166-f35e2ccce733,
Doda Paliadze,GE,37a95428-6a21-4080-84fa-2ee05ae5c2af,
Anastasia Vasadze,GE,231b798b-246e-48d9-9766-628f4fa3b792,
Ranina,GE,234879d0-fc5a-47d3-9b52-e44d6680fe2a,
სეიშენი,GE,d96c2233-4c5f-479d-9b47-6fa58727cfe5,
The Virus,GE,dfd971e8-cc99-4065-bbad-ac6d39895281,
Mariam Bigvava,GE,9f1e12dd-78d3-4f7a-85a3-8962fb227b7b,
ჯიმი აბესაძე,GE,eaad587e-9059-49dd-a9b3-7c9d77ec3fb9,
Iron Qazt,GE,d7e1d105-cd88-4ddf-ad56-e2959e964c1c,
ლამარა ჭყონია,GE,3c081e4c-b937-4a57-8915-fab6a628019c,
Patriarch's Choir,GE,5dbf479a-9e39-44ec-ae5b-efe21d97a2d0,
Hatuna,GE,9b6aea1a-fd7f-4cfb-b88f-551aea527f76,
დემეტრე I,GE,4f067e6a-f8f1-4482-ba73-e7e1bcb6beba,
Mciri,GE,5de77944-a53d-433f-814c-c84e610952d9,
"Фольклорный ансамбль ""Гурия""",GE,1b7c0e95-6648-4aaa-97e6-b2237c3c387e,
Арагви,GE,9b92fa42-cfb3-48e4-af5e-e5f4c310bbca,
მღერის გორის ვაჟთა გუნდი,GE,7a594cf5-0bc8-4ec6-88c5-d708996b3913,
Оровела,GE,475513cb-ab9d-468f-8c56-d7e65b3ad854,
Вокальный ансамбль п/у А. Карселадзе,GE,7156e8fa-d647-4601-a34e-83cffdd82115,
Отар Саганелидзе,GE,465e0720-b7b3-4a5c-9329-5e200d131dc2,
Отар Маградзе,GE,c340a207-c852-4b7f-a26a-f6a79cd55024,
"The ""Lileh"" Choir of Dmanisi",GE,46594f3f-c31c-47f5-ba58-efaa39d294ac,
T. Blues Mob,GE,02097d2e-165e-4952-aa82-de3879ce43f7,
MVMNT,GE,0fcc3e64-0a6a-41d8-838b-78060faeb789,
ალექსანდრა ფოცხვერაშვილი,GE,152d7e9b-be2e-496a-9065-953633ebb11c,
Trio Mandilii,GE,9460cf0d-0221-44ba-9b9d-7a830fd99ec4,
Helen Kalandadze,GE,ee341e2e-90b3-4110-bf45-4b4f549086a7,
Georgian Radio Chorus,GE,0c877735-d001-4ca8-8044-d23443d1e1b3,
Ziad Aliev,GE,43260180-f578-4f92-808b-06e7743feef7,
Archil Ushveridze,GE,4ee28ec7-c310-4fd4-b414-00ac7c1c4e1b,
Georgian National Choir,GE,e61709ea-be31-4b68-85ad-87d45aebdbd5,
Marina Goglidze-Mdivani,GE,b0e7f901-ba58-48ae-9731-b91cb6a71e9e,
