name,country,mbid,youtube_channel
Edith Lefel,GF,ad386f9f-6d5b-4bbe-8bbd-7d5f249b21a7,
Chris Combette,GF,55528cfb-9882-4083-89ea-4130753416ec,
Tina Ly,GF,90f0c143-f269-4209-98ef-2e9d136e2901,
Inspiration,GF,1b9955d3-b3c7-412d-9c02-843efee551d9,
Prince Koloni,GF,6a2061ad-84ed-4ca8-ab56-352e47aae93d,
Xavier Harry,GF,ba64b60e-2699-44f0-b3af-8234290aa4f0,
Faux Métier,GF,16502ad4-a350-4a09-be4b-12c9a3c59b5b,
Jahyanai King,GF,41197c28-fb7c-4206-a2b9-b00ab9bd0b5a,
Pearl,GF,089663a2-829d-4e78-9ac1-8b011525e628,
Pompis,GF,2d153dfe-b58a-4e1d-9c4c-e7c892a7cf26,
Erick Romney,GF,517d1008-2759-4482-8fa2-a47ea99b9418,
José Ultet,GF,0ca16479-f905-4bcf-b7df-f89cf3aa711f,
Marie-Laure Garnier,GF,90cc670d-f022-4dcf-9606-4f9f7f2eb70f,
Bamby,GF,ea5bf14b-7421-49a0-9132-e938f09dc0d6,
Little Guerrier,GF,1bbf582d-5d3b-4671-87e2-1502e0dd9afe,
Maxxy Dready,GF,563b5f02-a81c-45e4-9cfc-601d7736311c,
Saïna Manotte,GF,ca5d25fa-c978-44bd-8085-d1f19a1bc73f,
Ti Coco,GF,5d460207-81ab-4008-870c-2b5ae0481edd,
Philippe Bonnaire,GF,80dda185-0f52-459f-950b-609a21bbb964,
Sugar Kawar,GF,5a7248a0-c1c7-40cd-8aa6-45c37ad1ecd0,
Duo Amazone,GF,f910eb81-2d88-424c-8a2a-f0c7e6c21c70,
STR-8,GF,4bf2fd90-9661-43e9-b110-104c06f7adad,
Louis Caristan,GF,732c76e0-3334-4334-bd84-05f560a1bac5,
Régine Lapassion,GF,cca65465-69c0-43b4-a833-e4b56d6851b7,
Tonton Jo,GF,d98561f8-9177-48a8-804d-438b82b05b3c,
Wapa,GF,05d47496-6483-4d0a-a912-8efbcd305f9e,
Josy Masse,GF,635e246f-e5d1-4894-9a2e-e593238b9124,
Aruhna,GF,f425c1b3-45af-472a-a581-bd879a7fa6ad,
Patrick Marie-Magdelaine,GF,84a161e6-6284-485f-9f0c-608296e275b6,
Accousti'Cordes,GF,39c3ef77-9e9a-4e16-aad2-626e65c252d4,
Quéquette,GF,66559198-15fa-40e7-9d7f-842d14e1e70d,
Murielle Flériag,GF,2d085f30-020e-43bb-a664-17c1a3139306,
Tony Monrose,GF,891e89c6-96a6-4152-97bf-c1b963ad3abb,
Palô,GF,a7009674-0cac-4c34-9407-064afd14c1a5,
Nadège Chauvet,GF,b9114c24-1d2f-41e9-9270-42b97ed03ce3,
Edma Rusland,GF,eb998a6e-b932-4d9b-96ad-3cac6c2a1462,
D'lo Coco,GF,ebdf634e-961b-4f53-aad4-74c9676cb7d5,
Nathalie Soussana,GF,4bd72478-e8eb-499d-a7e1-4a4fd141438b,
Aminata Saint-Orice,GF,af6dca7f-feef-4f65-b355-25249b039016,
Sweet Time,GF,bff55f10-5c41-469f-88a9-c8da92fbaee4,
Jornick,GF,27b6a115-34ce-42b7-83d5-57480d2076f9,
X-Larnak,GF,656ecde8-95c7-4999-8ca4-69b68c41d03a,
Tutus de la Guyane,GF,3a855839-c676-4ec5-8176-bc4c9ffa3593,
Léon-Gontran Damas,GF,df8dfa19-b7f0-4c20-8626-def72a1ac0a4,
Iliana Oder Bannis,GF,76c1bb6b-b096-4083-8d35-4c4c8e1dfa75,
Djingo Typical Band,GF,70f30ebd-8f69-4858-9207-76068b68e5df,
Langaman C,GF,dfd693dc-76c5-40fb-a3c0-321c80e8bb21,
Lalyx,GF,a2eab2ac-6549-47f4-96ab-092b08b760cc,
Wayapi,GF,69b3f05d-2787-46a7-93e5-dd8c911cd8f6,
Gaston Emigré,GF,a88b8400-0f2f-4fb4-abbb-199ee46f0199,
Orlane Jadfard,GF,dc07bbb9-303b-414f-ab9d-95dc9865616e,
Clara Nugent,GF,af7bc279-d494-4cc8-8bcc-5a481c2f22a0,
ProfA,GF,8365e4ae-aa58-4a9d-a2c9-b85ae30dc733,
Vagabun D,GF,8e4bc709-7ae8-43b0-b6a7-c114630c4fae,
Emile Romain,GF,630026d7-3e98-4a46-ada0-6c45d28d91f3,
Louis Bannis,GF,126cbcd7-2dc6-47ca-8baa-9efab1af70e6,
Michaëlle Ngo Yamb Ngan,GF,9076c428-ce64-49df-8d9c-d89c6c01b9f8,
Fabrice Pierrat,GF,5b7f082a-1666-4842-9321-2959192b83aa,
Eric Valérius,GF,89c4c3c1-043e-45c2-b6e7-2d400f265f20,
Hortensia,GF,8df09e40-d985-45a2-8903-0b05898ad78d,
Loonah,GF,4b3b9059-d774-4f9b-bd83-640d00bed20a,
Ann-Klod Daniel,GF,5d46eaea-67bb-4a21-9fa8-a02cc50c3c0b,
Harmonia,GF,035519be-389b-40db-90a0-827f7f101450,
René Jadfard,GF,59314046-8783-4cf4-af61-6ab699886946,
