name,country,mbid,youtube_channel
Ebo Taylor,GH,8b034085-b06d-4c42-9be3-d709be169d79,
Blitz the Ambassador,GH,290dc7b2-a2f6-4b5b-92c7-f8cf875d057b,
Gyedu-Blay Ambolley,GH,ad93763f-9bab-4a3f-a476-22fc9504bef3,
Pat Thomas,GH,6dd5fc2d-980f-4f5c-8988-e3f83b1a5f27,
The African Brothers International Band,GH,642d39f5-f246-44a3-836b-de4ea4cc9978,
Kobna Holdbrook-Smith,GH,5b6bc137-4131-431c-90e7-e75c050f6afe,
R2Bees,GH,2cce847d-0d48-488d-8a51-a203808391f1,
Iwan,GH,91037a8b-c604-43a5-b6a0-6342f4e84a31,
E. T. Mensah & His Tempo’s Band,GH,e81c7ff1-0875-442f-bca5-17e61cf63117,
Rocky Dawuni,GH,bb7754c8-0de2-4047-bdff-e325d6b044d1,
Adjiri Odametey,GH,50b04b62-d4d5-4f32-b3d3-7e05304c30c9,
Amaarae,GH,29fab96f-c3a2-4251-80f6-7ccda50da706,
Guy Warren,GH,f75edd37-b007-4a95-8916-0450d51c8f58,
Dr. K. Gyasi & His Noble Kings,GH,b7e30194-3cc5-4cef-828d-c80b822e04e8,
Daddy Lumba,GH,ed741de3-b8f6-4e4a-9455-6397c09ed5c5,
Black Prophet,GH,b6218e23-f706-4cac-a986-0be72f459d83,
Wanlov the Kubolor,GH,352c14cf-4da2-4548-b1cd-23af6eda5a01,
E.K.'s Band,GH,8edde54f-bd93-4c3e-99e6-e293bee0566c,
King Ayisoba,GH,f2de09ba-32cc-4df1-ba34-123aa79f41f4,
Kiki Gyan,GH,a673bef0-63d1-403b-ac20-474dbfc38d86,
M.anifest,GH,c68b0d91-26ad-4945-bfea-b16ce3bbfbc0,
Reggie Rockstone,GH,1b54f3c7-ed24-4fd0-be86-bd2a669850a3,
Vis-a-Vis,GH,57a48277-95e7-4968-99e5-b2a23801cfde,
Sweet Talks,GH,8ab70dc3-99b9-4058-96c1-008297f6406d,
Rob,GH,82537a62-9500-452d-af55-e6032a94134d,
Marijata,GH,09435962-d4bf-4b99-bec1-44c1d82a845c,
Sarkodie,GH,6f937dd2-1aa8-49ce-9052-8127714db3d2,
Paapa Versa,GH,045a0a2c-aede-43d5-85be-6b1a989288c7,
Stonebwoy,GH,e5b5f58b-21d9-4fd4-8ed0-01e8eaf4b4ac,
Kyeremateng Atwede & The Kyeremateng Stars,GH,d955975d-435c-44c4-9a61-434f78687b1e,
K. Frimpong and His Cubano Fiestas,GH,a81d235c-6f0e-491e-9f90-d71523a3fa2a,
Atongo Zimba,GH,1b3c86ff-51c2-44f2-88df-b4cf1e069d01,
King Promise,GH,ece0d907-4872-4404-a5b6-502067f23076,
Sidiku Buari,GH,47b1bb47-deda-4bfd-b9f1-22a41887265a,
Nana Tuffour,GH,b86d9303-007c-4a3f-874f-8dae117c572d,
EL,GH,9ef4c1d2-0b1c-41a7-b0bc-87b658d71001,
Blakk Rasta,GH,6d569ef5-c65d-4a31-bbd4-dabd126f80cb,
Paa Kow,GH,5c88daa0-9ff8-42da-98b1-3d4ae7b6a52b,
Okyerema Asante,GH,714f69e3-7dc3-42f5-8a4b-a96b5215d8dc,
Kakaiku's Guitar Band,GH,0186122c-85c0-48b5-ac10-463b9cd063c5,
Rebop Kwaku Baah,GH,7d003695-15bc-43f5-b5f2-c06829c9b8c5,
C. K. Mann & Carousel 7,GH,3887ba8d-3f36-4be4-b4bf-6231a72ee3f9,
Rex Omar,GH,fe1080b3-6d9d-4c43-9344-f67c3952e5ed,
Ata Kak,GH,85624ba0-cbb1-47ed-97b5-6676813edac8,
Black Sherif,GH,d9fcecbd-49f7-4467-b70b-3e3267fca7ce,
