name,country,mbid,youtube_channel
Telan Devik,GL,dbcae2a9-cf48-4b7b-93d8-8989c345d3b3,
Julie,GL,4b3392b5-704e-461e-95a3-da8e94c9d4e0,
Sume,GL,dc196b08-3091-4d4f-84b1-2d2eea8e10ba,
Liima Inui,GL,e2b4ff2f-58cf-4fe4-a677-7e843fa74c65,
Nive Nielsen & Deer Children,GL,c1aaaa03-06b5-4a2e-8cc6-9b751b05b8cf,
Enok Poulsen,GL,649b12ae-7112-4e87-a304-4845077b665c,
CYBERN∆ZI,GL,afdefc96-8ce2-44ec-8db9-06afac46549e,
Nanook,GL,2a254935-4df2-41f4-86e4-bb768475f64d,
The Eskimos,GL,db7cef67-c141-4f30-a451-bbfc68593747,
Bipolar,GL,b2fdfeab-f6c8-4d53-b56b-b9515fddd69c,
Dr. Shinto,GL,7769a1b3-0bad-4aed-b293-039bd9ef5dbb,
Mariina,GL,26514adc-61aa-4580-a13e-54cf3ab10197,
Stromptha,GL,47e8a836-69f3-4b38-8962-694093a0cf06,
Zikaza,GL,bd3820e7-5b64-4df3-9329-37b74142e193,
Arctic Spirits,GL,18e10de3-ef50-4f1d-b4b8-af0436af9551,
Dida,GL,c4856e50-e771-4cce-ae42-f4ff7307c8ea,
Tomba,GL,a07ce6ed-2be7-46f8-a918-b04c03a34fb7,
Louis Andreasen,GL,1460c785-ddd7-49ff-bdf7-8d8f22b122e7,
Rasmus Lyberth,GL,0a7088fd-31a8-41f4-8def-9777fd76c3a3,
Hans Lange,GL,6e41bed5-f3fd-4b8c-b149-6282d901b21d,
Pukuut,GL,2d35af22-72db-4b62-961e-54ca977112ce,
G-60,GL,935a7b28-5b0d-474e-93d6-0e2cf439fe11,
Dida Geisler Heilmann,GL,c0c27fb2-c820-48d2-91a0-6d16a69e7364,
DDR,GL,28d021b9-c7f3-4fce-a2ba-290703fccc45,
x-it,GL,8596a813-d1cc-475e-ae95-1f6cb778d2e2,
Moonlight Drowns,GL,d10478a5-ccbe-4722-a953-aae50787bdcc,
Rockstones,GL,52306b8a-566b-444c-9d78-8c95cb5b9c17,
Juliane Mouritzen,GL,b01569b7-31d9-429e-ab64-1c7c58e1df65,
Isit,GL,b4e4e209-80bf-433a-b49c-b63700fd9092,
Tûtu,GL,fa9f2691-c15e-481d-9e03-cf54aba792fa,
Sound of the Damned,GL,2949f8e1-27d0-41e7-ba9e-dd286ce39d14,
Serrat,GL,eb848060-9b9c-441c-a61c-fd7f9b8f2b1a,
Happy Face,GL,9c97d10a-cbd1-40ba-8a34-5f2291a9094a,
Taatsi,GL,a7053bde-e3a6-46f3-8646-72e64b92c208,
Inûterssuak' Uvdloriak',GL,d1f8a19b-4259-429b-963e-677a5cde6bcb,
Inütek' Napa,GL,4419bb15-7e2c-4e18-b41e-7f3ae1d6b29a,
Kigutikak' Tunek',GL,d1e02ace-cbde-4f3a-a1ae-1fb3f5d8a6e2,
Uyarakq,GL,f0163f3b-34de-4944-9349-53aa8c6106b7,
K'iwingatāk',GL,cd4fce6a-c339-440c-845e-9ccf748e284c,
Imîna Imîna,GL,8204867b-7864-4add-ac22-f1d5355af561,
Inngeratsiler,GL,00406119-94e6-460d-9cd9-d71b81d5a277,
Nive Nielsen,GL,ffd63f5a-fdab-4046-96cd-292ed0667d58,
Juno Berthelsen,GL,8e1d40f4-b168-4a67-b0e4-a55fb3c2069d,
Martin Løvstrøm,GL,0679f275-43ba-4819-b68d-69188cc38071,
Finni,GL,15d13494-4544-4590-b391-37c3690d87ba,
Rasmus Maratse,GL,67c2b0e6-f08b-4e14-a0a7-29e3e3607f01,
