name,country,mbid,youtube_channel
Laba Sosseh,GM,d3751278-462c-4bce-afa7-0ac9d36577ba,
Ifang Bondi,GM,6f35b288-990c-492b-b7c7-819c741408f2,
Super Eagles,GM,03ca39b2-8195-416a-bc94-9621ba4e3f24,
papa mbye,GM,362a8911-35e2-484a-a1bc-66f982f355ff,
Alhaji Bai Konte,GM,03e7855d-430f-4682-8cd0-1a7ad3f962f3,
Tata Dindin,GM,4d737cc8-1336-459f-89b3-522965adc35f,
Dembo Konte,GM,a5178f21-fb9a-43ed-ae77-e5e46f8cb5b7,
Jali Nyama Suso,GM,3eda4fb6-7b5f-464c-bef7-df8c4cd502ad,
Juldeh Camara,GM,772decc8-ff8f-4b93-92bf-e414529a9338,
Malamini Jobarteh,GM,fc13c1ab-07c7-41fc-a562-38b9bc917f40,
Susso,GM,ccf30247-7211-4297-95de-9b1eed5f4f1b,
Specialist,GM,24396a67-c28c-4b8e-8db0-bfa7c96f9cfb,
Bai Janha,GM,fa2b6fca-f895-4ff0-a2a0-741e643f9eaa,
Ismaila Oussou Njie Senor,GM,73498b3a-9c43-43df-b253-25d37daff41f,
Karantamba,GM,85d8d608-0dcc-49e8-a35a-3d4c5bcfd3de,
Pa Bobo Jobarteh,GM,fdae302a-46fd-4c3b-a86c-64e304f271a7,
XamXam,GM,64323ac9-d143-4d23-b895-a7859baf9de3,
Amadu Bansang Jobarteh,GM,290acb6b-f530-443f-9d30-8d931050e7dc,
A'Tic Silva,GM,29edb3d3-8c22-4a24-a6b1-7779832f742f,
Yan Kuba Saho,GM,215fd747-9d99-4a63-8a8e-919fabfc9ffe,
Muhamadou Salieu Suso,GM,472ac3a2-6e0a-4dca-b2c0-481a0dd7540c,
Konte Family,GM,5ae7352d-9efd-4101-b3a9-92bcdb1d9b89,
Oslo Bieang,GM,1c07c818-feca-404f-b405-cf429a7a39c5,
EBROWN,GM,1455928c-4245-4874-b675-7d892187d786,
Muhammed Dibbasey,GM,1f502239-4499-447d-86ae-a6e843729d98,
Daniel Laemou-Ahuma Jatta,GM,2e626566-c094-40d7-8d26-4df108b44cb6,
Oslo Biggie Bieang,GM,82adb90a-c159-47ec-8d24-c3e5e87e3c89,
Gillen G,GM,77826361-84d5-4276-aa45-59ce6cc28a8a,
T'Angle Musik: Lions of Africa,GM,04bd9e5b-db88-4820-ac1f-9f1fefdb6afe,
Sanneh Kuyate,GM,6844aa05-a597-4790-aceb-85bcba903f51,
Amadu Kanuteh,GM,92ad7581-7afa-471f-ac39-f3c4c37143a9,
Tata Dinding Jobarteh,GM,5a17b92d-f53d-43d8-be86-5e7db1dac631,
Jaliya Musicians of The Gambia,GM,579b65bf-b8c2-4f04-94ce-36bebdf701eb,
2Pac Welly,GM,daa6697f-d2a2-4810-bd17-79ab192168ad,
The Jatta Family,GM,68b08df3-fbb3-4cd0-86cd-81e9aafb7e3c,
Kunye Saho,GM,718ff163-88ee-49b7-a57d-841919b875c5,
Nyulo Jebateh,GM,54a77076-1dfc-4f6b-86a4-38fa728d3d57,
Mass Lowe,GM,e3eecbf7-8a02-4621-b694-2e6b0fefa12e,
Jesus Jah Jarju,GM,acab1822-5ea9-44ea-8594-80db75c0d609,
Jeneba Konte,GM,4b6e608d-7cba-4b14-8e16-3850819a026d,
Smokey,GM,9e94504a-4c81-4fb4-b0e4-26c6fe2ac1a9,
A2 Di Fulani,GM,0721e484-35f7-4aa3-8d84-91d82aabe054,
Jamisa Jalis,GM,35481cea-c8ea-4886-afe1-299db822db75,
ST Da Gambian Dream,GM,3d170d2b-15d2-414d-8bda-7f47a4342a96,
Amadou Suso,GM,e07974f1-a88c-4b2a-88e8-2f3d1dc3d041,
Shorty6ix,GM,a5c84878-f6bb-4d11-8965-840d833b383e,
Louis Mahoney,GM,09d07087-5546-4c6a-a03d-5d257a5596cf,
Alagi M'bye,GM,6cbd4323-2d45-474f-987d-61b9b57f6398,
Ibrahim Tony Kamara,GM,b50a1c44-ab08-48a9-8745-e0f58f9312fc,
Yusupha Ngum,GM,ce312122-b346-44e6-ba74-94f4366932cf,
