name,country,mbid,youtube_channel
Mory Kanté,GN,413a41d9-db36-4cde-95ca-0543bab901a9,
Bembeya Jazz National,GN,3767e5f9-b921-4d90-bf2e-8a90f362d35a,
Kanté Manfila,GN,6a35b01c-731b-417f-8864-8b7d838dfd73,
Lyricson,GN,c61a8ed6-2c9c-47ef-97d4-b355de29e993,
Mamady Keïta,GN,a9707856-2b6c-4e4b-bb54-ef51d08a3c50,
Djeli Moussa Diawara,GN,ef3702b8-a54c-4a19-b768-634a3cad85a4,
Takana Zion,GN,037baa9c-69ea-4ff1-87da-d63cae9b7450,
Ba Cissoko,GN,69121312-c681-4feb-b0e8-64cd86e357fc,
Keletigui et ses Tambourinis,GN,7708c4b5-f0cf-4d01-a7cb-8b77df430c5a,
Sekouba 'Bambino' Diabaté,GN,9c3d86e1-9647-49ca-954e-7d6f90b1f041,
Sory Kandia Kouyaté,GN,8d4c4395-2c42-41e0-b5c2-8557c20d118e,
Balla et ses Balladins,GN,f361ad6e-b504-4ba5-b494-799bf65449a0,
Maciré Sylla,GN,bd91ae2c-6923-4342-877a-d19282190235,
Sona Diabaté,GN,fb2909f1-b696-4352-8f04-6fb557f69c78,
Famoudou Konaté,GN,2436c15c-5573-4f0d-ba78-b97bce93cd16,
Kora Jazz Trio,GN,2068fda5-86cf-4a2e-b832-31881b8e3b2d,
El Hadj Djeli Sory Kouyate,GN,de6e3d0a-aeff-49a8-a338-83ac0daf0a1a,
Sékou 'Bembeya' Diabaté,GN,3f029b8a-7c3f-45e7-a7b6-90898c23aba8,
Les Percussions de Guinée,GN,a6234ed4-dbe3-48a6-8716-12b96427fe19,
Momo Wandel Soumah,GN,dcf1bde5-0655-42b3-b9c7-a6f234522665,
Les Ballets Africains,GN,278f4f65-ccd4-403a-9bbc-0025824cf921,
Horoya Band,GN,42b36926-35f3-4170-b225-848b63ab2b38,
Les Amazones de Guinée,GN,6f442128-abb5-4abe-a3d3-29796fc8d01a,
Hadja Kouyaté,GN,5794f7b5-82d9-4bbd-9302-404b28e878c5,
Fode Baro,GN,8efb5bb9-e2c4-48bd-ab44-b8acccbfcee4,
Amadou Sodia,GN,f788aae1-0b82-4a61-a2ff-53adb4953313,
Ousmane Kouyaté,GN,daa429aa-6b32-4ae2-8e6c-ebd76ba9fb30,
Djessou Mory Kanté,GN,a8ad9613-355e-4d03-b38f-d127dfcfae3b,
Super Boiro Band,GN,b7d460d7-49db-42b7-9123-c5df2b0924ea,
Wofa,GN,1666d599-c1cc-4dd9-ac1e-ab5513b1b484,
M’Bady Kouyaté,GN,6cb5c3ea-03d4-4c26-9094-33fa128dd303,
N'Faly Kouyate & Dunyakan,GN,4dfc24ca-7fbd-4fde-b7cb-6ac62ffaced4,
Les Sœurs Diabaté,GN,c9b23170-aebb-41ec-9b3f-87d6d17cbb43,
Mamadou Barry,GN,c6f56bfa-b910-48ec-992d-e878dcafa93e,
Grand Papa Diabaté,GN,f464d79c-ba04-42cb-aca4-18f9d85ec7cc,
Kakande,GN,b8e3982d-e95f-465e-8aae-dbb0cf0143f0,
Sona Tata,GN,dc82a178-270d-4972-a1f4-fced250eabe2,
Jo Maka,GN,60d34d0b-1d54-4bb8-900d-d601c02909d9,
Abdoulaye Kouyaté,GN,f1c2dfbc-f174-4cb0-bd02-7f5d145d4255,
Antoine Sagno,GN,40472a3f-6af9-44c5-a965-376a530aa043,
Siba Fassou,GN,510d1a7c-96e5-4765-8301-e98b53357ed1,
Foromo Onikouyanou,GN,6566f3d1-8687-4bb0-8864-f20436add951,
Guo-guo Camara,GN,dd3bd3db-33c4-4014-8943-f16fde40f80a,
Mariba Lamassigui,GN,19021e39-4b03-44de-bf68-b9ebc8ef0d85,
Kokoli Haba,GN,a16c9eb1-203f-4b75-8035-6a88520b918e,
Germain Doparogui,GN,6fd2c056-cc10-4ebd-93d4-b5fbb2b24fed,
Cécé Kolié,GN,16c75403-eba1-40b1-8beb-1348fb88f9bb,
Foromo Gbamou,GN,45802d36-c927-4dac-bcfa-e82a81ffa42e,
Mama Yergué Barry,GN,0e7d8681-97c6-43f6-bf89-2e3139f59ac1,
Sory Kandia Kouyate Et Son Trio De Musique Traditionelle Africaine,GN,9c228926-862c-48d3-8dc6-c6320f877865,
Petit Moussa,GN,1b744c6b-bac6-4853-a782-82173976f3fc,
Orchestre de la Paillote,GN,fc674710-1fb9-4979-90a9-f1cb15fcd515,
Abdulai Bangoura,GN,4f1b94dc-04d9-4cf6-89c2-2f7eaadcf0cd,
Kwame Ture,GN,6df74405-1d8a-487e-8160-83d9180a23c6,
Dou’sse,GN,ed32c9ed-7f6b-4b5c-8c63-49b1f0d58465,
Kélétigui Traoré,GN,7f834d60-dcd0-457f-838e-4258a7063828,
Les Virtuoses Diabaté,GN,2c423c33-56e8-42b8-b003-6cf4592142ab,
Ali Wagué,GN,8bc942c7-70cd-4894-b66e-ff561299df2a,
Ismael Kouyaté,GN,8cff66f6-2846-4bd8-a678-6823a7e93d4d,
Mc freshh,GN,08881036-6d47-4c2b-9694-52c29ecaf5f8,
Ibro Diabaté,GN,9aa47523-a7ea-4434-9ccf-63ff7e823f0f,
Soumbory Jazz,GN,b4e1dd13-c6b5-4fa8-8463-3d48419a99c9,
Papa Kouyaté,GN,6fcf0e6f-c705-41a0-bda8-c45c66d3c1d8,
Mory Djely Kouyaté,GN,f06687e5-37a9-4b0d-a469-6bd46c20aec9,
Myriam's Quartette,GN,96d33b0a-c795-490d-bb64-628f2c6804a1,
Baga Guiné,GN,ed1ee36d-16d0-44c8-83e7-26ec98fdee55,
Alimou Aynguel Diallo,GN,598650d4-3304-46ab-b238-4f0aed9a52ba,
Samba Barry,GN,ac69f206-aa77-4b2d-9b48-cb05c13abc9b,
Tâbal Alâ Dyanfa,GN,e00bdbf9-aa7d-406e-83e5-d7e6a4d69f16,
Fatou Nylon,GN,decdb6a5-5d1f-4017-b0fc-012c9308afed,
Sirè Tchoroya,GN,7faaf57a-a8fc-41a5-a3f1-34446e947193,
Baïlo Barry,GN,6c06ad00-500f-4b80-b545-e46775988836,
Alhadji Tanbin,GN,455dc5d9-bf39-4a3f-96e6-684bc68a4e01,
Mawdho Oumarou Sané,GN,859b4f75-007c-4233-b5d4-d821b2793200,
Lewru Dyere,GN,1de03244-2568-4e47-9819-41a5837f3563,
Sarsan Wourèkaba Junior,GN,eccda197-2622-4c78-a7e6-6affb0255e60,
Nafaya Band,GN,96e77e17-8b1f-4727-9257-586fcd35a68b,
Habib Dieng,GN,761d02da-8988-4f9a-a9cc-5612f4af5370,
Thierno Amadou Bah,GN,9ade0405-2e8b-4ad2-ad63-f2419f10ad15,
Dian Wouri Djonfo,GN,9421e74d-c315-459c-a42d-286b5137974c,
Kora Mandingue,GN,109f4aa2-89e5-4628-b6e1-b966dc1d6a82,
Demba Camara,GN,db207ffe-daf3-483d-9894-742b7f24c75a,
Zézé Wolo,GN,92d46152-741c-4483-a099-f352eb1e781e,
Sambory Jazz,GN,1fd19755-47dd-4843-b635-2c12f6f1953b,
Niandan-Jazz De Kissidougou,GN,7aea0219-bae6-4317-be32-bc3545b4f655,
Phaduba,GN,9b1f5258-b002-4a91-a214-06d6554fa51d,
Scorpions,GN,8c09f187-15cf-4b10-858b-27a403852836,
Hadja Maningbé,GN,5775dbee-7536-4655-919d-39d1f6cd27f4,
Bijou,GN,28fe021a-5fb5-4a51-9c9b-2194b22503a2,
Begg J. Force 3,GN,face17ed-d208-45b9-b9eb-9934807d34d3,
Mosi Conde,GN,94da4109-209b-4a82-b11b-7e8ad3a3e164,
P. Wadda,GN,55f2f7a0-1f50-47dd-9638-ceef21bd8a4b,
Daddy Cool,GN,8155dfec-5764-4362-a133-8e86438536dc,
Fodè Kantè,GN,6d5419cb-f24f-46b3-aea5-2e176d2bbf1b,
"Aboubacar ""Titi"" Camara",GN,46af860f-c0dc-43e0-9c74-e719faecc472,
Aicha,GN,abae91c9-9810-4b00-a87f-9d542659216c,
Mamadi Dioubaté,GN,3f050ef1-c6f4-4a87-ae7a-c04c07760e53,
Sidi Karamon,GN,8067a434-290c-47ea-8b85-546bbdb758ec,
Kondé Kouyaté,GN,e405658b-ceba-45b1-af4f-00096aab3c0f,
Diémori Kouyaté,GN,ae53fbf4-9752-434c-830e-de950725f021,
Mamadi Dibaté,GN,fc8d54e1-1095-4f92-8e8d-01d9e2cc22d2,
Sidi Moussa,GN,676d6bba-5494-402b-a509-6807ac70e42f,
Kodofo Moussa,GN,c75581ac-e60d-416b-bcc8-1fff74ee80e5,
Mamoudou Doumbouya,GN,8774023a-9269-48f2-bd9e-4149038b600d,
Djekoria Mory Kanté,GN,c0c7885b-7140-47a8-8244-58250a76f11c,
Djembé Fare,GN,86f19084-101c-4a7e-a211-7b8d2a1b7f9d,
Moussa Konate,GN,25b46186-a4f9-4e93-a891-681f15482a1c,
Sayon Diabaté,GN,67e819fe-dd92-4d7e-89f0-b14892e944ce,
Mama Diabaté,GN,eb79d43d-a246-4bd3-b1a6-0fac636a9cc7,
Abdoulaye Diabaté,GN,aa4a1a58-b7cd-4f11-b794-05a441033fb7,
Famoro Kouyaté,GN,2c6859f9-77fe-4380-b079-575c668f6175,
Alhassane Barry,GN,2d9fef9a-5765-4f5c-895a-8fb02b0e2e53,
Fodé Seydou Bangoura,GN,4a170f9f-26b7-481b-883c-b483247497a2,
Sény Malomou,GN,19b1fd10-8bdd-4e6a-a1a6-519ffe4325c3,
Missia Saran,GN,75ba0bdd-a956-4af1-bc46-c354bd399b5e,
Copa Camara,GN,6ec67d7f-dbfa-4d6a-b62a-a0dda6b2b741,
Ba Cissoko,GN,2de6fbf3-036e-4102-9c3a-e3214fbdafa4,
Ibrahim Bah,GN,3dd0547c-2d37-4361-ac63-12c08c21619a,
Djibril Camara,GN,c72d2f05-db52-49d2-9a49-45572e6de014,
Kourou Kouyate,GN,4021156a-4fd2-4e45-ab81-e8bd863cd4a7,
Kélontan Cissoko,GN,df28344c-8911-4138-ad1b-6b33a8bd3c7f,
Seyland Kutchi,GN,b3799aca-7b50-41cb-af28-f0ea0d04ac83,
Alpha Baba Diabeté,GN,90dd7e36-1321-42bb-be04-39a5ce4ca2d7,
Natu Camara,GN,ac04b9e5-a68d-4c59-a7fa-42bf0f4e3b70,
Guitari Baro,GN,09e3b88a-0132-461b-bc98-01e9c148306b,
