name,country,mbid,youtube_channel
Francky Vincent,GP,21dcc22d-afa9-49af-8548-b116ed818ffa,
Admiral T,GP,a19287e1-b752-4470-9969-278d31fe4ea3,
Thierry Cham,GP,7cd2f431-d9d2-474c-811e-05e154bdf000,
Zouk Machine,GP,cf57b5ee-169e-4aa8-a967-19994e6b2b7f,
Jean-Michel Rotin,GP,a6dc9dc4-c0ce-4b34-9a0b-0e61bb318792,
Young Chang Mc,GP,5c92f1cd-d9ee-4709-b254-bc236417cdae,
Krys,GP,3dfe2f1c-1982-4793-ba0b-411422680442,
Jane Fostin,GP,4315d6c1-12b0-491b-94a0-57ec83d2d170,
Patrick Saint-Eloi,GP,04559f8d-79ee-4922-8365-6f0306bd538d,
SamX,GP,6f599e42-160a-4096-9ea2-34fbdc03c1db,
Les Vikings de la Guadeloupe,GP,b7e4d206-71e5-41a4-8724-4c3137d98577,
Gilles Floro,GP,bcf5eef9-3780-4cd5-8c07-015241cb2fc0,
Les Aiglons,GP,28c2d929-9eeb-4e5d-801f-9fc13647cec2,
Ti Celeste,GP,ad24334c-be24-4810-bbbf-91391d5b4a6b,
Keros-n,GP,9f6fd74f-5c35-40a9-bf7c-8c5d821b43e4,
Joëlle Ursull,GP,89ea0cee-1457-4c74-8fb8-32e7f0cb46e6,
K'Koustik,GP,b952ce2a-41e6-4873-944e-7622cbbf2d0d,
TiMalo,GP,5be73e70-f6ae-4611-bd90-0ab260a1dbfa,
The Bolokos,GP,6e1095e4-1df3-49e2-9a04-45a723952da5,
Gwakasonné,GP,38f604cf-53dd-4f0a-b895-d96d2d20a9a9,
Daly,GP,26aa7314-eccf-4e3a-9047-8bf40571f7d0,
Yvon Anzala,GP,2a728457-838e-49ed-92c3-14d47ca71ed7,
David et Corine,GP,3970d875-213e-4ac9-a3af-6b674cd77a0f,
Dissonance,GP,13e5f505-b47b-4b34-9d56-9e66ba0e2897,
Stevy Mahy,GP,730920ff-de5b-4825-adf2-3102321baaf8,
Expérience 7,GP,1ebc556f-b467-41d9-aa12-f34bb27cf2f5,
Guilou,GP,66bb7cbb-8dcc-4e06-bf21-d4e2c7e04ab0,
Luc Léandry,GP,25cdf5da-0e53-4bb9-a1bd-8ecafd20d311,
Zepiss,GP,846daa01-930e-4888-8767-7e12130d95fe,
Patrick Jean‐Marie,GP,a8428c84-0631-4ef7-aaff-2247afae6d32,
Pierre-Edouard Décimus,GP,df61511b-c5d6-4506-8f61-be51d037aab5,
Big Jay,GP,0e9f3a93-e06e-41b7-bd29-eaf9638d9342,
Fred Deshayes,GP,ffc4bde9-d93d-4d69-9f1f-853e426f457e,
Méthi'S,GP,a7203824-ba0f-49f8-878a-2c2a4d2a242d,
Protesta 77,GP,446762a5-d777-4b48-9109-ccab44ba6fde,
Kan' Nida,GP,39ded435-4a2f-40d1-a798-dd78004f49e7,
Polobi,GP,6f79d23f-ccc6-450a-8575-96f0622e06ae,
Zouk Look,GP,0921fd4e-9c20-40fa-88de-ede1db91b4fc,
Kasika & Benzo,GP,480e231e-fcfc-47d4-8c71-b561e34e64cb,
Eric Brouta,GP,23f19d7e-b0d7-40c3-823e-af253dee9761,
Laura Laquitaine,GP,37034ac2-4b67-468c-ba98-25d6b1185245,
Moun Karayib,GP,ae545276-f9ca-49d4-a32f-455f4fa86a75,
Les Rapaces,GP,683e6cbe-503d-4a94-b024-2f0eb91255cd,
Jocelyn Virapin,GP,eb5b134f-cfdf-4213-a33b-39ff5e9eccae,
Bled Miki,GP,da7660aa-f8cf-4c0a-9433-3e3eae230dc4,
Feeling Kréyol,GP,f5457485-c7d5-46d9-b255-7c72e9f1f4e9,
Orchestre traditionnel de Guadeloupe,GP,da7b84e5-f332-4fc9-8ba1-5f469d465c20,
Freddy Marshall,GP,215074a4-681d-4b0a-993c-28b5b2bb9f84,
Vélo,GP,af91ef48-ec3d-4ee5-92c7-61f0c5ac6c49,
Tatiana Miath,GP,e6250d2c-526c-4650-8205-7f41d860abf5,
Meliza,GP,d4cdda4a-a1c2-4ffb-83a7-d542b63b5eaa,
