name,country,mbid,youtube_channel
Vicky Leandros,GR,1bf5c15f-692d-44cf-b136-4d36815f6149,
Nana Mouskouri,GR,09b8609a-ca39-4f34-a2f6-5b81afc2c32d,
Vangelis,GR,57fca0e2-f9ad-4ae6-af9d-6a6f50cbcd5f,
Demis Roussos,GR,b3fa1a75-d947-4f32-9f5d-dc72d7438afa,
Μίκης Θεοδωράκης,GR,83970769-d8ea-434b-8734-88899213c922,
Maria Callas,GR,9dee40b2-25ad-404c-9c9a-139feffd4b57,
Γιώργος Νταλάρας,GR,457a3e37-cbf5-41f5-8c0a-b6f20a2ed905,
Μάνος Χατζιδάκις,GR,e34c6bac-7b2b-4898-a488-81792da6aca3,
Homer,GR,ebde00ad-8f53-48bb-a6c8-a5b0d7c01705,
Costa Cordalis,GR,2e981ae3-1b98-41a9-aab5-ac33b1b03af9,
Χάρις Αλεξίου,GR,2dc67a2d-5914-4064-bf7b-8c8ea77bfab6,
Άννα Βίσση,GR,e2b96b55-35c4-45b9-8d7b-726ac927982f,
Rotting Christ,GR,2d576cfe-7669-4af0-a66a-86c8362f47c5,
Στέλιος Καζαντζίδης,GR,cbdc91c8-787e-4485-b70a-d2a61e9fbca8,
Chris Christodoulou,GR,bec6b28b-68be-443b-a3c3-b370ea9b5ce5,
Yanni,GR,9a2afb1e-504c-443e-acff-6c40ce75b1a1,
Γιάννης Πάριος,GR,f9b4ac37-fccb-43d8-8e9c-75281e2a5628,
Δημήτρης Μητροπάνος,GR,b7ac4681-b950-45fe-8b26-db42bd0f6736,
Βασίλης Καρράς,GR,f93d8c68-eccd-4e34-b1e7-4bb243de7793,
Ελένη Καραΐνδρου,GR,154688d3-be1c-4110-9536-b7c9a2e63eba,
Δήμητρα Γαλάνη,GR,59584c6d-3794-4665-87bb-85d3d1a6abfc,
Σταμάτης Σπανουδάκης,GR,bbc80479-6703-428f-87fe-3465cdafeb79,
Βασίλης Παπακωνσταντίνου,GR,bde13a46-19ef-4a94-9710-f63622081397,
Γλυκερία,GR,ccb45d35-9e2b-4ed0-8ba5-1f4d682ddd8c,
Μανώλης Μητσιάς,GR,4d919cee-da82-40b6-909f-01dc72b82c4f,
Δέσποινα Βανδή,GR,e2ed64f2-1ce3-4fdc-a6b4-0d213bd9fb95,
Άλκηστις Πρωτοψάλτη,GR,abda20ef-c986-4075-a481-398aecb3157c,
Γρηγόρης Μπιθικώτσης,GR,02ce99a6-1613-4219-a244-4cbbd956106e,
Τόλης Βοσκόπουλος,GR,86fd1b54-fa68-4cb8-9b73-ac5d05f46aa2,
Aphrodite’s Child,GR,51625f3d-adfa-4096-a7b9-113f5225cc58,
Μαρινέλλα,GR,9fc727ac-8955-431d-97d0-978b5cfd97c4,
Θάνος Μικρούτσικος,GR,1ba86abf-ba1f-42fd-be34-0aad3df7628b,
Νότης Σφακιανάκης,GR,a694df8f-abb6-4961-8626-a4039d4524c9,
Ελευθερία Αρβανιτάκη,GR,136f6a21-6768-427b-92f7-9fcc41945751,
Νίκος Μαμαγκάκης,GR,2840abb4-0278-4367-a093-daf166acaf9c,
Septicflesh,GR,f23d00be-5619-43aa-a9b0-b32b73e5ba4f,
Μάρκος Βαμβακάρης,GR,482a86e0-4d49-4d26-8406-3d06f01f0285,
Σταύρος Ξαρχάκος,GR,6598c5e5-bfe5-48e7-b341-66cc6db310ea,
Firewind,GR,75932af9-3c2c-4a93-8e5a-2f2cf0f2d647,
Πασχάλης Τερζής,GR,7b335754-376f-45a6-bcfe-754a54640f8a,
Γιώργος Μαζωνάκης,GR,ba28014a-b238-431e-864a-e5693a7a7e8a,
Έλενα Παπαρίζου,GR,28a40a67-ecd3-432a-be2f-51490a7743ec,
Beatbox Machinery,GR,874515e0-828d-449c-8b4f-f0ac50e3cd8a,
Blaine L. Reininger,GR,3d748bf4-6fb8-47db-b9d2-6b5db0710096,
Νατάσα Θεοδωρίδου,GR,43f502d5-b098-49df-949d-e9d898f0dc1f,
Διονύσης Σαββόπουλος,GR,5a20e160-4eed-49ba-a5cd-451a425478f4,
Ελένη Τσαλιγοπούλου,GR,d38040ee-45b1-48e0-8537-bc954733b189,
Σωτηρία Μπέλλου,GR,e7bb92dc-392b-4a6b-8c24-4ae2f196827a,
Μαρία Φαραντούρη,GR,9e585bf7-feb0-4960-9b6a-eefe3ae6a61e,
Κώστας Χατζής,GR,c9fdc970-c0ac-41d3-9d61-874ffd9e39a9,
Γιάννης Πουλόπουλος,GR,39a0cf08-163a-4876-83eb-35a1db3e666c,
Active Member,GR,a2d529dd-5b82-43a6-8931-bd77dcee0dd2,
Γιάννης Κότσιρας,GR,908e0544-7c83-45cf-ae69-69d7ffc03a7e,
Καίτη Γαρμπή,GR,b136565d-384b-4c6e-96f3-50639e294dd9,
Βίκυ Μοσχολιού,GR,556b61f4-b448-4a45-ae05-7c331ab12c86,
Γιάννης Μαρκόπουλος,GR,b821562e-8dff-424f-9ea2-68d1d98cbdab,
Τάνια Τσανακλίδου,GR,eb3891a3-3920-45ec-ba2a-d87f9dd7a9f5,
Λαυρέντης Μαχαιρίτσας,GR,4ea50cf5-2bba-467f-b598-2060640f4745,
Ελένη Βιτάλη,GR,32666cb7-cf0b-45a0-b275-d9fe2759d84c,
Γιάννης Πλούταρχος,GR,bac2ab0a-0aa6-466e-bc4a-238a29e57212,
Πυξ Λαξ,GR,e417e3cc-68a5-4449-b62d-925b78c25d3f,
Σάκης Ρουβάς,GR,7cd0c121-76ea-41fe-a2ee-4f9f066f6f1c,
Νίκος Ξυλούρης,GR,da31672f-c2b9-4d19-996d-172f97771df6,
Σαβίνα Γιαννάτου,GR,292221c1-e8f5-4452-8381-6e136bdc6ab9,
Στράτος Διονυσίου,GR,33b73e36-1910-46d9-b531-94f4f45dc788,
Χάρης & Πάνος Κατσιμίχας,GR,1078b691-876e-4601-8cd3-0d97cb1a6b14,
Ψαραντώνης,GR,065cd80e-0054-43e2-8e8f-47ee84c068fc,
