name,country,mbid,youtube_channel
Ricardo Arjona,GT,40627299-0979-45ba-8924-2af5fdc36ea8,
Francisco Orantes,GT,4745b7b1-6e89-4fea-aaf9-81ff08d88233,
Alux Nahual,GT,b1b1b60a-821c-4b70-898e-d1690af4c644,
Fidel Funes,GT,e8d9fc6a-2583-4c5e-9ac0-3e4fe68b2453,
Grupo Fiesta,GT,2ccaf28d-c3f3-44e0-8dbe-5aa1bfb6a99c,
Gaby Moreno,GT,4aec1363-ab7a-4de2-a253-c529eeec55bd,
Juan Carlos Alvarado,GT,3dff7975-dbee-4670-a23b-762bedfe3027,
Funeral Art,GT,57fadce0-551c-4801-bb86-e653cf2c2a02,
Bohemia Suburbana,GT,09e32bf4-4bac-4487-be9a-6eb8dc84a71a,
Dulce Banda,GT,67b73882-b6b1-49dc-844a-c1997f9b75bf,
Palabra en Acción,GT,35fe571e-3b6f-404f-80be-fff9bebc5142,
Marimba Orquesta Alma Tuneca,GT,1aa7ea48-d727-47bd-a419-1d9c227c172d,
Maderas Chapinas,GT,0115cc7b-ff16-497c-8cb7-55571cdc4fcd,
Marimba Orquesta La Pegajosa,GT,7aa71d12-ff41-4964-ac84-47391248dcc6,
Marimba Chapinlandia,GT,af888bc6-e3af-473f-a8c4-e89a04d87a89,
Viernes Verde,GT,a97846c9-fb01-42d3-9289-a88bab83a8cf,
Vertical,GT,abd97530-e94d-454e-8c0c-46995daa3ea9,
Marimba María Concepción,GT,a3b0ff94-2ca0-4158-8ed2-71639e20b7a8,
Abyssum,GT,eaa57024-ac37-4700-b043-16bac3d088ae,
Miguel Angel Tzul y su Marimba Orquesta,GT,cfe59aba-9098-4adf-9c2b-5079c19e892e,
La Gran Familia,GT,11360caa-152e-4ec6-ac2c-cf53e5b39e5d,
Marimba Usula,GT,caa1563e-0ebd-4c04-9836-6f44c5172784,
Rebeca Lane,GT,71f6c5c2-ba58-4e8c-b3fb-cbfb8aa65865,
Renato Calvinisti,GT,33b76c6d-b13c-4463-8d78-f104edf156d5,
Marimba Orquesta Sonora Ideal,GT,6a5f90b0-c612-4209-8f9b-f93224089ed6,
Marimba Orquesta Maya Excélsior,GT,d98ee61b-9b76-43ed-91ca-96e059c3d756,
Marimba Orquesta La Voz de Zunil,GT,17a52487-129e-43b3-b082-7b122ac8ed56,
Julio Melgar,GT,d191d5e5-bf46-40c1-9a7b-27e096a64181,
Vox Dei,GT,b3702df3-f68d-431f-8049-c703a893a7dc,
Dropper Vampire,GT,82e7aeaf-5d10-453a-880e-b804133d7f01,
Ronald y sus Bravos,GT,3d8a2c19-bbfc-4058-a37a-5502aa2d3532,
La Sonora de May Velásquez,GT,ae02ccd1-72ec-44aa-9e2a-fd87072b380f,
Internacional Marimba Orquesta Sonora del Caribe con Sabor a Costa,GT,b43d8a08-4f0f-4e18-9d94-3b69b30c3968,
FM de Zacapa,GT,314d080b-753b-41f2-ad04-4b4146c65f88,
Sabrosos del Swing,GT,23f9ebb7-f831-45dc-b730-639f6bbb9607,
Marimba Orquesta Ecos Manzaneros,GT,e1ad5cd6-ca11-4055-8fe7-fac08289ac89,
Hedras Ramos,GT,f02dc6ca-27f7-49fc-8b94-39a34931e6c7,
Evokador,GT,632ae9d7-5984-458f-8a44-bb414af08087,
Hermanos Tistoj,GT,d158f169-4e8e-4af7-8ac8-0594025d9b76,
Viento En Contra,GT,b3c70c12-29f5-4b2e-851c-1aaf0d8440dd,
Banda Santa Cecilia,GT,2e453d06-dfd1-43bb-92ee-3295fe7f9d31,
Rana,GT,ceea4f29-b6ac-4715-88e6-58db6146d878,
Rift09,GT,6e83bade-8b92-4f06-b261-54ac37adae13,
Gaspar Fernandes,GT,785ea9e7-8acd-4f4e-bd77-dbc606fe5383,
Marimba Orquesta Gallito,GT,9394adb3-6b6f-4df9-a09c-bfa7f6240a1c,
Malacates Trébol Shop,GT,ae0fd50f-f03c-4635-bcf9-e4e2706cfc3b,
