name,country,mbid,youtube_channel
Hymn for the Tortured,GU,45a154a8-0fb2-4c89-8a12-68ef79c91e35,
Infinite Dakota,GU,56471b2a-f68b-41c8-8414-1b7fbc4fb355,
Craig Santos Perez,GU,7cf90522-0981-4275-b935-a6f8abe652c5,
Slavesoul,GU,967c07bc-d2be-4d92-86a1-cec38cf926c1,
Zaias,GU,02cfbf17-7abf-46f2-b3dc-11d54c9572c1,
Just Karma,GU,bdb49810-c2b0-4206-91a2-87d43ceea058,
Okas Point,GU,839b216e-9dc2-4b76-b09d-e917181a5ac3,
TASI,GU,eb159602-1bb9-425a-b06a-2397d00eef18,
Erisyde,GU,40027131-8a01-410a-b6b8-203d7c3186d6,
Doug Taitague,GU,fdaf58c8-0888-4f4d-96f6-c4ebdfdf2884,
Chris Smith,GU,927be3cb-5fdb-4d2f-9233-1825d16da8a1,
Joe Perez,GU,f9b5535a-24cb-4832-bda4-3a7709d0f588,
Rich,GU,2c8ea55e-61c1-425b-9270-1fb323482826,
Nick,GU,332b0036-26c3-4710-883b-fed38062bcf1,
Dan Sussex,GU,ce9b9732-5d1d-4b45-9e59-b4c590703267,
Charles Megino,GU,f29e444f-4027-4131-8293-1a6da2e93e28,
Roy “The Machine”,GU,62393b3b-556e-429b-b7dd-e51e3a0d5356,
Cody,GU,787e5dd5-089a-48f3-bc37-113ea03249b7,
Jun,GU,12eb906d-e2e0-4d6a-b1e4-515a0d541f65,
Randz,GU,5d002260-0298-414b-9a2c-dca911e4411e,
Andrew Gumataotao,GU,e53e45c1-1aa6-4f3a-a402-26e0a9adb263,
Hatereaders,GU,cab85fec-b2a7-4c4f-bead-f3e60e059112,
Arsenio Hernandez,GU,a17b79e2-c69b-43f9-9cf3-5249dd7ffdd5,
Elle,GU,91a534e5-f117-42b1-bf35-1c25929da6a8,
Sean Zervoulakos,GU,6c04c4e8-a85c-4685-952d-13ac85621144,
Ramsey Elliot,GU,dd55ca53-90de-4357-9539-504869085d75,
Steven Smiley,GU,3204e0d6-7e38-4b18-a090-04779942f8c3,
Kristen Laguana,GU,33866bfd-256a-4be0-a567-b2990a001c22,
Peter Serrana,GU,6abcafe2-37a8-4fc4-b40b-3af3733298d0,
Ramon Manalisay Sablan,GU,5eb6d7b7-af24-4ca0-80af-505c66e932a7,
Ken Kuper,GU,8246e0f3-a92f-47df-a400-424c92cda72f,
Justin,GU,b3e817db-0202-4ab5-97d6-7a588b2baf2d,
Robert Caguin,GU,463d0011-93c0-41cc-997e-9c647b6c21b8,
Fred Bordallo Jr.,GU,a90d7c1c-0a37-4381-b912-f6cd3ebd1a69,
Frank Dalisay,GU,7d85eac3-00e8-46bd-8bba-c526beb86544,
Jose Acfalle,GU,e0258839-6a6f-4c0e-98c4-68bd663239b0,
JR,GU,162b06be-bd3a-43a2-9069-8e5299fb333d,
Philippe,GU,1fc9143a-ec4f-4f88-827c-2077eec97691,
Rafael Unplugged,GU,2e8d2126-2183-4bd7-b1b0-1232db1da383,
Tony Duncan,GU,9babcb20-7a20-4d37-a051-d93b62754493,
toko.(Nathan Galas),GU,93c50809-ff72-4b64-8a26-c6d6a8ef0b93,
S.P.E.A.R.,GU,4fe9cfb3-0148-4c99-9f0a-25d7ec9df696,
