name,country,mbid,youtube_channel
Super Mama Djombo,GW,0896c83a-66e8-4515-a680-0abff3c9d4e4,
Eneida Marta,GW,f189108f-f5f7-409a-8cc6-7f5bc9d64892,
Manecas Costa,GW,db7f3c1c-3f14-4e33-ba8a-c589a08b13a0,
Zé Manel,GW,17d599d0-3231-4d43-ad10-4ad0a518ad7d,
José Carlos Schwarz,GW,d5fb82c9-ea77-4b4b-87d7-6912f5bd4a5c,
Monica Pereira,GW,46004eb0-059f-45f8-adc2-05ac725845b4,
Justino Delgado,GW,713daaac-803f-420f-aa48-9d7b39b66959,
N'Kassa Cobra,GW,d4727725-ec75-4f17-92bf-5bae43ba71e7,
Patche Di Rima,GW,a5d8f797-31f9-4dbd-89b7-d254ba5d1a90,
Sidó,GW,489685d0-04e2-47f9-abdd-f646e050960e,
Rui Sangará,GW,7e2c32d4-1b79-45e7-a846-d29a9c548842,
Sábá Miniambá,GW,59f4ba8b-8ecc-438d-95c4-2215c346548b,
Memu Sunhu,GW,9c2710b4-dda8-45da-bede-4f9917c23a77,
RRP,GW,910038a7-3e3b-4b1f-870c-fac39da99339,
Tony Dudu,GW,e20ba1a6-4ac7-4dba-b2d0-be36d744b31c,
Ruben Azziz,GW,ebb641e1-ec4d-4115-b224-9a328fb20028,
Natalie Insoande,GW,c669df5a-a990-44e2-b92b-080521c5c874,
Amílcar Cabral,GW,d8da1ede-4326-4179-8cf9-371f2864e025,
Kaba Mane,GW,eab17f55-34ea-44d3-83ca-77bd4a90d291,
Edsong KMRB,GW,e880dbad-7870-4585-ba72-bc61a57b75e2,
DJ Buruntuma,GW,56dab172-6af2-4a4f-beeb-5a1e1ff212b1,
Ussu N'Djai,GW,8456c908-5453-40c2-a3d8-916f5cfaf90a,
Dbois,GW,5257150e-15ee-41c1-a972-fff57a097d5f,
Saido Nanqui,GW,ae8b3e87-ffde-4226-b49b-4d09b507634c,
Pellegrin El Kady,GW,e754e504-0d5f-414a-bdb9-3d45d94d8416,
Baciro Dabó,GW,5018c1d6-4b0b-481d-893c-2ba7a5c46076,
Tony D.,GW,87da9e0b-0a74-4a89-aebc-d45f0bd58817,
Djanuno Dabo,GW,30180bd1-cbd6-4eaa-959e-cbbfc50004c9,
