name,country,mbid,youtube_channel
Natural Black,GY,145a23a7-d8dc-402a-b4b4-b0f99fd3a1cb,
SAINt JHN,GY,0f16ba6c-1874-42b9-b7a6-e060c2be454e,
Arkaingelle,GY,f77fe975-ebda-4735-9f3e-87e625985e84,
Eddie Hooper,GY,471751c0-7696-4303-b288-58339159e013,
Yoruba Singers,GY,1957b458-f3ae-4acd-96b1-4b6d47945a57,
Rudy Grant,GY,4a9a663c-304e-49eb-82d1-1a50fbd7f2be,
The Young Ones of Guyana,GY,fe9ae2c1-a98d-4fd7-a3ae-0e6769409420,
Cyrus Gooljar,GY,07bcc2e5-8f5d-400a-8079-26b87eaaa254,
Samuel Medas,GY,81dadbb2-ed50-4a1d-bd62-f3c759f09818,
Feed the Flames,GY,c8812fa6-6027-4f26-9ce7-2fee60016869,
Aquagend Williams,GY,7204806c-fe2d-4099-9aee-8a66a8431cb2,
Celestial Burn,GY,2df0f0f3-c9c3-442e-8bae-8795cb568d8f,
Lord Canary,GY,de38724e-8cb6-40b7-a261-8d99241ba5e0,
Esa Shaheed,GY,f1082f36-e257-4f02-ba81-1e5d63a5599a,
Jonestown Express,GY,46b0fdc1-ddbf-4a70-8e3d-f07fc0527135,
Al Seales,GY,34f3b59f-03fa-43ba-9c0f-f7cbfaee7b17,
Tom Charles,GY,a4c48a38-15b4-4545-9cc4-4bc32ced26c2,
The Syncopators,GY,223acd64-98db-4a29-95d1-90548d35140c,
Mar$ Noel,GY,f79b36c7-bb0e-4f93-b087-767d8f92b9cc,
Eddie Taylor,GY,cce7075f-5297-44c8-9935-1c5435a5b3a2,
Cy Grant,GY,625497f3-6c34-45c2-930c-1fe84740f020,
Harry Whitaker,GY,e89e7fd1-c0e8-421b-abf2-05ef05bdbf27,
Pamela Maynard,GY,f908e555-4b10-44d6-8943-88f72f8d3813,
Dave Martins,GY,02cf1593-3757-4fba-ae35-d345e3c47d2a,
Marcelloid,GY,c9adc994-e023-4f00-beed-e753dfc953f1,
Snowdune,GY,9ccb3b53-0e32-4e58-8e12-6bb9dc43bf30,
Robert Cyril Gladstone Potter,GY,20f9bbe9-9f37-49f1-8e68-fc49380d8888,
Grace Nichols,GY,de435b7f-afcf-4fb8-83e9-1b5587cbafa3,
Shelly G,GY,5ea245fd-a8f8-4c08-a0a2-402b333253a7,
Brutus,GY,6f8591e1-0266-4e98-bab2-ea44b0198f75,
Pearls to Swine,GY,c55d1ab7-38a5-4147-9315-2786e71cd3c0,
Static Band,GY,3c243b55-361f-4a9f-ab04-7f830d77f47a,
Charley Charles,GY,4a796640-3506-4e7d-8c76-9dc0fc9b0523,
