name,country,mbid,youtube_channel
張學友,HK,a2cab261-63cc-4ccf-8023-6b6e8588bb62,
譚詠麟,HK,52f243b5-cca7-4ba5-b32e-125096c7646e,
王菲,HK,692e367d-2846-442d-b13d-1177c3681c65,
張國榮,HK,d780609b-eca5-4277-a0c2-801cc0404764,
Beyond,HK,d84d02ad-d74c-4227-8073-6f13a039cfac,
陳百強,HK,247d8a11-162f-4b0e-925b-d590e2769a76,
林子祥,HK,d9e26c52-9cf4-4982-9ae6-fb6160f8df07,
劉德華,HK,f738bc44-5806-4013-aee4-5469c0c2ec30,
容祖兒,HK,4ca94925-d3f1-4126-92da-c069c9f309b4,
鄭秀文,HK,5f3c4fe0-fc71-4455-99e6-abd0e8c4462e,
林憶蓮,HK,280697d2-164d-4477-971d-06b91e57c6a5,
陳慧嫻,HK,e45899a9-111b-4edc-9c78-d32b958dd03f,
李克勤,HK,be28eefe-4995-400b-94d0-4f4edbf8d092,
陳奕迅,HK,86119d30-d930-4e65-a97a-e31e22388166,
許冠傑,HK,36ef3857-5be4-4ee0-9e8b-3280a9913a67,
張敬軒,HK,9f6a2c03-0cbb-42e4-9722-b885939607cc,
梅艷芳,HK,34245089-97eb-4ebb-8170-978a74dc1cfc,
陳美齡,HK,496bd9bb-902a-49ed-9aba-edf430762a14,
黎明,HK,603976ae-5e99-4126-8406-23bf7134433c,
許志安,HK,d244c64f-a39d-4a76-91d9-f3e6b23bdf4d,
陳慧琳,HK,7e31d5c3-ad72-47c5-85c3-a35e11df1225,
徐小鳳,HK,21556778-2609-4cd1-a8ab-550157594190,
關淑怡,HK,4eb19ca8-aba6-4318-8324-4fef3b8fe2d6,
古巨基,HK,066d5379-eb60-4f46-be4d-ebd40495baea,
葉蒨文,HK,07d063ec-9ce6-4ab0-991f-9a639b24547b,
盧冠廷,HK,fa8d48d9-c2d6-41fd-b705-8654b4bf34dc,
達明一派,HK,ea746640-7a3a-40cd-9681-d71d83b31d49,
楊千嬅,HK,b6073d5f-172a-41ee-8a0e-743d3bd0a614,
羅文,HK,3ac59c53-a679-49c0-9904-ef9df0e4e93b,
莫文蔚,HK,07234fa3-3edd-4658-9556-03cc1ee6eac5,
蘇永康,HK,57f502cb-a58e-43af-a2f6-41a4398c5123,
關正傑,HK,701e418e-c88c-4c31-875a-e6889f051f13,
草蜢,HK,79d7b8d6-338b-4a83-b650-182fd9082931,
劉美君,HK,5e5854b7-e743-49c9-936b-4f56fd756f5d,
呂方,HK,cac463f6-6355-4670-8689-46f4a1413dda,
謝霆鋒,HK,e9166500-8003-4e33-90d2-4df4c85efef9,
郭富城,HK,2ebcf418-2a16-44ca-b7d4-5705f6acf299,
黃凱芹,HK,2d3c8376-7671-469a-8af1-f5b00e9992f8,
陳柏宇,HK,de0e24a4-f7db-4cca-902a-02c986dd07a9,
彭羚,HK,24ae43ff-79cc-4ef8-a5b1-935ac671d31d,
梁詠琪,HK,266ace12-0f65-4cbd-8747-4aaf3a238755,
鄺美雲,HK,a1465e31-65be-4b2d-9671-302a8bb0bd9b,
