name,country,mbid,youtube_channel
Aurelio,HN,6676170e-6166-4065-b41a-1836d2c76667,
Banda Blanca,HN,bf36c5d5-ffbc-405b-bd1e-05f8f6eee6d8,
Almanacs,HN,d92aac65-05e7-460c-889a-2317e2231466,
Eva Cortés,HN,493a09e2-619a-49b7-b264-af86a681df0e,
Delirium,HN,2eb7169b-2656-4865-8387-f52d16ba64e6,
Guillermo Anderson,HN,585d93f3-6c3a-4d22-b08f-7f043d2014de,
Drifting Through Nothingness,HN,4e1dbb83-a4a1-4a41-acb9-fe9c806fac33,
Bullaka Family,HN,6e85317e-6959-48b9-9be8-9d9207b37a69,
Abaddon,HN,c9e6cc12-dedb-4ab6-85ea-20813173a164,
Khaoticos,HN,78eec02d-1179-4a02-ba2e-dde07d59a7cb,
Cruzito,HN,475ace4f-f698-48c1-bdc6-d03c7da875fb,
Necrofilia,HN,538554f3-0852-409e-b9f2-c89f60e8ea3c,
Horgkomostropus,HN,694886e5-b0fd-4222-a272-2257c626fcc6,
Sounds of Eternity,HN,d43cae51-6a1e-43ff-8d2d-9d1f75433cd1,
Antonio Asfura,HN,ffee15cb-fa9c-4bcd-bde0-4b978444c9c8,
Deivid Rivera,HN,a837fc74-c4cd-4052-aa8b-22eb157b64c7,
Café Guancasco,HN,9bedff48-2eb3-42c3-a45a-dcbb90130195,
Lugua and the Larubeya Drummers,HN,c463c03e-96b8-4488-bea4-ba294f6e8e97,
Wabaruagun,HN,fdded177-d24f-4fa9-a5a6-236eb1e12fcf,
Menor Menor,HN,a5743eef-a8c0-4070-9d8b-926897b9982c,
Guayo Cedeño,HN,bb9598f7-4649-4689-b2c2-1cecc4b54e6b,
Punta Cartel,HN,0af96527-878a-44bd-94ac-e0c6724a1486,
Hearts On Fire,HN,bc4bcdf0-a254-4420-b93c-cbb07c982be1,
Yerbaklan,HN,24e20c9d-2cd7-46b9-b7f2-134d3244caad,
Wintersad,HN,b1fe782d-8d90-444c-b843-9e174246dbb9,
Hoarfrost,HN,4b035bcc-83a4-482a-b311-5e1f5b44c7d8,
Vendetta,HN,418be5e6-4a67-4082-97bd-18ec2803fc1b,
Khaos,HN,40f50d95-7dab-4ba3-a750-db8e236efcfd,
Maintower,HN,0d63d17b-8cc9-44d5-a51f-6a1392f516dc,
Arcade Tales,HN,11908290-9152-4a5a-b843-2cd9945617ed,
Lepra,HN,d16514c9-fed1-4660-9882-0735b2a7e5ac,
Fuerza Garífuna,HN,8c73dfcd-2d9d-4187-8ccb-bb76b81668f0,
"Grupo De Danzas Garifuna ""Baruda""",HN,0487d22c-712f-4ce3-8ad8-509a881fa90d,
Grupo Lanigi Mua,HN,d38d1814-53cc-46f2-8a72-87435bcf7735,
Javi SuperTalento,HN,17a60fdb-015c-45af-85f2-c87eb6abbbee,
Oscar Castro,HN,c61ae3a5-4334-49e8-934e-814cc110056f,
Ágape Music,HN,4196cfad-029d-44f0-8141-3cf1c4ed50c1,
Lagoona Blue,HN,efe0f43c-a553-4c04-b81a-8a61555025ab,
Key-Key,HN,56b99048-912c-4009-a966-4389c1e9b865,
Dantos,HN,2e12c77e-c629-4f69-a57b-2a7e280a3b66,
Los Flippers,HN,628c36f0-c6a7-47dd-aafd-107f6b24e576,
Los Rangers,HN,b20e61ac-dba7-4cd0-82e2-f8cd334e9234,
Los Robbins,HN,0033683e-e948-48be-9d15-c1e28e621e07,
Los Flame Boys,HN,d0696c5b-9e4d-4675-8114-b89a656914d2,
Teen Stars,HN,e96d7248-6b9a-40e5-ae00-90f7e66a3fd1,
Rómulo Castro y El Grupo Tuira,HN,5860fd72-86c9-4b1f-894c-d882e4747d9a,
Alexa Ferrari,HN,c4179476-6c9f-4073-af0c-481f8363d07e,
Tavo Man,HN,400ae6ba-01b3-41bc-a471-c62d9bb2703c,
Animal Botanic,HN,847ad611-bc2c-4bc1-b956-277ab1e042df,
Grupo Folklórico Garifuna,HN,018969fe-c4b2-4264-ab87-40286ed6c870,
Codigo Eterno,HN,b62a5e2d-dcd3-4655-b7dd-17a9639245ce,
Carlos Härtling,HN,97506a5b-6a9d-48bc-ba8e-6ecd72b4ac2d,
Odyssey Amalia Gutierrez Welcome,HN,81682da6-d284-42b7-8041-4a658555c7aa,
Krisis,HN,b8ef1d81-a36a-4086-86ec-4a3b5f33f2ca,
Jorge Santos,HN,502072e9-e9d1-455c-9684-cf253e9b3f3f,
Legion,HN,42b803b5-b706-4ebe-b9ad-7dc229f87984,
Holocausto,HN,2afe904f-714c-4368-a64a-6ece0e246c33,
Josue Castro,HN,b086047b-59be-48e3-9aaf-847ea90be881,
Blasfemia,HN,a08e1222-a9de-42b1-9866-18f82174d232,
Otny Letras,HN,70815045-283d-4e42-9191-5d052a5cba05,
Alabanzas Tecorpusta,HN,86ccc525-51f2-48e9-b87a-a701e5ed1170,
Bezaleel,HN,d135712b-4a7e-4999-94aa-b3bf7091b604,
Abbadon,HN,7cbda81b-d653-4d29-ac11-2cf62357f737,
Esmeralda Arzu,HN,d1076989-ec12-4700-ac67-9e1097fa2db0,
Crows Crown,HN,87cc6258-6459-46e9-8ca9-1bff8d623503,
Hevren Maze,HN,45daf955-b26d-495c-b3d6-89fad41d7d55,
Anessa,HN,7377f135-877a-4bea-8d29-ed2f83964365,
Pavelín Núñez,HN,e4319d48-a590-4c98-8ce0-d907f6d3858f,
Darkwolf,HN,1909ea37-7ee0-41cc-88c9-d13a46b3f80e,
