name,country,mbid,youtube_channel
Arsen Dedić,HR,458a132a-ecca-4301-a7a4-6dcc6bdfc56f,
Parni valjak,HR,20b1d9d1-941d-4fd9-991b-1fe078598d8e,
Oliver Dragojević,HR,f24b0d83-6990-415a-8463-bdbedd76d358,
Azra,HR,abd7c966-ed88-4271-9ddd-ee2bbf835faf,
Prljavo kazalište,HR,c95b7552-b3e2-47a6-b1de-e0a3880d5340,
2CELLOS,HR,c8e94c78-0e17-4d9a-b1f6-96e1b22ebe97,
Severina,HR,5a8bf620-97b2-4e71-870d-b36da41d99c2,
Damjan Mravunac,HR,21d2c7d9-1637-4be1-b84a-f6edf84f48e0,
Boris Novković,HR,bafccd0e-87bf-4810-8813-ef6b74c39fbb,
Mišo Kovač,HR,7f57f58e-206d-4f6d-8938-bc01d8817133,
Colonia,HR,08783531-064a-4052-a1b5-7b854d043ea1,
Novi fosili,HR,d219f63c-7353-461f-861b-50288cc85813,
Ana-Marija Markovina,HR,308e5834-5506-4b75-a7c3-3320b38b7b5c,
Magazin,HR,2d81c2cb-1f13-4ee9-b9b6-e86d6fd85dd0,
Psihomodo Pop,HR,68e38dca-0ae0-4b2e-a5fa-62e39d6e89db,
Jasna Zlokić,HR,b09d7d1b-094d-48e4-9802-13ca69303140,
Let 3,HR,443dfd6c-3e62-4040-9af3-a69a86411cd2,
Josipa Lisac,HR,a3d0e0ad-e449-4e58-a523-e713422aadbe,
Daleka obala,HR,a141ed2d-41f4-40b7-af5d-e4f82e4c2651,
Ibrica Jusić,HR,6d1c364c-efb0-4df9-87a1-8756e080b305,
Bolesno Grinje,HR,2e2259ef-6a83-49f7-8e14-27fd75a38ef5,
Siniša Vuco,HR,19a95db1-01bd-40b3-ab2c-159ed2625104,
Aerodrom,HR,3e67a69e-45ee-4cda-b5a7-91e23ddf97d2,
Hladno pivo,HR,1c8f3831-5eb7-4dae-b8fc-ffeaa184dc17,
Massimo Savić,HR,4800e4f1-469d-4ab0-97c8-38636caf709b,
Patareni,HR,0b3a565f-a7b0-4937-9995-b45a5143f89c,
Dino Dvornik,HR,1ccfa55d-5b23-4158-a73a-ac8fbe3c02da,
Alka Vuica,HR,193ea71e-6f54-4f44-93fe-14f787e4424b,
Haustor,HR,5fb9dd0e-1b5d-4443-9b5d-096574639ef5,
Ivo Robić,HR,85dada73-e848-4cec-bf4f-c5718bd74ef0,
Gibonni,HR,a25c392b-e28b-4db4-bddd-b2e86340459c,
Maksim,HR,f53b3e36-f4c9-4df4-88ae-99c741e12ef2,
Majke,HR,fefe59c2-5149-471d-a956-f162b24e92ef,
Funky Destination,HR,d51a0ed7-c1c7-42d1-afcc-52758e5c766b,
