name,country,mbid,youtube_channel
Tabou Combo,HT,cd7af012-dba3-4eb6-8fc4-86d891b0657e,
Lakou Mizik,HT,36c02586-a1aa-4ad9-9b3e-d0411b7c7c68,
Orchestre Tropicana d’Haïti,HT,3b99a9b0-f86c-46b9-a968-70cab025c5a6,
Nemours Jean-Baptiste,HT,8fb367a8-5c57-4448-96cf-40dc97321694,
FREEDOM,HT,ef82c372-612e-456c-8abe-1629a1ed8bd9,
Les Shleu-Shleu,HT,858a29f1-c1e6-4ebc-b7e1-942f2f93a968,
Boukman Eksperyans,HT,0e2577fd-116c-4661-98c1-901c9e1e66a4,
Carimi,HT,ed6faed6-b839-4a82-84cc-ce0074d6ffec,
Issa El Saïeh et son orchestre,HT,9fcb8f24-1f0f-4c73-848e-f2b12cec1855,
Coupé Cloué,HT,12732900-451f-496e-898f-5bbff42deb54,
RAM,HT,1c20c159-e330-4e1a-92f7-435c18a9f4f8,
Moonlight Benjamin,HT,2bc49673-1791-4bac-bd8c-321da7f78d9e,
Qwote,HT,07db4077-5c61-4add-821e-59beea5d1d4d,
Super Jazz des Jeunes,HT,e6c2772e-c51d-48d6-a072-009323655ba3,
Chouk Bwa Libète,HT,0c5103e4-8803-4290-a24f-2255b7ae0ba0,
Frantz Casséus,HT,f9600484-bb54-47c9-ade1-4f76ff4c7da7,
Toto Bissainthe,HT,e41ee282-e6ef-4c78-8c25-9df828f9393f,
Société Absolument Guinin,HT,00a2203f-9828-4e54-8839-732f09736f48,
Zenglen,HT,c8454c2b-3fb5-4603-94be-ccea0b32e386,
Sweet Micky,HT,c869ebd8-7649-4dc0-bada-74ce3e22d8d4,
Les Frères Déjean,HT,21f703fb-6e0b-4b83-8e08-37e702637a27,
Erol Josué,HT,06a0805c-ca6d-419f-a8aa-54067edf35b9,
Ensemble Nemours Jean‐Baptiste,HT,ce570170-8e76-44c3-8c16-7959cacf31a1,
Mushy Widmaïer,HT,47b3681a-09df-44c4-a67b-2c532fb7c5ca,
Ensemble aux Calebasses,HT,0347fd2d-f125-4126-86b7-add4ad917bb1,
System Band,HT,b5e36fea-2f63-402e-9638-faf6fb85ea84,
Rara Machine,HT,e3ef17ef-2b6c-459a-bfb9-e482d4a4798e,
Les Vikings,HT,f5a82706-cfd2-4c0d-9beb-34b49395c5e7,
Guy Durosier,HT,b9f23c6e-89b4-4e28-b9c2-ce9a32909b88,
Top Vice,HT,3d60b62c-84b5-425f-95d6-cd60fdb91a1f,
Michaël Brun,HT,dbb214e0-53b8-467b-8ba8-296817d5bc16,
Atis Indepandan,HT,f6998588-8135-4257-ac68-f14950323166,
Louis Lahens,HT,d2857cd8-e15f-48db-bb79-aa8305e7b5a1,
Les Loups Noirs D'Haïti,HT,8b176dcd-149b-46b7-a341-87031df8ecc4,
Émerante de Pradines,HT,1aed312f-c214-4c51-a5a1-06f68394a37f,
Michel Martelly,HT,1a3d208e-0efd-4b65-8ad1-a5f047354db6,
Les Gypsies,HT,b30fca99-e5f5-45e8-9c13-cb218eba0767,
Skah Shah,HT,3575baea-a701-43a9-892c-f0f951673bed,
Alan Cavé,HT,6f4ae394-16d9-49c4-a569-9c8da6f76448,
Haiti Danse Chorus And Orchestra,HT,5f0d8fdb-d87c-4819-936e-23de026f4021,
Shilay,HT,3e6a817e-23cf-47fe-be32-28ee438d1e6e,
Boulpik,HT,cb52854c-e0ed-46d6-9215-797c3a28b54d,
Les Fantaisistes de Carrefour,HT,02c68dc6-2de2-4c0b-a3c3-ac216276c4d8,
BélO,HT,122d67e3-f08c-4341-a166-ba39a9b2de15,
Vox Sambou,HT,b814fec8-90dd-4519-9304-312d9075a400,
Manno Charlemagne,HT,1f8b057d-71d2-4105-8d65-89c841c0e4b3,
Pierre Chériza,HT,b71b34cf-d997-4ec7-bdc5-5677921899e4,
Lakansyel,HT,25da6278-5337-464c-b2c8-5487c7d993b2,
Mikaben,HT,07a118a1-3b95-4bd8-a260-0fcca9dbb7ee,
Ti Coca & Wanga Negress,HT,7c8bf804-d4e2-438d-8b80-17af79fe8ba0,
Magnum Band,HT,77b98f8c-45a0-4faf-8766-def6c2be2668,
Mini All Stars,HT,886cb047-5f2e-40dc-a632-15ddd3c93cc7,
Beken,HT,a47ed502-80ff-45ba-b2fd-0a56cdb7f16b,
Lülos Piërre,HT,b703531b-e981-473a-a146-bd90a8919ab9,
Richie & Zenglen,HT,89f5c505-8204-4a66-b489-56652b72486d,
Ti-Coca,HT,3e835085-1291-406f-ab9c-a204c003591a,
Bob Bovano,HT,5d2349fe-5cbb-401d-9702-450f9f7a9094,
Lolita Cuevas,HT,36d953da-b587-4a1a-8ff5-b32766a3e57f,
Nu-Vice,HT,81ac8219-c334-45a3-8e64-28e455934000,
Atis Constant,HT,773d88d1-a967-4a3b-9ab9-77c177b81e8e,
Tifane,HT,1dc04dcd-db0a-4d61-a767-4d4ca6648e59,
Rodrigue Milien et son Groupe Combite Creole,HT,5135dbc5-8979-4f14-b463-40bdf4a6bb00,
Hervé,HT,eaa826b0-6a33-4045-a235-8fe56a22b643,
Lucienne Pierre,HT,a75ec052-f60c-4a85-856d-14b03cd88b25,
Les Docteurs Du Rythme,HT,46261523-748d-4daf-8129-19d1b0029d17,
LaFrance Belvue,HT,6fff9897-f952-41e9-b07a-e9f0cadd90fb,
Pierre Blain,HT,2c82d4f4-4cba-4b8c-81e5-1276e93531dd,
Chouchou du Nord Ouest,HT,43a9c738-8bad-4b12-a1f5-11e969799eee,
The Haitian Bells,HT,dd01e984-7250-42dd-ae25-1e6ea4a788be,
Fabre Duroseau,HT,1cd19023-d1d1-4f7d-b5dd-fcc769982e1b,
Afro-Haitian Experimental Orchestra,HT,998539a2-c97a-4789-a300-0b591073dfd2,
Maguy Jean-Louis,HT,6013ba2d-a246-4d6e-b264-520b9986aea0,
Raoul Denis Jr.,HT,d1854863-b780-4961-91dc-6833b3075d93,
L'Ensemble Sélect,HT,8711c458-35fb-4095-a4de-f011c1875199,
Haiti Combo,HT,86c979a6-1378-406a-88a8-230647a0d8c8,
DP Express,HT,f814e97a-f72f-42fe-8a94-2d346ff84761,
Ti Band L'Avenir,HT,415d5e91-b541-4e39-b6ee-6348eb64982a,
Zéklè,HT,cb00c5a1-55c6-4a60-a7d5-698a1871c58e,
Joël Widmaïer,HT,a1aa7a52-9c1e-4185-b239-54cb2240e965,
Hansi,HT,01494fd8-ec1c-44d8-900b-ed0e52b4b65e,
Tuco Et Les Frères Déjean,HT,3790beec-c141-431e-b0aa-6c49f8389a2f,
Les Ambassadeurs,HT,cd7ac094-715c-48a1-be7f-1014ae0d79d9,
C-PROJECTS,HT,69b9450f-494d-49de-bbc0-7ab50b9c0524,
Ludovic Lamothe,HT,28a44699-6c4c-49f9-9cb4-71fe49ba5038,
Rodrigue Toussaint et le Bossa Combo,HT,39a7ab41-b6ac-4bc1-a73f-7d92aa1f6f8a,
The Jazz Majestic Orchestra,HT,174c69a3-282e-460c-84ba-5b89bdf6623a,
Magic Touch,HT,2bce4d18-54bf-4897-b4af-30f16cc98aea,
Haitiando,HT,1594fda4-3f21-4aaa-acff-29b7ba74ed5c,
Black Alex,HT,681a722b-a720-4c61-9404-d13ad8a31ab2,
Weasel_24,HT,f8aaaab4-3b4e-4005-b53d-0e8c72e89cb0,
Lena Hibbert,HT,fab1e856-a49a-4622-ba7d-c44aefa15c85,
Edmond Saintonge,HT,7566cbcd-d9d0-41b6-a444-42e17d70ad44,
Alcide,HT,d334faa0-52de-4f5d-8461-29515d47935d,
Alix Pascal,HT,e332d3b9-7efd-46f1-97bd-3b4607402c0a,
Mass konpa,HT,13d59763-2fe9-4902-aa47-fc5c3d5c9544,
Ti Manno,HT,51660079-a1ae-4445-baaf-2ad0a5b34e1a,
Orchestre Jazz Corondo,HT,ea78167d-1431-4b3f-b76d-55c2a66e7228,
Dadou Pasquet,HT,7345b820-7744-40d6-9e76-682ea3eac146,
Gato Da Bato,HT,0db7495f-a8de-4d8e-ba9b-c354554ff58d,
Tuco Bouzi,HT,5c250c1e-3c9f-4a16-a904-f53949dbb051,
Emile Desamours,HT,d3fc9f5b-3ef5-41e1-998a-c1f1cb542c6a,
Dimervil Servers,HT,8d8b9d4c-df9d-4e42-bcf3-f5a97216a51c,
Richard Cavé,HT,22b8887f-b0d2-4e56-a9c0-016fb43c8fac,
Messiah Brown,HT,762e81f7-0a4c-4547-b22f-cd6121f52daf,
T'Ras,HT,9a908852-62a2-4e68-a777-21bef66e8349,
Les Pachas du Canapé Vert,HT,1cd0af4a-2abd-4a59-a597-a1df45f43b86,
Zotobré,HT,df3f6a63-6e76-4687-9a21-e39c9e7e9d1d,
Sanba Zao,HT,2ecc3dff-52f9-45b0-8406-b583d2507342,
Ensemble Etoile du Soir,HT,270c7c97-e2ee-48c4-9268-46202df9fb7d,
Mozayik,HT,ef8edf12-ef06-4e04-a70d-6d5b360bdfaf,
Haiti Danse Orchestra,HT,fe013015-1753-48fb-91c7-05568aceb941,
Rara La Bel Fraicheur de l'Anglade,HT,8913ef9e-bf61-4cd4-8e9a-d1136a23c2e1,
Mapou Fò,HT,7f676f04-2542-4d0e-94de-0b02dc4df8c9,
Société Jour M'Alongé Fòc Nan Point Dieu Devant,HT,4b84ed3e-031f-4191-9228-c5d7faadfd5a,
Olence Calixte,HT,ce938863-523c-42b3-baa1-b4f97f25b528,
Jean Jean,HT,1b9bca4e-5c0d-4881-bc05-5edcdaffa9f1,
Fragile Fatal,HT,0028f97c-7a03-408e-8d2c-fd43e888363c,
Les Difficiles de Pétion-Ville,HT,920cb4b9-37d0-4c41-ac0a-c1eb3ec89cc5,
Mizik Mizik,HT,26760987-4ba0-4b1a-a120-e176e11d10b9,
Hangout,HT,48543316-9a42-4ba6-928d-f229ff14a54d,
Kadda Sheekoff,HT,78018b41-141a-478b-9205-eb6042c960f9,
Shupa Shupa,HT,d60d1095-17b4-46ee-9638-a602f1b12858,
Channel 10,HT,97b5ad05-2b97-43ec-aceb-31a86e57ce20,
L'Orchestre de la Radio Nationale d'Haïti,HT,7dffe6cf-65d9-4fa3-ab1e-57010d86a8f5,
Super Choucoune,HT,a0abc122-9fd5-4259-abe9-5ed373a2a0ec,
Guerrier Guerchon,HT,f6e72504-a0e8-4219-b27d-328c2563d37f,
Morgina Lavache,HT,b3d5357e-d778-43f5-acdb-893283dfdbaf,
Christophe Oxilas,HT,be8cb238-0ada-4a38-9a1d-66aee1b24193,
Sigbrien Bellis,HT,33daab25-0f08-42ec-ac90-38fed4024c7b,
Libera Borderau,HT,b1343c3e-c043-43fe-a9d5-583aadd5ef30,
Edgar Derosier,HT,80982ab2-c4cc-40a3-9160-a7cbcc96c96c,
Sakad,HT,21ac88cf-718b-49be-a362-417dce3a83c4,
Sanba Yo,HT,2f2aee9f-8147-46d2-85ea-3e1860009a88,
Bonga & The Vodou Drums of Haiti,HT,0a2c1152-8171-47dc-9b1b-1891d8eba331,
Frisner Augustin,HT,9620a331-4e98-4f60-bd0d-0196c8eeaccc,
Sanba Zawo and Djakata,HT,dec9a2e7-95bc-45fe-95fe-4ba2e3de42c6,
Sufus Hufus,HT,b9fa37ac-4fbe-45bf-8ff3-539bd40380d1,
Orchestre Franco‐Creole,HT,bb9645f6-2c5f-4c08-942e-e1c3817e34e5,
La Roux Chayopye,HT,dda85d06-d994-470d-b07a-bb0e8075e0bf,
No'Babies Stanley,HT,ef7f417c-1666-4a1e-9363-88658ce98f5c,
Djakata,HT,99967b66-6e3d-46f9-a8a0-a9565c96a45d,
El perystile de Mariani,HT,5354b273-0561-43fd-8442-1d5fc2ea03cb,
Shooting Star,HT,532e8096-1550-40b6-9566-b13e5b86fa55,
Wanito,HT,19360344-70a6-4bb4-85c5-181b5e161b33,
Zing Experience,HT,2702029a-7772-4a03-8794-609fcf13dc78,
Rodrigue Millien,HT,29b09326-e553-4e53-8c27-d6e41bc8ca46,
Kingstreet Tetkale,HT,6c68d13f-c701-4e71-9650-0c387869d162,
Antoine Komplo,HT,a6d44a2e-dcef-43ef-aab4-aed21d83879f,
Manman Mait'tambour,HT,6e4d59cf-f6a1-4c4c-9238-ef6d4337b495,
Mimerose Beaubrun,HT,2582c6ca-1dd1-46e6-b99a-f14eac3d3deb,
Lionel Benjamin,HT,471563fc-a8f5-4bde-8d27-e4fa1aef2723,
Mme Nerval,HT,0f5cbe18-2010-46db-8d72-ad780d1489a1,
Zin,HT,0f565da9-d92b-49ff-bf17-2b873a5e63ba,
Bordes Jules,HT,32f9b551-bf6b-40c8-bfa3-1308083848bb,
Monsieur Nerval,HT,4fd9afcf-54d0-4e73-9c35-66a7963845d4,
Brissot Monfort,HT,9106993c-e515-4150-9bbb-913a5ee2c3ed,
Lens To The Future,HT,0f168077-4b02-42bb-bb63-f04ab968808d,
Sila,HT,32e01e1a-3871-45ee-96a3-b115187f441d,
X Factor,HT,5afbdbed-b58b-4b9e-aa82-996b4250ab9a,
Zikiki,HT,4f20fa47-bb00-4a9c-8819-703d04c480aa,
GhettoNaz,HT,9da7e845-88e4-4577-91c3-82866165aa1f,
Yizra'el Band,HT,9c64fb7c-8678-4b8c-953f-4178f86362b1,
Welele Noubout,HT,a4906fbc-8114-4a70-93d6-c88668371e3c,
Asakivle,HT,afefc03f-46b5-44bc-b138-18cf80dc25ea,
T-Ze Mizik,HT,4a2fe818-eb63-4d62-989b-2c9b2eca4d1f,
Don Roy,HT,10f7ed90-57a6-47c7-9d53-627052f6ed76,
NMI,HT,851ca156-30f4-41a2-87a4-780e036079d0,
Delatour,HT,b0930f1c-6b5d-491a-8994-e973ab5689ed,
Wa David,HT,e9b17b74-7b45-43d8-83f4-126d673f3981,
Lil P,HT,0ff638b7-1f5e-4cf6-9160-4401b9c32f3e,
Lover,HT,0637f65f-a601-4a9c-9c8c-e97044665b0b,
Orchestre Septentrional,HT,3db080e0-282b-4618-a44c-6ac11bed8227,
Jean Bernard Thomas,HT,956cd73b-ddfe-4f3f-92b9-6d9b492dca6b,
Bad,HT,bff8e148-88cc-4498-b351-fe92ee3941e3,
Colonel Merlin,HT,d012b0e8-d69e-4301-a5d5-cb1afbf5adb9,
Mecca,HT,b146f973-3e02-4f8c-a6f7-a34fc521f5f1,
Mac B,HT,70af546b-2809-48a7-a90d-634731ab1380,
Travis Yarak,HT,5816ae8c-dfc9-45d7-95c5-21aabf4b27cf,
Bigga Haitian,HT,2b355451-dc47-4c60-a6f4-0d242ca95556,
Eric Charles,HT,cb1ba6c1-fb08-4105-93c5-18c6550731f7,
Masters of Haiti,HT,3c642496-3e95-4694-8ba3-80cffd03b623,
Ti Roro,HT,7ccc8991-b959-42b8-ae05-10a864751947,
New Rebel's,HT,ed34f54a-0930-4d01-a49b-e94c188c541a,
Compas Express,HT,4e6a9866-579c-4b35-9087-4880e8574fe3,
Racine Mapou de Azor,HT,48a2fe3a-d665-4061-96aa-8f50539b0540,
Ralph Balmir,HT,1c0ae814-46be-4721-bdce-c172ccc70f93,
