name,country,mbid,youtube_channel
Franz Liszt,HU,2cd475bb-1abd-40c4-9904-6d4b691c752c,
Béla Bartók,HU,fd14da1b-3c2d-4cc8-9ca6-fc8c62ce6988,
Miklós Rózsa,HU,0008af7d-2aa1-4b4d-80af-b3b64ee3cac6,
Sir Georg Solti,HU,41259fa5-5f9b-445c-8bba-ec28bbb7f2e5,
Omega,HU,819e4775-b9a6-4a24-b4af-0acfa9669a00,
Kodály Zoltán,HU,f0b9f872-502d-4ff4-825e-5b97aee4f0c0,
György Ligeti,HU,da5e774b-026a-4117-82a4-11d246c05a8b,
Necrotik Fissure,HU,e23ab330-1127-42af-b4d8-f651e96c0fe9,
Djabe,HU,3bdbdc8b-1eac-480c-9ae0-42a2b5f8f8a2,
András Schiff,HU,cb535c4c-711b-4be1-98f3-b6b5f8955d41,
Jenő Jandó,HU,42959d4b-b222-49e3-880d-b21a87689279,
P. Mobil,HU,ab4c1be6-af5d-4c38-9295-3a22822461c8,
György Kurtág,HU,52c73400-0546-45ac-b1ec-81b630fa72fd,
Vacant Wasteland,HU,b5970c04-4915-41e6-9f52-1059a59f95ec,
Ákos,HU,b8696047-080a-4e24-9901-238aa87717d0,
strxndxd,HU,cbab0832-47d1-47dd-bec6-cee9833e552b,
Kispál és a Borz,HU,fd4b9c30-2784-4bcf-b9c4-2c4aaf06a6c5,
Koncz Zsuzsa,HU,8a7974bf-ac23-404d-9782-9b04439bcb99,
Mujo,HU,2594e69d-a191-4203-8405-f20151083b13,
Cseh Tamás,HU,6863be56-685d-46a1-b69f-5f309c369aba,
Artcore,HU,dd7eae13-4a3a-4136-84a8-06baa1362969,
Ossian,HU,93c4a36b-12ce-4b02-822a-927c84f78309,
Sylvester Levay,HU,d3a6a1b4-7164-468f-b465-e5f5cd2c1db1,
Locomotiv GT,HU,9c85bf62-f575-41db-acb6-61104a1838c2,
Kormorán,HU,2107fc2d-9b0d-47ff-b3b3-9ffd767f8b61,
Ernő Dohnányi,HU,648d5cb0-c721-4193-9b2d-7452ac5e84e7,
Kaláka,HU,ac6b502e-fa6c-4dd0-833c-3f2fd5e8ea84,
HétköznaPI CSalódások,HU,d4ef573b-f1e2-4f8d-bbe8-0ca39957f62d,
Hobo Blues Band,HU,b7519a66-31fa-474c-8079-0c564445cd94,
Kovács Kati,HU,8dd96504-f19d-45e1-a80d-4d1ea627233d,
Neoton Família,HU,159137ed-1137-4094-a94d-595d96d7dc4f,
