name,country,mbid,youtube_channel
Daniel Alexander,ID,e85a23c7-0334-4ef5-9fd9-9b681e50c646,
Hetty Koes Endang,ID,5734821b-3f7c-449b-8131-1e9cec4b93cd,
JKT48,ID,b1da8509-4462-46f9-8eda-137c0e4d8cfa,
Dian Piesesha,ID,03d7d900-e546-4cc8-86c4-b83c16f7cdda,
Betharia Sonatha,ID,6571ee65-d6b8-461f-94db-7d8dffa6859b,
Iwan Fals,ID,326894c5-953a-45ac-9774-bc348a51214d,
Chrisye,ID,adfff063-402d-4e97-a34d-c1cb6adaa7a1,
Slank,ID,620e474b-241c-412a-ab43-207b86d6230b,
Noah,ID,3ab9740e-8983-4d5c-9c63-1b13124b610c,
HAFYZ,ID,f54bc141-416b-43d1-8ca7-bb9ae1861b18,
Ria Angelina,ID,6a1df926-5381-4b44-a1df-1617379155e4,
Kekal,ID,511986e7-f635-4868-9523-9deaa935fff6,
Heidy Diana,ID,d86bb831-4fa6-4b05-9170-8c4fe68ac71d,
Rafika Duri,ID,c156c33a-25fd-4976-b19a-9188ca4a30c0,
Dewa 19,ID,a36d5b2b-ccd3-47ec-83fb-73bd69f5687c,
Meriam Bellina,ID,67df0902-78e2-4fa4-9b84-95ddd6d8e7ba,
GIGI,ID,df5eef30-7463-4f8c-bbb3-c7b70cb04f69,
Grace Simon,ID,aae5aa0e-abf6-4e38-99b7-798c2b7b1de4,
NTRL,ID,a01de6d9-3289-4318-b84f-09d29b094aa8,
Nidji,ID,68796993-42b1-4f36-8570-6c0dbe2e7caa,
Nike Ardilla,ID,bd4b5cab-59e5-497e-95c8-3e7886ce7d4c,
Senyawa,ID,ba54a312-7e90-4751-8284-4f32ea54a4fe,
Pance Pondaag,ID,63d02555-a5b9-4457-b71e-22a3f9ac4b4b,
Sheila on 7,ID,f39c0afd-e66a-492b-ab1e-9b6acf98614a,
Lydia Natalia,ID,f48c3355-e4ad-4fbe-90a3-86fcbff63072,
Helen Sparingga,ID,53914c74-01b5-46f9-acfe-0c64044ab15e,
Mocca,ID,8aeabd02-d239-4d45-9f00-3929c63ab737,
Jamal Mirdad,ID,74beb14d-8afb-4be6-ab48-3d8745edace4,
Power Metal,ID,eed5d8cc-4724-4a91-9e05-f0548b4aeeda,
Deddy Dores,ID,4b46f4d7-e400-4db6-b534-58cedf9827fc,
Naif,ID,bf0f7699-117a-4001-8295-ef47035c4e2a,
Obbie Messakh,ID,68ed3fea-8f84-4db9-a4b0-bb069db28033,
d’Masiv,ID,b48307e8-1097-43fa-b57b-fdd7e06da76b,
NIKI,ID,0073a9e6-b4e5-454d-8d5c-1a0058b40ab5,
Maliq & D'Essentials,ID,4e6ed573-dfcd-4b62-9335-5d1152acd0bf,
Kahitna,ID,d9190b3f-3888-4cf9-b60e-25af432e5450,
Koes Plus,ID,a1ba8a6b-101f-46eb-98f0-f96132ff7353,
Rachie,ID,745a0c93-a487-4650-ab05-07c4eb9234a2,
Krisdayanti,ID,f7418252-1eba-444a-9096-85a06cee0a87,
Moses Bandwidth,ID,0f34440e-5d14-40d3-b2a9-f21042283ce9,
The Changcuters,ID,bf51684c-afc3-4bc4-b18f-500790f67066,
Jamrud,ID,b314d079-0290-4425-979a-5fb13e13dd40,
Pamungkas,ID,5ff9766f-828e-4078-8e0f-f67c31e5b527,
Billy Surya Dilaga,ID,d52834ee-22b8-4d0c-aa28-8730120071ba,
Chintami Atmanagara,ID,a7efb302-411d-4540-9906-c6485a45b94f,
Ungu,ID,851028b5-6b7a-4354-a704-862bef754bf0,
Boomerang,ID,a48adf0f-5386-4bb0-82aa-b894362f10c3,
Sore,ID,0026cf1b-34ca-4412-a9e2-de7793d5beea,
Richie Ricardo,ID,5bba5771-2256-4c55-b21f-b5469fafd699,
Raisa,ID,9bc1b374-43de-443c-abba-e2e946601dea,
Dewa Budjana,ID,cc5919cf-cfc0-4d1b-8267-fe9734080a22,
Siksakubur,ID,9865c100-b49f-480c-8820-75305c6a85f5,
