name,country,mbid,youtube_channel
U2,IE,a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432,
The Dubliners,IE,d201e6c0-103d-4a9a-9969-909bd421ddad,
Thin Lizzy,IE,6a726ac6-019e-455c-8bbb-571a77bed52e,
The Cranberries,IE,c98d40fd-f6cf-4b26-883e-eaa515ee2851,
Rory Gallagher,IE,933fdeae-ec68-48e9-a752-8bcfd44bc429,
Eoin Colfer,IE,d6167d26-65a2-4d51-878a-56de19a2d5c0,
Enya,IE,4967c0a1-b9f3-465e-8440-4598fd9fc33c,
Sinéad O’Connor,IE,c78a77fa-507c-4c07-947a-0355029453bd,
The Corrs,IE,acf6c776-d0f6-4239-b5a2-a45a613ffa52,
Clannad,IE,d45641da-371c-430e-8907-6086590ab282,
Westlife,IE,5f000e69-3cfd-4871-8f1b-faa7f0d4bcbc,
James Joyce,IE,d74dafbd-e974-4393-9d01-3bc2d81e2dc8,
Foster & Allen,IE,42cb63fa-0cbc-49cb-9cc3-34080b709921,
Gilbert O’Sullivan,IE,215394ba-3d0c-4b57-b284-ec5bb4a5ad25,
Daniel O’Donnell,IE,67e8b4c7-b917-4d51-a4f9-60a6a78ef61f,
Derek Landy,IE,f04739fe-f5d7-4e69-8107-9280aaa9875c,
Tana French,IE,1db2abba-275c-4f89-83fe-2cc909ce6e06,
The Chieftains,IE,fce5eb9a-95a7-4a54-b9e4-fe1b036fbe57,
Boyzone,IE,5523ed49-38bc-44fa-8670-2a9c354de0b1,
Ronan Keating,IE,f1cd545b-f17b-4d3a-98de-68b695bfe211,
John O’Callaghan,IE,8c0a04b6-8a33-4f6b-9cc5-bc2bbec03d31,
Celtic Woman,IE,4d483147-c871-48c4-8470-85e5a66381c5,
Christy Moore,IE,f931ccfa-5c64-4bee-94c0-32fb1a6876c3,
The Boomtown Rats,IE,47aa3e97-f623-4472-8e54-da886c6a6e20,
Wolfe Tones,IE,972821cc-a0c8-45bc-919a-a899190e740e,
My Bloody Valentine,IE,8ca01f46-53ac-4af2-8516-55a909c0905e,
Róisín Murphy,IE,4c56405d-ba8e-4283-99c3-1dc95bdd50e7,
Hozier,IE,b4691384-50c3-4afd-9988-51d3ec5db65d,
