name,country,mbid,youtube_channel
Wings of an Angel,IL,407fe493-a0f5-4dcd-bd86-bde9d7dc14e5,
אריק איינשטיין,IL,d3c90d1b-f529-404b-939d-41873386d4b4,
יובל נח הררי,IL,8313b68a-25f8-4607-9d94-474a85c3623f,
חוה אלברשטיין,IL,b6f36ff7-d252-498f-99b4-1937b00b386c,
יוסף משה כהנא,IL,30c06285-3ad9-48ec-8478-1676295e1eed,
עפרה חזה,IL,7591796a-a545-4b51-ba52-bf2539b90d99,
Infected Mushroom,IL,eab76c9f-ff91-4431-b6dd-3b976c598020,
אודי הרפז,IL,d2128426-de39-45e1-8139-2f224e7a9f0b,
אסתר עופרים,IL,8408d6b8-f124-46f4-9cb5-c37e03a6e08a,
גלי עטרי,IL,d352aa74-3c8c-4a5c-9d17-63abe4149119,
אילנית,IL,7cd7c71d-8890-40d3-a5d1-c0282180389c,
שלמה ארצי,IL,88f93eab-1bbb-4b02-816b-539af9ba8d4f,
שלום חנוך,IL,5dfde28d-8e46-43f8-bb33-2f593ee8c9f1,
Mike Brant,IL,cc02cf2c-4d1b-419f-ae12-92e559a62518,
Avi Rosenfeld,IL,c32ffb1e-4ae8-4632-bb4a-55d73aa60edb,
אריק לביא,IL,dcc27b9b-99d9-427d-addd-f542d5d8ad6e,
מתי כספי,IL,606d3e5a-cbaa-4199-b2fd-88951e07d523,
גידי גוב,IL,9ad63bae-b65a-467d-9311-21193fdae775,
Yahel,IL,efbbb4b2-b0aa-40b7-a15a-dfb3963697c9,
ארקדי דוכין,IL,d62ef425-a2c4-481a-9e21-67b5d853e030,
Astral Projection,IL,2ba31cc4-df9e-4c21-9dbc-bb8fa9af424f,
כוורת,IL,6ac29708-9886-4cef-a81b-5d289f55645d,
Daliah Lavi,IL,19faa9e3-6976-4baa-8e1a-db5212b18c2c,
ריקה זראי,IL,745ff372-0333-40cf-bf44-105418ac6ce4,
Orphaned Land,IL,3877a6a1-093c-4478-b5a6-58a99a1338db,
התזמורת הפילהרמונית הישראלית,IL,c8a88cc7-c93e-42b5-ba29-68859b5716e3,
דויד ברוזה,IL,2077bf4d-9bf2-43ac-8c9d-d3eec73e3b30,
הצ׳רצ׳ילים,IL,59f5e2af-251d-4aac-8b0d-6b8b74c69dcf,
יוסי בנאי,IL,331edda3-a98d-422e-9b44-9a9484b8a479,
Noa,IL,8c4ade2f-1b8e-4b87-a719-6a84c4eb1cd8,
הגשש החיוור,IL,532c3d82-6d84-4fa6-9201-e4a895afdb7f,
יוני רכטר,IL,48580a29-41f2-49e2-b602-90dc12899549,
Avishai Cohen,IL,17d78170-7194-4603-8dbb-ca1108430882,
אריאל זילבר,IL,91a0e0b2-732a-4ee4-8aaa-76edf50a1c9a,
Guy J,IL,bfaa69de-b75c-410a-8a23-c1accc0b5107,
Astrix,IL,13875f81-5bfc-4939-a6cc-296c3f8d0fa5,
יהודית רביץ,IL,10385cb9-e45f-4c18-b03e-190c94f5f305,
שם טוב לוי,IL,20d1949e-ee90-44ed-a26a-05a4d441bbaa,
אריק סיני,IL,96855582-f799-4c15-976f-17518eb6d633,
Asaf Avidan,IL,5b9890b9-a2e8-4768-ad70-9f28bb81fc00,
The Living Tombstone,IL,3f6ee55e-d523-4dd8-a027-7a6af9909ae1,
Daniel Kahneman,IL,8c014249-4f3c-47d7-b22b-a185907daef2,
אהוד בנאי,IL,5f52ab16-e6d1-44e4-8de1-65d140410ebf,
אייל גולן,IL,1bac0f84-77e7-4884-a9ae-122a90582da0,
Keren Ann,IL,8bb436cd-8fbf-48c6-9fc8-a172c27e24ba,
Ahrele Samet,IL,3dbb5d39-2440-4b86-9994-05f34c208e64,
יהורם גאון,IL,67025659-1206-4d8f-aaf2-36df95c73a6a,
Maor Levi,IL,72d9e82d-ed37-4057-9031-45306e9507a7,
שרית חדד,IL,bf77650a-a5c6-462d-8a29-b6381464ad09,
אביב גפן,IL,3f1f9c33-b86e-44e1-a332-b215456d279c,
הפרברים,IL,4f851ba3-b505-429f-b7d2-b5155d5a86bc,
Borgore,IL,215e2b5d-06f8-4c68-b33b-8fccec27a077,
Ari Goldwag,IL,a697ac23-9d82-45db-9c19-d72babbccfc9,
ריטה,IL,f1ed9728-df08-4969-b480-944682c3a8ed,
Dana International,IL,f92469be-f755-433a-be19-8bd0c9040e5a,
חיים ישראל,IL,b456772d-83ed-41c6-aafa-a20bab0973bc,
הדרה לוין ארדי,IL,3b893dd2-49e0-4574-9253-0349c0e47254,
Dudu Fisher,IL,4c257dfc-aea8-470c-843b-6ccdb2d03703,
Eliahu Inbal,IL,a34fb252-833a-4fee-b53a-892428ad91d7,
Useless ID,IL,3bb24e11-821a-4e4e-bd89-e0a2452474cf,
Xאתני,IL,38439dca-6b97-41a0-9516-b99108f455e0,
שלמה גרוניך,IL,32b29b99-38fb-4f6f-ade3-b9c3a3eb320a,
Zero Cult,IL,f5a8f323-71b5-4666-94c6-032f395d694d,
משינה,IL,a174c5e9-de6a-4ba7-bb0e-d1395257c175,
