name,country,mbid,youtube_channel
Davy Knowles,IM,d4bbe641-fc33-46cd-b586-c493f87eb5c3,
633397,IM,01eb15f3-e654-4922-b37d-1115d065e091,
Lucy Pullin,IM,5b2d1371-4b3e-4f4b-9d4b-23770f5249d1,
Back Door Slam,IM,b7aa3a81-01f7-4603-905f-8de902528ba9,
Katherine Crowe,IM,f1ab5653-6f1c-4b7e-baae-5e8fd3930d6d,
Annie Kissack,IM,a496efd2-7dbf-4984-b352-d7ef19f7274d,
Emma Christian,IM,23c84098-2f2d-4376-a31a-3bbaf2e4a25f,
Simon Campbell,IM,74c40b52-0d1d-4b63-a9a9-2197694cfc8a,
Mec Lir,IM,83291dbd-6608-4798-a0b4-e6c1b0134d69,
Aeons,IM,20aed90b-6a92-496d-9acc-262ef775d06d,
The Clown Calls For War,IM,77c6ce1d-8160-4297-a80a-4e106d478f92,
King Chiaullee,IM,36ba7e1f-2a8d-4dd6-bbd3-5e3daf6db3a3,
Barrule,IM,6bfbf434-9675-46c2-8d51-1811b2b1b30d,
Red Noise - Duke,IM,d6739da2-9d0d-4d84-a7b1-4733079e7c6f,
Manx Folk Dance Society,IM,d1dbcc8d-de85-45de-b5b6-228867562243,
P è n i n s o l a r,IM,0e5ad473-a087-4140-b7f4-1e9948b786d8,
Voodoo Bandits,IM,d5fc3014-4baa-4834-9325-bd76870db39c,
The Mollag Band,IM,2ff0c77f-c771-4c3f-b850-b4ffc967ad1a,
Man in the Woods,IM,09c92d14-69d3-4209-8aee-cba32da8f7f1,
Matt Kelly,IM,cb297502-0a0f-4975-a201-c89a9b5f8949,
Postcode,IM,9f1142c7-155f-408e-b0ad-2e00ff5dc182,
Bahuki,IM,ec34b618-c918-46fa-aa14-0b1052aafb5c,
Bernard Caine,IM,4ae9217f-0b7d-4a5d-9c5d-d4ad236dbf44,
Moot,IM,be5038cd-2f3c-4896-a74f-682f5f643621,
Kirsty and Katie Lawrence,IM,7579fbe8-e570-4386-a93d-9383f7f8681f,
Swarf Damage,IM,4366907e-7e07-4860-97a8-c1e7e24c2303,
Rhysical Pheck,IM,61a62fb8-5d1e-4147-ba0d-ea36d417a651,
Clash Vooar,IM,4f7c543a-1bb6-4048-9c46-2b709e8396b7,
Rob Cross,IM,8b4b4f1a-125d-406a-b446-ec11023187ea,
Seversyn,IM,021d42e9-6500-4845-8423-4991753c2587,
Mint Green Planet,IM,9b5c79b7-4377-429c-b769-146a302c8325,
Elizabeth Davidson-Blythe,IM,41089d3e-2049-4b26-84d4-e32f29770944,
Chris Flood,IM,6a4067b7-66f0-4e50-9031-a3604606738b,
Baad Acid,IM,5672dc65-d572-4f2f-922a-0e26552d6be5,
Electrolite,IM,bc8c7082-0ed6-456c-b033-0e701dae600c,
Clare Kilgallon,IM,01eff828-c812-48c6-8e4e-2f65ac434830,
Perree Bane,IM,35650625-e9cf-4ab9-8dff-9520cb35d61d,
Chronicles,IM,3d45c8cc-80f2-47d8-baab-18783525c096,
TEA,IM,6a2c3b7d-ae52-44e3-b2a4-5e87dc376189,
Bob Carswell,IM,7e704023-e1d6-4a66-b947-e965a4b7ceac,
Cristl Jerry,IM,9c0cc92f-00d8-465f-93fc-55679d36cbf7,
Tomás Callister,IM,4a0f9de2-f76e-4974-ab18-309d1b69387d,
Age of Kings,IM,2ca7f374-2fb9-4b78-bd9f-2cd820464d6d,
Last Drags,IM,a5d6c93f-b1f3-466f-9105-6c29ea750a6a,
Margaret Curphey,IM,5c22e92a-2b29-4514-830f-d27147488d26,
The Reeling Stones,IM,3901d0be-e88c-41be-9a07-b1102b60acf6,
Beccy Hurst,IM,870c7d31-54de-4e95-b340-6715a9d70dcb,
Lily Wolter,IM,2d220dbc-b623-4338-a14c-4bed4693b5fb,
The Lower East Side Parting,IM,a3fa5647-f51f-45f6-bb5c-58bf94e854f7,
Greg Joughin,IM,994339e8-b5fe-4c33-acc9-85cfaeb3c72a,
Nanaki,IM,fb88e44b-d462-4e5c-9930-4e685f116774,
Dave Collister,IM,e72bdc7e-0f98-4ff4-a049-03c95ca892f9,
John Kaneen,IM,986c0348-4000-4f04-bd3c-070c66797c2f,
John Corlett,IM,f2ba43dc-955f-4e3e-9561-5ba314ad5918,
Peddyr Cubberley,IM,6b9b91c0-bd1f-4c4f-a58d-2de93d8af941,
Sam Scarffe,IM,4df3c891-7bcf-404b-9eb5-2048d1cd3cf3,
Julian Edwards,IM,cf2583d9-503e-447f-a2ae-07bd51f1957d,
David Speers,IM,bb59a41b-0fa6-4d71-9573-c89e1ea94b03,
Sharon Corlett,IM,4e64363c-2331-4cdd-a866-817062b1596a,
Colin Jerry,IM,adbc7553-2453-4fb1-81dc-ada200c7cc62,
Adam Rhodes,IM,8d2658be-75df-4197-b5d4-d6fd34bc5f56,
King William's College Choir,IM,8206e6fb-6fcc-4435-b400-626e921b2f9b,
Jack Wolter,IM,5d6732aa-2ced-49c7-a20c-ecb4ff693ac4,
Scran,IM,d284dccc-e115-43a2-ad6c-b3013a8b713f,
Christy Dehaven,IM,2449645c-177e-4db0-b338-11246951efdc,
Simon Rea,IM,0323bbf3-c766-4a11-afe3-e994fe1322aa,
Eleri Morgan,IM,e7e946ad-3074-4c8d-9dbb-c9ed2de61859,
William Henry Gill,IM,18b34735-d69f-4554-a8b5-46132bcdd3c6,
Matthew Kelly,IM,85940247-98e2-43d9-8e29-588a8e1f3347,
Russell Cowin,IM,afcdd129-e8f5-4aac-8367-adda0fd233cd,
Thomas Edward Brown,IM,71ef7a28-63da-4c87-9629-ac86df857d9e,
Gilno Carswell,IM,465bc2d6-d347-44d1-b5c3-f2222b7945ab,
Annym,IM,3e9021c0-4c5d-4149-813e-036ee8c5ad61,
Cartesian Jetstream,IM,07664b5f-c294-451c-b18e-b3382da742b1,
David Kilgallon,IM,e3dfd7fd-8e71-4c7f-b801-4d77b4c2f534,
Phantom Effect,IM,771fc63f-b9cb-4b41-9d63-3e2fb4d72549,
