name,country,mbid,youtube_channel
Lata Mangeshkar,IN,aeb71bd8-447d-4415-8ea1-2b7d664f67e1,
Kishore Kumar,IN,793b8f58-80ab-49b3-b5ae-d94034dab10c,
Mohammed Rafi,IN,28365249-f3fd-44db-8131-32cb170970c4,
A. R. Rahman,IN,e0bba708-bdd3-478d-84ea-c706413bedab,
Zubeen Garg,IN,462d0e4a-5551-499a-b804-e95b997b4877,
Jagjit Singh,IN,ff7d390f-03be-40e4-9210-3e0f660966df,
Ravi Shankar,IN,697f8b9f-0454-40f2-bba2-58f35668cdbe,
Alka Yagnik,IN,52cf0679-e1cf-42ca-b9b5-86e018b36d91,
Rahul Dev Burman,IN,0278f30f-266b-4261-ba3a-67491555eab0,
Kumar Sanu,IN,9c58542d-d049-4f3b-a6e1-ff75d87472eb,
P. Susheela,IN,bb52ec6b-2446-41f9-a7f4-b19172ca48eb,
K. S. Chithra,IN,6fbfece4-f13a-4cd0-81df-81734821be30,
Udit Narayan,IN,43a90725-7432-4f08-baa6-4c939d6f69a9,
Mukesh,IN,bc396309-3a20-4520-9431-1444142d1051,
Manna Dey,IN,22f54aa9-3408-4de4-b953-cd44564f10a4,
Sonu Nigam,IN,93622908-0806-4173-94c1-9e42597af011,
S. Janaki,IN,ea5c9518-f1e4-4304-a6ed-9ead3a60ac2e,
Shreya Ghoshal,IN,a8740949-50a8-4e71-8133-17d31b7cf69c,
Zubin Mehta,IN,b83bb7b8-1b89-4b12-9af6-fd7ac29e2fae,
Ilaiyaraaja,IN,34394522-a0f0-4675-aad2-30ac3cb3d7d3,
Pritam,IN,52db98c1-0cc9-4aab-9f2d-ea8d359234f3,
Anu Malik,IN,627800e7-5cd3-413c-8b90-39e408575ca0,
Anuradha Paudwal,IN,b59ebbbe-8e97-4681-b055-1923a83cc619,
K. J. Yesudas,IN,9634022a-8f04-4e44-94fa-33804458787f,
T. M. Soundararajan,IN,94ce9d31-00f3-40da-848b-c670f4932867,
K.V. Narayanaswami,IN,50b4f46a-77f8-4392-afff-6ef67c93b907,
Arijit Singh,IN,ed3f4831-e3e0-4dc0-9381-f5649e9df221,
Himesh Reshammiya,IN,643f0b8a-d835-4f45-bb79-84dd5ac96b4a,
Mahendra Kapoor,IN,f1842227-6706-44f8-bd05-f2d77643109d,
Shankar Mahadevan,IN,bdbafa57-cf3f-4b7e-b956-fb6e0071ecd4,
Yuvan Shankar Raja,IN,94439fdd-273b-4255-9608-04cb1969fcfa,
Sunidhi Chauhan,IN,934cc2a7-822e-4117-8e82-8e663d7d2daf,
Geeta Dutt,IN,e85fcc5a-601d-47ea-b99a-3e9fe60da588,
Hariharan,IN,dd8f223c-66a0-4a5d-b4ca-5a4e884ddb80,
Anirudh Ravichander,IN,cf76861a-c1f5-456d-8d17-5994d05eecf8,
M.S. Subbulakshmi,IN,613361fb-24bd-4bc9-ad63-85ac5bc79156,
Usha Mangeshkar,IN,af24eec6-3f6d-42fa-be40-ea8376b8bb03,
KK,IN,172e980e-ba97-4adb-acb0-d59733c599b6,
Shaan,IN,4586db61-284f-42dd-9b19-69111ea08149,
Zakir Hussain,IN,a198b33b-a907-462d-a437-b6cc1b98b8f7,
Laxmikant Pyarelal,IN,ef6bbf43-3118-408d-8b4d-33263d4c874f,
Kavita Krishnamurthy,IN,95e3467a-b303-43e0-b44b-20c90e23c387,
Hemant Kumar,IN,3b6a3029-2729-4dff-9600-d7a15fd48956,
