name,country,mbid,youtube_channel
كاظم الساهر,IQ,0b91b4e7-5c97-4446-8665-27fe6026cd2f,
ماجد المهندس,IQ,0d72039b-5734-407d-9b19-23511c09a306,
منير بشير,IQ,842267e2-bffd-40df-a28f-46a27cd3ee18,
نصرت البدر,IQ,e356421c-6f26-47fb-9ddc-94ee1098226f,
Ilham Al Madfai,IQ,1fea7ea9-d5b9-4fc7-901e-85606a5af91c,
نصير شمه,IQ,65fed400-b1b5-41db-b281-331f16adbcf1,
رباب,IQ,51c708ce-cf13-498f-bf2a-78c46c14a41f,
Rahim AlHaj,IQ,4ba66b37-a9dc-45fe-9c56-8db63a6d53e8,
محمد القبانجي,IQ,48d9d784-dacb-4dff-b0a9-f0d320067386,
Suhail Shawqi,IQ,e2eada36-3ac4-4231-a1e8-659dafe87717,
Farida,IQ,75857f36-d3a1-4655-8b2b-9c9b76766876,
Mulla,IQ,27496697-9676-421e-885b-d4679a60b621,
Acrassicauda,IQ,6d5ec19a-b22f-4d96-ac1b-3d22e3b24cc3,
Seeds of Iblis,IQ,787b7cd1-7ead-4d20-bf30-f200e7351d37,
محمد السالم,IQ,6c132944-57bd-4fa3-b02b-b01ea49040c9,
Somberry,IQ,5761a8da-85b7-46a3-9c82-0b0b235d7823,
رحمة رياض,IQ,ce461506-5a0c-40d0-b47f-1cfb65ec063d,
Saif Nabeel,IQ,37682df2-0d3e-4290-b025-e54b5dac41b0,
سيف نبيل,IQ,13059976-dd05-4c92-aa63-840779b6a9ee,
i'm sure god won't do this to me,IQ,61aed3db-1874-48b7-8f7e-a9538fd00acf,
Dead Tears,IQ,2686607f-3ab6-4f5c-a928-796454423b38,
ناظم الغزالي,IQ,9d3e05e5-6380-496f-9800-803e7eefe7a3,
نبيل,IQ,f4e8c229-e07a-4835-ab04-a90d2a28bf59,
Sahar Taha,IQ,c4595d98-521b-49d1-b83a-1ceb28c2f570,
سيف عامر,IQ,f0c05819-3a59-450d-9100-cd4fd9cc92d2,
