name,country,mbid,youtube_channel
Armik,IR,61489e73-b397-48d2-ba35-5e8a0c619df0,
Googoosh,IR,0d9b88f3-054a-4f53-b447-2f3f503c8290,
Hossein Alizâdeh,IR,9e167c32-23e9-40c7-be71-9987f1676dc9,
محمدرضا شجريان,IR,1e6c8164-a1a1-457f-9c39-efbef12942c6,
Reza Sadeghi,IR,3313c8e6-bbed-4dac-98a4-6e73df753a78,
Homayoun Shajarian,IR,a5120e5e-0cb5-4212-8de0-fda40639007b,
Hayedeh,IR,da616429-d71b-4869-8b4e-cd279d94301c,
Shahram Nazeri,IR,dc8cab1c-207f-4f04-9118-02c753c8a69a,
Fariborz Lachini,IR,be861405-baf0-4062-af84-7da806e4929e,
Omid,IR,d1d5788f-3834-416f-afd6-e4d48c72cbda,
Mahsa Vahdat,IR,8dcb7827-bb7e-4600-bd71-d0bbe984cdfd,
Mohammad Esfahani,IR,2a2b3732-df1a-4df6-8851-62a931aecf72,
Sohrab Pakzad,IR,9e824007-3746-4aa2-b63d-1185161482d4,
علی رهبری,IR,874d821e-ac34-44c2-847c-2be7962d9f54,
Farhad,IR,264365c8-bcee-484d-a7c2-4772a5332abc,
Kourosh Yaghmaei,IR,1c11fabc-c4e2-4228-b37e-92e0a4dff840,
Լորիս Ճգնավորյան,IR,234555f9-e756-474b-b3a7-bb2eed4177af,
Kayhan Kalhor,IR,dd2a84cc-0d01-45fd-ba64-a0f7df21a226,
Vigen Derderian,IR,770928cc-50db-4ed9-9d51-688e2f55c7bc,
Shakila,IR,ce5abf5d-25f0-4ca4-8c0c-e80df092f922,
Dariush Talâ'i,IR,63cd3651-2d79-40e9-8123-9ec86eda86d3,
Habib Mohebian,IR,c7a21981-b00e-4f0a-a7aa-e69ef7e3d92f,
Mahasti,IR,e0668079-2dea-4449-8d6c-5158567de8e0,
Reza Yazdani,IR,8263b00b-352f-47ea-93d3-6ab6dfa457e6,
Seyyed Hossein Nasr,IR,a9fa46eb-af1f-4d04-b1ae-003194841646,
Parham Gharavaisi,IR,c8cc67e8-fa0d-4d6f-a6d7-49958e85309b,
Marzieh,IR,7e2d5988-5864-4298-b26b-88264d3d1b20,
Hamid Askari,IR,f2373b9b-4d28-4503-8e8d-1620e4ef9e08,
