name,country,mbid,youtube_channel
Björk,IS,87c5dedd-371d-4a53-9f7f-80522fb7f3cb,
Sigur Rós,IS,f6f2326f-6b25-4170-b89d-e235b25508e8,
Vladimir Ashkenazy,IS,15a30428-87c4-455b-b7e8-71013237fea0,
Arnaldur Indriðason,IS,515e63a4-947a-4bd9-bd02-59f4ca13a4dc,
Jóhann Jóhannsson,IS,578c1e77-4756-44dd-86a9-b1e71a5b635e,
Bubbi Morthens,IS,90edc2f4-f128-47e4-9aa5-ee2073950fe6,
GusGus,IS,f5cff7b2-b19d-4934-8525-b17248b30ab3,
Ólafur Arnalds,IS,6655955b-1c1e-4bcb-84e4-81bcd9efab30,
The Sugarcubes,IS,95303251-46d5-4239-89c8-eaf0b0947a11,
Emilíana Torrini,IS,b2a9731b-9e13-4ff9-af21-5e694a5663e8,
Atli Örvarsson,IS,e46cd9a1-56de-4748-b7fc-94c30564f858,
Ben Frost,IS,74ce8ef4-7ad6-41ec-92a6-d6c50ecd1637,
múm,IS,2b64e811-cbcd-45f7-b29d-296444cad4f1,
Laufey,IS,21a89505-10a9-4ac0-8388-833bc07b9f86,
Of Monsters and Men,IS,9e103f85-7af7-41d7-b83b-49ba8f0c5abf,
Mezzoforte,IS,a395dfdb-791e-4e57-ad3b-99948a162742,
Futuregrapher,IS,d9cab98a-14d1-4a53-905b-713426b4eeea,
Jónsi,IS,af00f655-402f-4d80-bb83-de525cde7a8d,
Megas,IS,6a9528dd-97f1-4283-9ad3-172e7959755a,
Jón Hallur Haraldsson,IS,147ad01e-3496-44a0-b77b-55e089759b3c,
Hildur Guðnadóttir,IS,8a399a51-6b93-448e-82c0-f86c83602605,
Sinfóníuhljómsveit Íslands,IS,cc40ae57-e255-4c49-917d-3a957bc0f267,
Víkingur Ólafsson,IS,cea4a3b8-c26c-4b61-a243-cf72555e2c71,
Sólstafir,IS,5f976464-4a48-4c0e-aee4-bb70afaf7a8b,
Alex Somers,IS,873a5f8b-f9f4-4458-84b3-476aab0ac922,
Stafrænn Hákon,IS,5acc8f55-0a77-455f-bba4-f2f3c14f509b,
Yagya,IS,b33ad139-56b1-4f16-b778-1386030c061e,
Ruxpin,IS,4dab20be-f26d-49f3-8bb2-bb011acf180b,
Bjarki,IS,3c02704e-e0ed-4331-801d-f3209d66e8c3,
Árstíðir,IS,7104ec2f-038c-42a7-8ec8-0fdc753a348e,
Sin Fang,IS,fb890f05-363e-47b6-96ca-39d4e8ab4326,
