name,country,mbid,youtube_channel
Antonio Vivaldi,IT,ad79836d-9849-44df-8789-180bbc823f3c,
Ennio Morricone,IT,a16e47f5-aa54-47fe-87e4-bb8af91a9fdd,
Giuseppe Verdi,IT,f1bedf1f-4445-4651-9c35-f4a3f3860a13,
Giacomo Puccini,IT,a693df4a-8762-4a45-b7fd-6695b558385e,
Gioachino Rossini,IT,846be3c9-5f94-46ab-97b9-531335dd3658,
Domenico Scarlatti,IT,95c7a1d1-5cfd-41d5-99f9-0611262de8e1,
Claudio Monteverdi,IT,9a33a7ad-f725-473a-b50a-1d1796183af1,
Arcangelo Corelli,IT,a3546087-fe59-47d3-a3a8-42d58e2573c7,
Gaetano Donizetti,IT,b8ecf204-6be8-4041-ab11-6d9971ea2711,
Mina,IT,a56f5af0-3e87-4877-b68f-390f62903381,
Luciano Pavarotti,IT,705076ef-a0c5-472f-bebd-3e72174fcaf4,
Niccolò Paganini,IT,d581b2f2-f945-4566-a249-2d0171466993,
Vincenzo Bellini,IT,6f5bfd20-84cc-4879-8a40-05631ad576c7,
Adriano Celentano,IT,d2b50525-1111-4906-aab6-4553f035f679,
Piero Piccioni,IT,52e50090-9a6d-463b-9cf9-ea5de196026a,
Luigi Boccherini,IT,5c1a3f8f-d5e5-4dcd-9e44-9443f06bb77d,
Stelvio Cipriani,IT,18386eff-ea05-4ccb-8d62-ff0c99a54018,
Tomaso Giovanni Albinoni,IT,83903121-f611-4875-984c-673ae7173e56,
Nino Rota,IT,d52ac009-4ed5-4d01-97d5-8280bb7dd460,
Gigi D’Agostino,IT,57c1e5ea-e08f-413a-bcb1-f4e4b675bead,
Alessandro Scarlatti,IT,6aada4a8-2533-4fa9-a0c7-04c50a62c2ca,
Fabrizio De André,IT,204db5a8-78f1-4078-801f-ae8f456eeb60,
Andrea Bocelli,IT,c5a0a216-c33c-42dc-92b8-4b60236f8dad,
Pino Donaggio,IT,acc7de41-2385-4ac0-8141-9084c1f79829,
Vasco Rossi,IT,3bf74908-e8b3-4158-8fae-4fd795bb4474,
Mauro Picotto,IT,0eb89e0b-adee-4175-b1f0-55a3531937be,
Eros Ramazzotti,IT,3ab7295a-54ac-40e8-b1b2-3d110a143550,
Giovanni Pierluigi da Palestrina,IT,4daeb526-6c4c-4f77-bdf5-4a0fcb714bfe,
Ottorino Respighi,IT,788c380d-247b-42f0-b7a9-64881e1f0fd9,
Zucchero,IT,00ed154e-8679-42f0-8f42-e59bd7e185af,
Jovanotti,IT,373b3663-ecc3-40c4-9241-838ae8ca34d0,
Giorgio Moroder,IT,38dd6337-19ae-4793-ab4b-313eff523457,
Kastelruther Spatzen,IT,020b54b4-9263-4300-8ddd-a1a383481b6e,
Claudio Baglioni,IT,963ea9d9-743a-409d-a997-0559f8761e67,
Bruno Nicolai,IT,c8ab0960-a254-40be-b612-854ded80c713,
Renato Zero,IT,5d2e11a9-08cf-4f43-993a-be5dc908e5d6,
Elisa,IT,8d173bdf-c83e-42d7-8355-c8d6f0d10c0e,
Piero Umiliani,IT,806b793c-fb2c-401e-be44-f753c0ea2f15,
Ludovico Einaudi,IT,fa34b363-79df-434f-a5b8-be4e6898543f,
Fausto Papetti,IT,c64f69a3-c78d-43b5-875e-4f5d791de3c6,
Cappella,IT,0f6854c0-d62b-4e0e-a78e-e0d0f34d8612,
Franco Battiato,IT,0cd117b2-2e21-406d-80cf-5ce0a6065e37,
Mantovani,IT,4c566ee7-8dd4-4edc-8cbe-a86ee30feb06,
Giovanni Battista Pergolesi,IT,7640225e-5758-40e2-a37b-971c2a7994b0,
Francesco De Masi,IT,2f3b063d-f1b5-48a1-9f24-7231b2bcdecd,
Ornella Vanoni,IT,003f3a74-7595-4da7-b46b-19a8f8e9a1b5,
Lucio Battisti,IT,c0c0de23-d9c1-4776-97e0-0c2529402622,
Riccardo Cocciante,IT,593bb5a8-a093-431b-b78e-4d6213460980,
Girolamo Frescobaldi,IT,72e92c01-b647-4bd6-af9f-51bb960037f6,
Nomadi,IT,48fe77c4-cb39-4316-85e9-30669f317935,
Lucio Dalla,IT,60889737-6f73-415e-ba20-5040498512b4,
Maurizio Bianchi,IT,57bd7b0e-a1be-4a9d-a0e3-e7980f156728,
Premiata Forneria Marconi,IT,85e65d5f-4d9b-407d-b261-882caa52bff3,
Rondò Veneziano,IT,940a5867-a2e5-4af5-ae05-91cf63bd0b52,
Claudio Abbado,IT,39e84597-3e0f-4ccc-89d2-6ee1dd6fb050,
Paolo Conte,IT,777bfd31-0c54-49b9-b057-c1fa742cdcf1,
Pooh,IT,3d6563ff-0dc7-4306-a05f-d68ad7a02964,
Laura Pausini,IT,472b9953-1f10-4aed-b1ec-d0c23ffb2cf1,
Pietro Antonio Locatelli,IT,8dc575fe-7a0d-435b-8fb7-9c76ea8eb109,
Milva,IT,3164b4f3-bcec-4f1e-978f-7d8de16f1361,
Benny Benassi,IT,674bf89f-8e70-4472-929d-6b4ed6f98c88,
Guido e Maurizio De Angelis,IT,396ae799-8302-4e56-9bb0-aebf81e8d70c,
Lacuna Coil,IT,6fea1339-260c-40fe-bb7a-ace5c8438955,
Pino Daniele,IT,5b1633c8-cb78-4d85-a7d1-a6d145d8d472,
Ferruccio Busoni,IT,cab67e98-340d-424e-baf1-b127902c200b,
Ligabue,IT,d5b0dc28-2f22-4f7d-adfb-ebbc30fa6d48,
Pietro Mascagni,IT,95f7c24e-2879-4abb-ba35-906c467fc704,
Carlo Gesualdo,IT,c6c6f154-b3b8-4f82-a500-589373f41556,
Mia Martini,IT,08602315-ec54-4918-b446-efd6e9c6c9b6,
Giuseppe Tartini,IT,90c8118e-b5cc-4df8-80d3-8079879c9cef,
Antonello Venditti,IT,dd4a5777-42a3-44a2-b5e6-bff6731cdf3a,
Nico Fidenco,IT,f9a64d52-5182-419d-aad4-a99531a0ef62,
Riz Ortolani,IT,e592c35e-86f5-4d90-9a3e-c5261031413d,
Angelo Branduardi,IT,fd090183-3fa6-4138-ae8d-3737571bb082,
