name,country,mbid,youtube_channel
Guru Josh Project,JE,9fa0e4be-4cd9-43fb-8b20-ad07c15b3b97,
Legend,JE,922d2481-84b3-4f4e-b36a-71417a837920,
Turquoise Days,JE,d75d956e-38ec-4ffe-93a3-b0a1d7ebb068,
Human Movement,JE,30d23fda-7f4f-466b-826e-a3f8c7381941,
Astral Cloud Ashes,JE,5a3af225-bcc3-4578-baa3-b8d45f19b470,
Brave Yesterday,JE,1c9ecfa1-3b85-485d-8b84-0465abf67348,
The Impending Blindness,JE,86bdca09-9d26-4f8d-9e3f-3f7be2bc58f9,
Ash Victim,JE,19a7f032-d34f-4ce6-91d0-83e16451cede,
Lauren Ivy,JE,c5a90653-d206-4a49-93d1-e6fc2ba29a14,
Iain Macleod,JE,d8f41558-6d01-4c1c-b6e4-e1ca89b4482f,
Crowne,JE,c731d01c-c799-4acc-a2bc-3f0bf21db9cc,
Psyonysus,JE,3e3b19de-9c71-4320-8478-e25c6292ad37,
Sergeant Pipon's Lonely Hearts Club Band,JE,f93fdd38-e727-4b92-ab2a-6bb41a19ce7a,
The Parlour Band,JE,bc98b73a-666b-4130-b82f-059518bb4c50,
MarleyMillz,JE,a6a07050-9c7b-4935-a528-6301db249251,
Vagus,JE,9d35b292-8ab5-4cfe-820b-526d28a3b43a,
The Big Hellos,JE,c2870139-ef1f-45c9-acdb-b8a56fd86501,
Stan Smith,JE,de5eebe9-e693-485a-a3b2-cb552fb5f5b8,
Marc Mitchell,JE,33717c49-5478-41ce-85ed-e85216780f10,
Any Day Parade,JE,8a77cf26-b93a-4117-9da6-92ca63f1ed4e,
Lauren Ivy and The Engine,JE,65f02965-87eb-4586-986e-8b42b2543b6e,
Perchard's Wall,JE,fba2986b-dd34-4f5f-a5c0-c84e53d6e79c,
RIØT,JE,670d6234-b93e-47cf-93ab-98bde5d51657,
Nicky Three Sixty,JE,f1a583ff-ab32-40dc-afd0-d783ba195f68,
Mozaics,JE,399e6708-65c3-470a-9061-a3d76ea3164e,
Benny The Moth,JE,3fe99bbf-9323-47ab-94ba-70973be0493a,
Sadie Rennard,JE,b4db61e2-b4c3-4cbb-8636-74252ff9cd76,
Hamish Marett‐Crosby,JE,978416bf-628e-432c-9301-f5ed472f3e3a,
The Cryptics,JE,03ce0a67-60e9-4293-9b43-81ad6fdb7d48,
Krystian Lamb,JE,242fa54b-46dd-4b8c-b328-36edf97ca6f5,
The Valentines,JE,0e7bbc03-67b1-4aee-9e9a-128b26862705,
Adonis Star,JE,41e6433a-c9c8-4c99-bc43-43f81b22d7f6,
Matthew Crick,JE,39fdab8b-d14f-4eb3-8325-0afda066a40e,
Boo The Elephant,JE,f33a8e2d-2f8e-43ea-a028-10ef7a84e7de,
Off Limits,JE,256cef96-56ac-4ba4-80b1-49fb1962a114,
Interstellar Cloud,JE,717b701e-d836-4e7d-a430-b3cfca9a9a41,
Adam Bradbury,JE,0569e21d-665a-41a2-b568-d6d8741d1f05,
Josh Hearmon,JE,dc5f3d37-05c0-4061-b8ad-8000e1ce053a,
