name,country,mbid,youtube_channel
Bob Marley & The Wailers,JM,c296e10c-110a-4103-9e77-47bfebb7fb2e,
Gregory Isaacs,JM,9abff216-e204-4dbc-9849-d1dbe1fbbda8,
Lee “Scratch” Perry,JM,af75ebe4-3ab1-423d-a499-2a6f9d011ce2,
Dennis Brown,JM,24c0aaf3-4ac2-4f9a-9ce6-a1545a96f017,
Jimmy Cliff,JM,2caa54a7-b08c-41da-b892-3a41abe778be,
The Upsetters,JM,7bcf8b20-72a6-48b1-bad3-b28869090dda,
King Tubby,JM,576134a6-9f1f-4bfa-af04-4848195849ca,
John Holt,JM,38d64df7-5b7f-42ca-9d98-9541640ca84f,
Toots & The Maytals,JM,29730ee3-e1c7-4e28-9ccd-3a0e6b0e8103,
Bob Marley,JM,ed2ac1e9-d51d-4eff-a2c2-85e81abd6360,
Sizzla,JM,c8327cc0-54f3-424f-a68d-000ee7289a41,
Horace Andy,JM,2027b08d-45b1-4fb5-aa6d-f6ccc4db78e5,
Shaggy,JM,fc63d806-ca89-4ea3-a404-ee6de695743f,
Desmond Dekker,JM,8ac5bea6-3a62-4e28-9df7-03f24d4c06fc,
Sean Paul,JM,c3da3346-2643-48a7-93cd-011f6834b3d7,
Beenie Man,JM,0d85b9f2-802d-48bb-aa85-6a9668869053,
Burning Spear,JM,16dad944-c492-43dd-88ed-e0b7ac520c40,
The Heptones,JM,01bdd90c-59b7-4e18-8934-7db4ac00d094,
Augustus Pablo,JM,e2f9c452-7eb0-4782-bc3e-36f2c456ffe0,
Sly & Robbie,JM,6e14dc18-9313-4afa-9344-4b6c2bf80fca,
Vybz Kartel,JM,7cc385f3-333c-48de-b341-3d728de74973,
Barrington Levy,JM,8ddf3da1-dfa9-490a-93cc-7d4072319995,
The Skatalites,JM,87ac7e25-f278-47a0-b109-5eb131dc96b6,
Peter Tosh,JM,7db6aae5-6644-4513-9bfc-ca2e79d4469c,
Ken Boothe,JM,f8eee368-dfe3-4e01-ad1b-9b306a6afb23,
Black Uhuru,JM,8ee00333-ec2c-439b-a619-ae160aca2a15,
Yellowman,JM,870ec051-e50e-4bf9-b704-6098fe0e0297,
Inner Circle,JM,0a5c92c7-4aa7-4324-82ab-8e8e733507cb,
Capleton,JM,93dda03d-c1d3-42c2-80b0-fa71bc20262b,
Johnny Clarke,JM,3c79e3ff-f41b-45d8-af26-40151798056b,
Max Romeo,JM,d82e9822-521a-4e20-bb22-9e944374cd40,
Scientist,JM,90d63976-5e70-4c73-a500-eb67997d6ed2,
Major Lazer,JM,75be165a-ad83-4d12-bd28-f589a15c479f,
Alton Ellis,JM,b04d9207-306c-42db-8b6a-c94d49b4b08a,
Sugar Minott,JM,01d336ae-7f79-496d-94f9-211b57517b17,
Delroy Wilson,JM,19b3c333-bfc3-4915-ace8-cdb4a5a79a9b,
Freddie McGregor,JM,7217d3fb-a04b-429d-abcf-a74265a93c73,
