name,country,mbid,youtube_channel
Shaun Baker,JO,05ba0467-3a94-4f44-97c9-b8d7c0683a40,
Arsee,JO,dab27014-40fd-42da-9ca8-70b45b615c9a,
الفرعي,JO,08cc8684-4ef3-41f9-9b98-65e14ac29034,
Autostrad,JO,63c1f34b-e2e3-4c86-8c9b-86d8cdb06c5e,
عمر العبداللات,JO,ed243829-ff63-4c05-82d3-012071dd8396,
Chalice of Doom,JO,91f37c2e-e23b-49fc-ae15-2a7b0f9244fa,
Bilocate,JO,10efd110-a9ff-4aa2-8b43-0cc3f6623c71,
Toumba,JO,ba813a96-bd45-482c-a0b5-6bab9908fbdc,
Lobo Ismail,JO,d9ca223e-7cca-4347-9cf1-7de22476b53c,
47SOUL,JO,3bbc179b-cada-4022-a495-c1ee3566e033,
Aziz Maraka,JO,a04a3ecc-0b46-4aa2-9c33-06aaeb3d07c0,
Zaid Khaled,JO,98f37f1d-a369-4905-bbf0-f200eb819fb8,
تيار,JO,0b0e9a61-f309-4178-9bc9-573a576ba3cd,
Dragonrider,JO,8659be58-f937-4ac2-a4b5-f0d6c522ce60,
Hamzeh,JO,49e59555-d4d5-4974-834a-49e5107f985f,
Toni Qattan,JO,5a1878b6-42c0-4826-8b6a-68c9ab50c6d6,
Hayajan,JO,4a5d69a1-4757-4a04-98f2-8b4530903a1a,
Hani Naser,JO,e08b8270-b8a2-4efc-bf2c-105da36a3dfb,
El Morabba3,JO,c23c3c42-43ac-4686-920f-7ffc7d3e1226,
Hani Mitwasi,JO,74a40383-dae9-4bf7-92f6-40874e7ee631,
The Triplet Code,JO,3a6ce8a9-7126-4fc5-845a-cdd40e0ce11f,
Issam Alnajjar,JO,dcdb7a88-bd7a-454a-9308-33ca530f0c36,
Tears of Regret,JO,d09f9a68-7a57-4b39-9583-c3cf7e4df569,
Bouq,JO,22097447-47f0-4830-b151-c9807852904e,
مي سليم,JO,df07e115-ab01-4184-a9ea-7b7809dd1fdd,
Tlepsh,JO,5c3977a2-f635-487a-961e-6649cf1d402b,
Forgive Me,JO,38283177-e6df-48b3-a5f5-60d47d1ec0f7,
أدهم نابلسي,JO,4347d1a8-cad7-4a83-a909-99f4aada972e,
Exile,JO,17340bbc-b829-4e6c-9a4a-ace8ad1cb308,
Lord Azmo,JO,9e0ac59d-cf5a-4dc6-8d90-f8185a0b5d0d,
MADDEH-1,JO,d96efdb9-dc73-41c6-b2b1-bc2d84ca177f,
Ayham,JO,f223fddc-03de-4fd4-9aea-6229535e6414,
Fakhri Jarrar,JO,7b306696-5a01-4693-9dda-456a21469393,
Hanna Gargour,JO,b0b522dd-d780-4f33-b6cd-c053820c0da5,
Albaitil Ashwai البيت العشوائي,JO,2f119d1f-0802-4bac-97a0-9f47b5dcbb28,
Iyad Sughayer,JO,2b1e9642-11b2-43da-8d1c-a0b82b5c0495,
The Dead Sea,JO,aa785140-29d4-48d2-a194-6f91e83af7d1,
شروف,JO,706fdb01-05c6-49aa-963d-54237ff7cb7f,
Yacoub Abu Ghosh,JO,22882362-e69a-4c15-ac78-f4970a562bd1,
Ayloul,JO,f1fbfd46-9f72-4665-a3a4-69da6dfc5262,
Jordanian National Orchestra,JO,3d69c9df-85bd-4729-8aa1-db6e71c733dc,
Diana Karazon,JO,e7914386-7d6f-48d2-9571-2ed66f46c584,
Naser Mestarihi,JO,222035a6-814b-46c9-95c5-1cca5cba7c8c,
Amjad Shahrour,JO,1024082b-323e-4f04-8b3c-b0ee1893c590,
Jamal Khleif,JO,b678531a-7541-4c1b-8f7d-823ce3269967,
Majdoulin Hattar,JO,1100f453-87db-4d9f-a0f0-20fb99a7dd73,
Aniseh Hattar,JO,7f3da72b-3869-4c01-9038-56f6ef0549ec,
Rabita Hattar,JO,1049d351-88f4-44c8-a0f7-30d933f15cb3,
Badiya Hattar,JO,90d0bc7a-7718-4ce3-b559-24cdf0547bc0,
Farah Siraj,JO,f7857066-f883-484d-9808-20c17a3cd02c,
Prince Zeid bin Ra'ad,JO,e95008cd-66c9-4e41-b45f-a8a4ddb57384,
Augury,JO,1afbe77f-c292-48a4-9e72-5cdde3d255ae,
Ali Karsu,JO,39221ebf-c552-4251-858f-9c04b2038889,
ابراهيم نجادا,JO,cf16f917-d2f2-4a5d-9b1f-e53cd8108097,
بطاينة,JO,226f1089-3819-4301-b5e8-04555758df20,
