name,country,mbid,youtube_channel
植松伸夫,JP,92bb085a-2924-4479-b627-181a1835d2f5,
コナミ矩形波倶楽部,JP,0fcb6831-ff9a-47ff-a509-45f267aa8c21,
Falcom Sound Team jdk,JP,c999f4ef-8733-46f8-ae3a-d5628c260ea8,
Nintendo,JP,05e536dd-abaa-4e87-b9c0-678eb59c38c8,
桜庭統,JP,ea809832-657d-4335-b492-1daa3d46a322,
川井憲次,JP,c50e52e1-01f4-494d-b1ef-376fe3581d90,
近藤浩治,JP,c376498a-cdf6-422b-9055-3fce84424402,
中森明菜,JP,9f18e7f6-08e8-4b85-a5d9-070a60ee522a,
久石譲,JP,44c64a30-1d58-49c5-b314-6e02fba49526,
モーニング娘。,JP,9bffb20c-dd17-4895-9fd1-4e73e888d799,
松田聖子,JP,ef013257-e584-410e-88e8-05ea9ae9ea3a,
Merzbow,JP,2841d983-f8c3-432a-af02-7407a84580a8,
鷺巣詩郎,JP,9b127d23-f877-4541-83cd-44f46393dfb7,
下村陽子,JP,b3933fd6-fba9-44b1-992a-1e8128324ca1,
田中公平,JP,7805e018-4db0-46f9-96a6-8607995c26a8,
梶浦由記,JP,67e344da-ec54-4e26-b2a4-8351d744a14c,
坂本龍一,JP,a7f7df4a-77d8-4f12-8acd-5c60c93f4de8,
AKB48,JP,be547bca-8718-4762-bf1b-34a3bdb4938f,
高梨康治,JP,c7b20a7d-bf0e-45f8-9ea4-6ddcae9c49dd,
THE ALFEE,JP,db855eff-9d28-4bd7-ab2c-7301495b4669,
すぎやまこういち,JP,eada10cf-eba9-4a8c-afc5-cc8999ee15a2,
浜崎あゆみ,JP,2b615bcf-baa0-4657-b9a5-1a5f34c386c4,
初音ミク,JP,130d679a-9a92-4373-8348-0800b6b93a30,
古代祐三,JP,a4cda071-2ba4-4fa9-a50d-4378c408676d,
倖田來未,JP,455641ea-fff4-49f6-8fb4-49f961d8f1ac,
佐橋俊彦,JP,06830051-7031-4d4f-b879-27c1d7935800,
林ゆうき,JP,e40f289b-601f-4470-86cd-416c3172311a,
岩崎宏美,JP,7f4b1f97-b010-4a02-ba3e-6af929799c28,
新世界楽曲雑技団,JP,3c4aaf27-5917-4960-bc13-b22982338665,
崎元仁,JP,53a2cda4-31d0-405e-8a9d-5027c2479ebb,
戸高一生,JP,92465dcb-b0c4-4401-bbd8-634693165b81,
光田康典,JP,118bf512-9ce9-42a5-95e0-10359bb3e3ea,
Akira Yamaoka,JP,23a32153-7314-4359-a5cd-9e584fe83504,
菅野祐悟,JP,fa79598f-03f0-4428-9c00-f5c7a105b78d,
増田順一,JP,af5499e0-8a48-4a53-bedd-3c4c67e688b6,
ZUNTATA,JP,63d4eab6-de28-42d0-b506-148df013a618,
加藤達也,JP,09b7f9d9-283d-4b47-b931-e06627badda3,
DIR EN GREY,JP,ab309b83-904f-4e2c-8d11-a0223bba51f9,
伊藤賢治,JP,38b566b6-d675-442d-a5b5-0cdd8216dcaa,
澤野弘之,JP,60d2ea34-1912-425f-bf9c-fc544e4448cd,
Capcom Sound Team,JP,f217f62b-953b-4091-91b1-50c5275f473e,
目黒将司,JP,1f456d75-4d69-4bf8-9c49-cb23d758b4a4,
大野雄二,JP,49b6b461-0e97-4e96-8e5f-b77192ea7762,
大谷幸,JP,615e497a-340d-4efd-b191-73a22c280784,
神前暁,JP,557e6938-404b-4332-a169-bec2b77fe05b,
若井淑,JP,1d60f591-29ef-4a47-a27e-228081a30f2b,
祖堅正慶,JP,5c9a43b6-bc1c-46b4-9976-ded9367523c7,
