name,country,mbid,youtube_channel
KMRU,KE,7fdcca4c-b2ea-4fa5-b0b6-59a5a14c1a0d,
Nitin Ganatra,KE,3c1b7c11-1ff4-4fc2-aad4-e5a5cc3215a1,
King Kaka,KE,0980732c-2244-4008-9634-74bb8e6b88c8,
Jeff Kaale,KE,93da3a82-15bf-404a-9819-b5ff89e8a76b,
Ayub Ogada,KE,2e9c624b-f2d6-456d-9778-8d0b004b8ffa,
Shirati Jazz,KE,32231c75-2af9-4905-a2d2-113e32a7df1c,
Owiny Sigoma Band,KE,39c71ad1-21d0-4658-a0b1-308fa343907e,
Sauti Tamu Melodies,KE,cb3c86e4-4687-4be3-85f0-636045c0b331,
Just a Band,KE,ce29ea32-b1c4-4a4f-a934-1a5656e3901d,
Sauti Sol,KE,a8457fc0-32f9-4b1a-b908-7e9c0bcc80b9,
Leteipa the King,KE,90b6aa2d-fcd0-498a-bb9e-48d854606b91,
Matata,KE,566ea6da-3a59-4fce-879c-eb97ca8d9d25,
Safari Sound Band,KE,2dae4568-0955-4d4b-ba54-16facb46e06f,
Mombasa Roots,KE,0da02e2e-16ac-4818-a479-aabc4152f4a2,
Them Mushrooms,KE,0a7828fa-7783-47fb-a9c1-ef84ea2e40c3,
Muthoni Drummer Queen,KE,249f3780-1a08-4d31-bbde-f524d1cf9ce3,
Daniel Owino Misiani,KE,dd697d6b-7ff7-43e1-af73-45f5abe92341,
Stella Mwangi,KE,0f2e5bd9-cb3a-4f37-bbcf-36e31db7378d,
Abana Ba Nasery,KE,0d7ef420-cb03-4f28-9c60-4fa49ee9bd91,
George Mukabi,KE,ad8a6504-2f6c-442e-b122-7ba7f5dbf651,
Orchestra Super Mazembe,KE,a9e78a42-6f14-4159-8100-9d3a13b501a7,
Mighty Morfin,KE,185d95dc-3309-46aa-a93b-36f28b9ef052,
Joseph Kamaru,KE,a8f0ddd4-f81d-4e7a-8df4-4b593084a071,
Orchestra Les Mangelepa,KE,faecbd2b-a2d8-4aa0-8d24-22dda7309dec,
Muungano National Choir,KE,1ac4f18b-3398-48ab-ae49-4a794918d4d0,
Boniface Mganga,KE,c883f181-dca5-44c6-979e-ddabb82d4eaa,
Dave Yowell,KE,caec376d-375c-4bb0-aa27-3117716fb319,
Fena Gitu,KE,3eebbcb9-4c3e-47d5-8b2e-4804b73476a6,
Eric Wainaina,KE,80dabf58-79bb-4470-b5ba-a8a7dd0447cd,
H_art the Band,KE,b6e60a9e-a243-4a0c-9bcd-1c601a525f3f,
Bien,KE,46865139-c5d9-4616-9627-42b5da29ec8b,
Suzanna Owiyo,KE,84a30ec1-2f38-49ba-86f9-dfe0da16e0a0,
Kakai Kilonzo And Les Kilimambogo Brothers,KE,45570e66-2f67-4e8e-b114-6f7e653cd799,
Brakanah 44,KE,62d18e5d-f7d0-4a90-b88e-c83e9e9eab5a,
Original Zengala Band,KE,5840db61-40b0-42af-9704-137c3771fbca,
Duma,KE,dda889c8-48c7-48f8-a23e-fa93508bd202,
Kabeaushé,KE,caf72aaf-b3af-43ae-a2b2-a25a6c0ed532,
