name,country,mbid,youtube_channel
Город 312,KG,439ef777-a4b4-4514-b97b-0b3068dcfb74,
Muhmood,KG,aa8aedea-0818-4e27-971e-e74a6100ad56,
Второй Ка,KG,7bcc9aa2-f67f-49bd-b5e7-1711317e52d0,
Kambarkan Folk Ensemble,KG,12643fbe-3e73-4633-8478-f2601e915ce6,
Саламат Садыкова,KG,c49541d8-6287-42af-b74a-fab4432e5ab2,
SKAAYAT,KG,e7c0d582-b862-49a3-afb2-eae8668496ac,
My Own Shiva,KG,db471332-c8c2-4d50-b5c3-1a901be1d3a0,
Plane One,KG,37a8f101-f08f-448b-9464-1a63cfdba75f,
Abdorahman Nurak,KG,e6233732-fe20-43b8-a4ed-7dbbf9c41930,
Жийдеш Идирисова,KG,73e6d72e-bdde-4c56-bce7-c314e6a6b6e7,
PXLWYSE,KG,bf2d05af-f1ba-4105-ae32-670fcd57cbf0,
Кузьма Александрович Бодров,KG,428205e2-e936-47a1-a007-ac9e27df2777,
broxxz,KG,f8f1de5a-323e-4df5-be6b-101e6be9e3d7,
Абдылас Малдыбаев,KG,970b37e6-3d3b-4d46-be35-2c103eaa9993,
Kangeldieva Dilshat,KG,ca09e152-90c2-4d92-8a29-cf9953d21c35,
Ensemble néo-traditionnel de Kotchkorta,KG,acad12e5-ec24-414a-a974-4d313e80cbf1,
Samara Tokhtakunova,KG,99742703-5dce-4767-bf4c-153d947d31ed,
Nurlanbek Nishanov,KG,3721c4f3-c876-409d-9abd-97d01ad4ac56,
Akil Sekebaev,KG,f1a44177-326e-44ba-9d27-b00288124813,
Ruslan Jumabaev,KG,24719941-2bf6-4a70-a99f-8b0c3b279a8f,
Diljat Kangeldeva,KG,8c75c137-4f9f-41c3-a61c-cde776818d7a,
Damira Njazbekova,KG,f5b2f27d-58b5-4bbb-a9cb-0eaba0c8a697,
Askat Zhetigen,KG,1369bcfe-bdcd-426f-8e49-85ffd0d8a7ac,
Ак Седеп,KG,da75310e-7c70-47dc-b6fb-6eec1bd7cd09,
Oldhan,KG,ec59e34c-fcf2-4929-a945-5122e456e536,
Zainidin Imanaliev,KG,d83e44d7-9618-4cf7-a1a2-c2079cf6a7e0,
Odyn's Nocturnal North,KG,cd517f4a-1233-420e-8db2-ccecfc696e65,
Shahid,KG,889e6a50-0e1b-4439-81c7-19fea50528a9,
Necronomicon,KG,7336c708-6709-4168-b7fb-f34cd08c0dc9,
Neocrima,KG,04c155fc-1eb4-47f7-9806-1109a4c1bda2,
Iskui Abalyan,KG,eb7bdee1-044a-4e2c-8177-9477ba260d2d,
Ustatshakirt Ensemble,KG,13491804-ef42-45c5-9f92-68eb84ce878f,
Topsy,KG,1109cca4-18c2-49b0-9214-7c8c96076ed9,
Азия Ош,KG,3347f4b3-1d15-4514-8bc9-808e0cb01449,
Kubanychbek Imanalievich Malikov,KG,e67d0b3a-d01f-4525-a951-85b00a2996e2,
Tugel’bai Sydykbekov,KG,57b0a76f-1697-4dc3-8629-ed436933b982,
Молдогазы Токобаев,KG,0230c5d9-cab6-4832-95bb-a6d33e1c82ed,
Аалы Токомбаев,KG,4f665e3b-d85e-450a-ba9f-374ae318f5f2,
Тарас Асанакунов,KG,83e01eee-9c46-44af-a23d-4bc7fba10e29,
The Dreamers,KG,2956d055-dc2f-43e1-a9cd-640801af2ad3,
Биз тобу,KG,0d1f9967-c376-45b5-9b8a-172550128e47,
Бактияр Токторов,KG,3e958574-152c-4cb6-9e02-9a1c4b77c4d3,
Love iz,KG,e0df0887-7e53-41cf-aa11-c0f690f3e420,
