name,country,mbid,youtube_channel
Nawal,KM,ecefb69d-b58b-4ee4-aa66-1f34f86ce7ff,
Maalesh,KM,335832d1-9db1-4532-8381-999ffa1680ef,
Zaïnaba,KM,364baf24-e416-4ad7-87c3-434a0bffbcb1,
Abou Chihabi,KM,4b143781-2958-486d-a7a9-3449bfe3d983,
Boina Riziki & Soubi,KM,a8e94178-52ce-4d9e-a2e4-d610063ce8ab,
Rahil Kayden,KM,ad28ce78-7cc4-402a-87df-d7e62459e1e3,
Cheikh MC,KM,784cc991-9f4f-4cfd-996a-ad4b4089b737,
Samra,KM,f5f82429-7556-41c4-bbbd-054946ba6ee9,
Naïma,KM,245fb614-98d9-422b-9d7e-c1867f6e2aff,
Belle Lumière,KM,8b02ba92-1be5-4fe5-9db6-efcc7f247d61,
Comorian,KM,edcd8be0-66a6-4e37-84ed-328038216f68,
Soultoine,KM,c24a1d7a-4f15-46e3-b1d0-e126d219510f,
Salim Ali Amir,KM,38313994-8eb7-4ce7-901e-2f5ab5ef31e7,
Boina Riziki,KM,31dd98ce-dfd5-432f-b8ce-54d48d2d72cc,
Soubi,KM,e040ad19-687b-4f95-916f-b994c7217792,
Soeuf Elbadawi,KM,80987b62-52e7-4ead-94b0-dc89dd4535e9,
Fahid le bled'art,KM,f58ac54f-3712-4415-bc7a-29ecc85a9f0f,
