name,country,mbid,youtube_channel
Byron Messia,KN,95615407-2a8d-4d89-970e-dea64ff3955f,
Sidharth Madan,KN,f1e0542a-63b9-4c51-b5c8-703f5c4d1dac,
The Marigolds,KN,c5704e55-836c-43f3-aa60-5e5e0407b499,
LeAndre,KN,50027fb2-983c-4a00-b255-43d59a31e137,
M1 Ministering1,KN,bfe6b563-dd16-4b3b-a178-299f46254e07,
Red Ants,KN,23c080a4-9dfb-4950-b299-08467e5fb92d,
Felix Dexter,KN,0fc496fb-cb33-4732-a968-89fc189471be,
John Francis,KN,22303cbf-8fd9-4ae3-99fa-8290cf0ffd09,
David Freeman,KN,b0c83fbb-dab5-4846-9a98-bf7d967ae4ed,
James Powell,KN,1f34ffbe-c608-40cb-9096-4025a724618a,
Joseph Hobson,KN,9c99e926-179c-4048-b78a-2e533cb53726,
William Freeman,KN,de5aa4db-5553-4a7b-9a38-7220afc8738c,
George Merchant,KN,7ba735dd-817b-48ff-9d00-8d067a492226,
Louis Hanley,KN,31c7e324-b9ba-49a1-b733-b5e0a7b70fac,
