name,country,mbid,youtube_channel
보천보전자악단,KP,cd72e086-d7a8-4fd8-a6b8-829229a28e8c,
모란봉악단,KP,f800c9dd-51a5-4576-815c-c4fc1a4a406c,
만수대예술단,KP,e4baf692-0998-472f-bbe3-02e6f233351f,
왕재산 경음악단,KP,54ca87d0-0ad4-44e3-ab0a-d55b9d2abcd0,
조선인민군군악단,KP,e79a597b-8ff5-4e24-98a0-3926d5500729,
공훈국가합창단,KP,1e5053ea-0895-44bf-aec3-c6a810523d64,
Korean People’s Army Song and Dance Ensemble,KP,561e8d4c-ddc8-4b28-82e4-4b9a7aa37176,
サム・パク,KP,31eead19-a427-47c7-ad34-1804bddcc50c,
조선 민주주의 인민 공화국 국립 평양 예술단,KP,2493a97b-24e2-4a5b-8a20-a70136e40a94,
리정순,KP,c7956350-b61c-4d8c-955e-75bdd378c0f4,
최삼숙,KP,ff291d9a-d807-411e-a8e7-888494226154,
Aram Lee,KP,b4043d78-e04f-4a5a-8c43-f17c6b46d5ce,
김명독,KP,3dc363e0-fbc9-4198-be16-9cb7a51e8e74,
리향숙,KP,c2693601-7c74-4eff-ab19-d7ddedb544a6,
만수대예술단녀성중창,KP,47623c51-d9f9-4d1b-b5e0-b9da00c55f15,
만수대예술단남성중창,KP,1086734e-4498-4213-adbd-b004e40a8471,
전혜영,KP,b8df3220-d348-4441-9b8e-3160e5d50071,
박단마,KP,8aeb57dc-3103-4308-bdc4-cbadeb5b5c92,
계순영,KP,ad1e1418-93db-418d-bb87-e7151352215b,
Red War,KP,df885bc8-affb-41d3-b02d-d4c3f51b06d0,
김병화,KP,6385ecb2-e46d-4aa9-98f1-a9fcabfd3492,
조선국립교향악단,KP,2a5df5d7-b806-4d1e-930f-47205cad3b07,
윤이상관현악단,KP,3ed9aa46-d51f-461c-9358-2c89a2b455e3,
윤혜영,KP,8af307a8-fe5b-40d3-b1fd-44f9d0428b9f,
박순채,KP,1bb26777-c8b3-4042-9ad8-e296eeec49db,
김영옥,KP,f6f65115-6079-4c3b-a557-e8f54bb83474,
김명실,KP,535d015b-db26-4c04-bb5c-4ad9cb33b00a,
한용진,KP,4e8b3dc5-f55d-4d96-9088-c0cd12f20f95,
Chorus of the Democratic People's Republic of Korea,KP,2be3b3ca-c016-46a2-a230-cbca29c51f12,
영화및방송음악단,KP,e623f2d9-92cf-4617-aa07-391215ca5e14,
김광철,KP,819a889a-be0f-4d5a-8c11-2a1cd4738740,
배혜남,KP,4d3172f3-5d1a-4655-ad2f-5e24bc719c06,
김금주,KP,fea052a3-883a-4c4c-9bcc-7a25fe6c24b3,
김순영,KP,58e846ce-05a3-4451-b922-0f7860955a6b,
박옥실,KP,f427f0bf-2582-41c8-aa6b-935ec8228503,
강소자,KP,05412598-ad7e-4146-ad36-d6c574984343,
김종학,KP,662ff60f-3f41-49a6-aa40-96e226f81ca9,
박인실,KP,fb404432-0991-4a15-bbdc-c62a725e848b,
김정녀,KP,93f1741f-bb66-4a5f-8d47-ab5a8abd6705,
리형숙,KP,68a32cc3-5023-49e3-beb4-44f14b9fc731,
