name,country,mbid,youtube_channel
TWICE,KR,8da127cc-c432-418f-b356-ef36210d82ac,
BoA,KR,a16d1433-ba89-4f72-a47b-a370add0bb55,
SHINee,KR,70e5098b-c4ae-4cd7-9799-3c1b9b57c753,
BTS,KR,0d79fe8e-ba27-4859-bb8c-2f255f346853,
東方神起,KR,05cbaf37-6dc2-4f71-a0ce-d633447d90c3,
ITZY,KR,bce172fc-51bb-43f7-9a25-b406a0a581d5,
EXO,KR,b3785a55-2cf6-497d-b8e3-cfa21a36f997,
Girls’ Generation,KR,b7442f18-d9be-4185-8b51-482510046156,
SUPER JUNIOR,KR,a13898e2-e488-498e-a89c-d0e920f74d4d,
BLACKPINK,KR,48646387-1664-4c9a-9139-9bfd091b823c,
BIGBANG,KR,ec2bcb77-b9a1-49e2-bfe7-419586bbef48,
2PM,KR,9b94ac1a-b997-4414-9385-96178b5ef99c,
Stray Kids,KR,142b343d-bf5a-428c-a64f-6d1a7566bbe9,
SEVENTEEN,KR,e04d239e-9fa8-49b3-b9b7-9e439c3cb1d1,
Red Velvet,KR,4f0cb3b7-6c06-4317-ae35-ddf3106a17ee,
GOT7,KR,9f6a8346-15f3-4ec4-a632-f5270b0945a3,
Yiruma,KR,841db5c8-7072-4b89-9bdb-0a0bd0e9d357,
DREAMCATCHER,KR,a97f393a-13a7-4645-8bba-f10bd22d7228,
NCT 127,KR,9d17d14a-e81c-410e-a90b-b02b0a9de6f8,
LE SSERAFIM,KR,1ee37742-1e3d-4e61-84d2-bc85f4c1459a,
2NE1,KR,e119e5ff-0de0-421c-a630-0516c6acede8,
KARA,KR,3313f634-1405-481c-ada7-aef1980ac961,
FTISLAND,KR,dea836e0-66dd-4285-9cab-2272bcda93b8,
TAEYEON,KR,2b786fb3-a116-4163-9b65-cf56f03c8a7f,
Apink,KR,9102bdf6-b03e-4470-9f78-12127c4995cc,
aespa,KR,b51c672b-85e0-48fe-8648-470a2422229f,
OH MY GIRL,KR,58dccd50-1dcf-4674-8ba6-31058695d24d,
i-dle,KR,0068ae6c-7156-40f9-a81f-39294af6a549,
GFRIEND,KR,eee862ac-0d4d-441c-94fe-9e2c681d7a48,
MONSTA X,KR,b6b21b0c-a706-4b46-a929-bd4d21b06cad,
CNBLUE,KR,555ab13f-acf4-415f-835d-1bc854e1236f,
AOA,KR,23492596-1fa6-45b1-8de6-eed4a829483b,
윤하,KR,5e3bc4c7-adbe-40e0-b56e-57d755908d52,
T‐ARA,KR,4103d05e-da2a-4744-81ae-f8dc3e81728c,
BTOB,KR,7728b64d-8925-4a1c-b684-a88c6194a241,
TREASURE,KR,6a64307a-1806-428c-9bee-4afb13b27042,
조수미,KR,dd21a142-cf44-4e22-add6-a50eea696854,
MAMAMOO,KR,fb588f59-af1a-493a-9508-ed487caa2a11,
산울림,KR,c1ceefe2-db42-4d17-b7fc-47c01dc5b0c8,
INFINITE,KR,c175f8b3-47f8-46d4-a4cf-cb92fe7a37ae,
NMIXX,KR,2d623e82-73e2-4179-9c44-e963980f2d58,
조영욱,KR,af5f0109-1e32-423d-9dbc-0a5db69d9f5a,
ATEEZ,KR,cf0dbc16-4e24-4957-b5b4-955c8978f690,
자우림,KR,36d6bac0-9f2a-48a5-8620-6701942cb95b,
iKON,KR,073ad467-4891-40a0-bf61-d55c41a38aec,
IU,KR,b9545342-1e6d-4dae-84ac-013374ad8d7c,
Kep1er,KR,187da628-d21a-4e0f-a93c-456c97a2c032,
4minute,KR,7c7a377e-2137-4120-ac20-c3d7286256e6,
SHINHWA,KR,721a6d4e-6c5b-4250-8e87-b5dc386fd965,
SF9,KR,2b776e9e-81a0-41b8-bdff-c7adc9aa0e0e,
윤종신,KR,b2fcac6c-b462-4e92-87e0-5a10ec2966ef,
TOMORROW X TOGETHER,KR,9d027d72-790e-40ec-bbb7-61aa613457de,
IVE,KR,b2f2216a-d7a9-4ce0-8b8f-f494d9a8c196,
장성운,KR,5df6259e-7b7f-4234-a06b-dc96a0194c45,
softy,KR,7b8bf45e-bdb2-4a3d-be45-b11e531330b3,
B.A.P,KR,cec282f3-95d2-4d2a-860a-78ecd0af9da1,
TAEMIN,KR,48652da5-f54c-4f65-9c11-0fc05df18075,
KEY,KR,4e848ea9-d9d3-4608-b5ee-baa29acf4cca,
U-KISS,KR,7de0221e-e572-46ad-942b-64a70fc49b5c,
박세준,KR,ccd728a9-3c4c-47dd-b5a1-5019fdcb8017,
나윤선,KR,79de65f4-4f6e-4118-9f1d-87787d15d247,
박정현,KR,0bc5700f-8bbc-4df7-b940-875e6274e9ce,
Ailee,KR,cecc42fb-9657-4b54-ad2f-7b73eefaef12,
soundTeMP,KR,03a47c46-4d1c-4ed2-b4e2-b02d0c035aea,
f(x),KR,37fa0bfd-8bf7-422c-a97a-f8deda49b3a4,
S.E.S.,KR,62814dab-64fe-4b70-b870-81c0145ba552,
THE BOYZ,KR,527973c7-9a9f-40bf-a52c-8cc2a7115c1a,
VIXX,KR,270bebcb-f400-4912-a8ed-1827ae562405,
BEAST,KR,3aae9d5b-9bf1-4f9f-9079-50a3a197a74a,
tripleS,KR,40017bd7-139b-4998-8688-9b2478ad3325,
Night Tempo,KR,1c75533c-4ced-4a3c-a6eb-20774665c2c0,
DAY6,KR,77191d5f-1045-4b3b-ad7f-12ea398db929,
NewJeans,KR,49204a7a-ed85-407a-828f-6fd46f1d8126,
DAVICHI,KR,0f98037f-80de-405d-afd5-30433abd872a,
M.C the MAX,KR,50984f78-a96b-4d56-8a4f-be27cf2ab943,
Clazziquai Project,KR,8baba03b-38da-42a4-b905-5326c828bf4e,
Brown Eyed Girls,KR,66004b32-d662-49b2-bacf-e913a3b589fc,
이달의 소녀,KR,de4feabc-cd21-4568-a09c-2086bfebe2f4,
After School,KR,e2c9d619-d1bc-47f8-82d6-cc7417c2dba0,
임창정,KR,dc1b365e-d852-4acc-ad93-bb4c9925c046,
NELL,KR,e156615d-3ddd-4491-9584-4b9d971472c4,
Lovelyz,KR,75d74780-dfbe-409b-ba34-a0e8a2439881,
B1A4,KR,f42c30e7-3298-4df9-890c-ee8db3c859e2,
PSY,KR,f99b7d67-4e63-4678-aa66-4c6ac0f7d24a,
서태지,KR,bce2ec89-f0c6-45b7-bd83-5defc66e6bc2,
NCT DREAM,KR,dc7c8277-d4b6-4bca-bdfe-50eee42536ac,
ONEW,KR,80f9dd8d-2257-42b0-8808-97c3056019b4,
PENTAGON,KR,da9bf052-1a66-4737-be10-9f3987980b19,
