name,country,mbid,youtube_channel
Barefoot Man,KY,69ba7582-b46b-4249-9ac5-cb62ea91221c,
Suckerbox,KY,c96b2e2c-f1b4-492f-8b6b-78bcd189b754,
Andy Martin,KY,4d400ba2-58a7-4e2a-8d74-24596cb6b206,
Maeve,KY,b50938ce-8860-4bdd-8d0b-0ceff27ce84c,
Skorch Bun It,KY,bcf1cb56-01da-464d-ab77-571e21a10762,
Oprehay,KY,45598ec2-9819-42a3-aebe-436fe56ce2a0,
The Matrixx,KY,2f725045-9005-43d9-9a1c-c0167ac61aab,
Selecta Renegade,KY,80aefbf5-3fec-4236-8430-5e65162ecad4,
Swanky Kitchen Band,KY,839fd188-eaee-4ea9-80d7-573ca0b96dc8,
Jason Gilbert,KY,0d370b21-a57b-4ca1-9d64-762b93206f94,
Pygmy Johnson,KY,00ecb248-5eb5-4e54-9197-68d1b1fa195d,
cleareyes2005,KY,34ca72c6-9916-441b-baa4-f626426ed14a,
