name,country,mbid,youtube_channel
Izzamuzzic,KZ,6ad2a903-44f1-4672-b0bc-3a6fc852033c,
Адаптация,KZ,7661f635-6f73-41eb-8753-ca00b58f2e42,
Command Strange,KZ,f516a89c-4070-478f-9425-f07c25c3034a,
A’Studio,KZ,295e7f3c-15bf-4b8b-bd77-94fd4d35413c,
Insomaniac,KZ,1bb5d58c-a408-4358-a649-0363691954af,
Holy Dragons,KZ,e2168234-0657-42e1-8aa9-32b81f066561,
Segments Of Life,KZ,a2aaf70c-73c2-45cd-9356-b3272a253df5,
Мурат Насыров,KZ,162344aa-4ff8-4732-8733-80eb4094db5f,
Низам DRedd,KZ,625e26a8-39a1-4c30-a458-efd410ed150b,
Jah Khalib,KZ,2b4d51aa-5c71-4817-a341-9cebd648552d,
Ермен Анти,KZ,97962c08-3d9f-4403-bb1f-0086b0b09482,
Труп Колдуна,KZ,d548d329-f352-4c80-9a67-bb94428c2573,
Dimash Qudaibergen,KZ,1582904d-c174-4b36-8608-861360e9325d,
Ninety One,KZ,a3e29eb7-91ba-4aad-9f00-080eb0bb83d6,
RejSende,KZ,a1bc799e-1ef9-4934-b097-bdb37a055e15,
SevenSins,KZ,72e75333-f425-4aea-b338-313c56d4c8e8,
Эльдар Устемиров,KZ,3e4efe87-f774-484e-b902-4937a666c2c8,
Aldaspan,KZ,cb19fe7d-5ddc-48ce-b751-c77272bceebf,
Oblivion,KZ,019f50f5-e58b-4a97-bc79-fa81284ceae9,
Құрманғазы Сағырбайұлы,KZ,e416ba51-8760-4a66-a106-0c8f3c7bdcec,
Octa Möbius Sheffner,KZ,ea67db5b-5357-4a0f-9ac5-474140528770,
GrazySmash,KZ,021f83f9-f4e3-495e-8197-ea79058f4c93,
UsualSND,KZ,95780ead-333c-4430-9f64-4c000d7c4a63,
Aikyn Tolepbergen,KZ,82229580-6235-410f-8a7f-04062e5cd70f,
Buttness,KZ,0df6876c-0558-4d77-a291-6d93dd056e86,
ALPHA,KZ,8ce8930c-0d30-4229-bd11-8f657599c871,
Duman,KZ,609a747b-5582-496a-972f-6ed4863c99fa,
Ĵomart kaj Nataŝa,KZ,f72575b9-b4f6-4b2c-ae93-40484fa83f42,
Marat Bisengaliev,KZ,ddac936a-b011-4ec3-863d-abac6def5ab0,
SatanicDoll,KZ,7042676e-c873-41b6-ad1d-c4815e8aa6af,
Sadraddin,KZ,f1a0b8ba-a037-41ac-b18f-e28dabd4e2e8,
Motor-Roller,KZ,39361eba-28dc-4792-a1f6-5d20d405fb3c,
dudeontheguitar,KZ,21a96b46-3321-42e4-bdfd-b573f62e89fc,
The Bekova Sisters,KZ,9d779e30-1cd5-4412-939f-293cb18f903e,
ZaQ,KZ,fe559006-c2bc-41de-8bab-f87627f59edc,
Әбдіжаппар Әлқожа,KZ,d090137b-c366-4ede-85cf-a6660f267e90,
Thunder Monk,KZ,d54a7a76-f695-4662-b6ce-36fc2a499a05,
Дос-Мукасан,KZ,3304a67d-7d8a-4e23-aecb-0d110e0d9992,
Rabbit Killer,KZ,73539c2d-8105-4e20-ba60-6a729b801102,
Riverline,KZ,19c25c17-0df4-4f10-8cdf-7262f3fd50c9,
КешYOU,KZ,dcd94752-debf-4d3b-a6c3-fb9444e7309b,
Galya Bisengalieva,KZ,cb3e097f-1b47-4c02-a829-90269ef5734b,
Ұлытау,KZ,ca637a6d-ec32-4803-bef2-4c7ecbc44faf,
Nord Frost,KZ,49b06328-68bb-4e23-bba6-71b235044b45,
Invader 303,KZ,0c1332e1-2693-4a3b-addd-1e66baf66cc1,
Батыр,KZ,0042cc49-98c7-4bb5-81e9-df897decfbb7,
Ирина Қайратовна,KZ,b445fc92-e6d5-4221-8796-9551373f670a,
Requiem,KZ,6b50f9cd-af6d-447d-84d8-abaeb20726a4,
Farleon,KZ,3933b234-69c5-4d3c-81c1-c4e3b7247bc0,
9.11 playa,KZ,7a2a117e-566f-4b56-9475-0464cb5bd00b,
Құрмаш Махан,KZ,e9c9cef8-6114-4c93-a1c1-f82a326b1d6e,
Dekeale,KZ,20969200-331c-4187-b67c-5c3d3f2193f4,
Alem Band,KZ,649460f6-2481-42bf-9e3d-16b8877b6db2,
Son Pascal,KZ,3dc7bbf8-33c4-4547-8890-26e6b10662c5,
Eleonora Bekova,KZ,8b9ada2d-4d16-4cb8-9374-fcd1a81524a2,
Назарбаев террор машин,KZ,c816cd4e-36d1-4930-92b9-8c06697d3bbd,
Мирас Жугунусов,KZ,4fee4685-0a80-4b8b-95aa-02089e05cc48,
Кот Балу,KZ,bed7c2bf-a429-47fe-8364-f1e82b663510,
Razer 1987,KZ,376f2c37-2f41-495d-aa25-9896d330a5fc,
Симфония Ужаса,KZ,48e5617f-9995-41f3-beba-9f2444ef77c6,
Particula,KZ,fdf5c0d7-ade3-4a4a-ad92-c89ecd108c34,
Еділ Хусаинов,KZ,56cdb19d-e96b-485b-86f5-a616b053fbeb,
Казыбек Курайыш,KZ,c0555209-650c-47fa-a79e-e73c96c5fc72,
Eternxlkz,KZ,60d97a3d-fb80-4278-a729-c08f2b2cd7ac,
Lord Horoz,KZ,dca08ac0-ddbd-443b-b81d-e8ad91afc0dc,
VOLKHIN,KZ,c579f9a8-1763-444e-80ea-62091568c238,
IL’HAN,KZ,13bd43e5-2061-40ff-8ac4-ea134f0f32bd,
отжигавч,KZ,601f2c2d-6768-4c1e-b893-dacaaffb0ad6,
Kunzharyq,KZ,7952bf98-0b39-46e0-8b62-36729a99d5a0,
Moldanazar,KZ,431d0d03-acc6-4820-adce-9bfe24aa8420,
Бумеранг,KZ,bb69edc8-9029-4693-a7e4-1711750fbbc6,
Роза Әлқожа,KZ,802c42fe-884c-4fe2-8a66-ce5bad89e3cc,
Orda,KZ,5788cfbc-6d8c-4dc0-a85a-d852d16e3155,
Храм заката,KZ,b81145f0-d0ba-439c-b652-4563998a734e,
Яшлик,KZ,d379d9c0-1549-4245-9874-8292a4096510,
Mona Songz,KZ,0fef6d20-c205-4b6c-add0-5f7151c14841,
Samson Tsoy,KZ,3e07f671-3e37-4db7-bc14-304b64b207f6,
LXNGVX,KZ,1af088dd-afa3-48a1-8578-de84d5d6f80c,
West Kazakhstan Philharmonic Orchestra,KZ,65af4df6-cfd0-4133-9182-834b955e89c7,
Ayree,KZ,d37078b4-1d4f-4333-b0d3-317bb2176413,
Alisher Konysbaev,KZ,99478a1b-d849-4ef5-a5bd-4ae488249d2e,
Newton,KZ,56eb78b0-2c39-4f61-88ee-2ee5ec119e68,
Mad Men,KZ,6bb4d25a-2010-470b-bd16-7331c0e1846d,
AЗИЯ,KZ,e6354b7c-8b5c-454b-81fa-a75072fed2a0,
Smagul Umbetbaev,KZ,3d58fd6b-20f5-48e7-8432-3daca79e61b7,
Urker,KZ,bd64e63d-c0fa-4c6d-8d0c-c32f600c2fb6,
Айтжан Тоқтағанов,KZ,97802f77-0e49-47fe-8f5b-6bd774439f0c,
Зверь,KZ,e09742ba-fca1-4143-b1eb-82c558cb6490,
Raushan Orazbaeva,KZ,b9a643c9-bcb6-4eae-b255-16e3c9376ee8,
abdr.,KZ,c3933077-f4cf-4817-9252-4f61eb087e05,
ARO,KZ,c3e79f08-f529-439b-9831-5e0b2c5d3542,
Ayau,KZ,c0d366b3-539f-47a9-85f0-86f16c4a1904,
sary,KZ,99f582d1-df08-4e09-8d18-d799bb13b5de,
ACE,KZ,800530e2-bd5e-4636-b2f8-fb7f62ccd0ec,
Бибігүл Төлегенова,KZ,a4eb04c6-380c-49eb-aab1-9e478ab9c56d,
Александр Яблоков,KZ,a3b78bd6-6ec1-4408-bc2a-8324a1311bd0,
Elena Kelessidi,KZ,898c1f29-b4e9-4eac-b726-f521f071cf97,
Bansheerie,KZ,9e39e798-43ec-4c19-b597-eaa68b0d5006,
Daneliya,KZ,cdbe1149-19f0-4961-908a-593bda96e5b1,
Hard Box,KZ,cdfd7a06-ba8b-4899-803d-d35626702af7,
Kyle Ruh,KZ,31f4383f-d5fb-4258-8b37-0c711d8f52a7,
Culturist,KZ,7af52880-da93-4e5d-96b7-718c6c01c6ec,
ДЖАзовый,KZ,ffc3e2f8-c35c-4bc4-a2ed-bb9c2664572b,
Қапаш Құлышева,KZ,47ca973e-11c0-4e45-be71-1b7c38ae0621,
Oxana Shevchenko,KZ,6d5e60d9-0f48-40bb-9253-24d051394f51,
C.C.TAY,KZ,e559c5e2-45f5-483a-b833-8116e06be53e,
Сәуле Жанпейісова,KZ,fe06c90d-b270-4116-9d52-7cb2cff64695,
A.Z.,KZ,155d4523-5cfc-4e82-b254-7c7126438a6f,
Abdulkhamit Rayimbergenov,KZ,dd3a3f56-ddc9-48b3-93e9-5c010ee20fd2,
Empty Conversations,KZ,970dcdda-6ca1-4253-ae0a-378742c29394,
Zoloto,KZ,7f8a5c0d-b458-4ef8-9dd8-fb085ef727d6,
Евгений Жагалтаев,KZ,0947b525-0e5b-47bb-bbe4-6082bd491619,
vhs ritual,KZ,d1fbdf5f-00ee-45ec-a91c-714ee4b51951,
Qonyratbay Fam,KZ,585fe89d-631d-4063-8b4b-3d392f07d36f,
Üch-Süme-R,KZ,58088045-3e11-4da2-8057-9dfe41c95fb7,
joshua hino 888,KZ,978a7b8b-0472-4800-a04d-4d1955567636,
Ziruza,KZ,a926a9fa-f518-4508-8f27-a895f77aab36,
T’OI,KZ,2df029e6-b113-4913-85bf-32cd740e99fb,
Sarmad,KZ,61703560-7fab-4f64-805f-9ad0a860cf27,
Roman Kim,KZ,c64ad998-e877-46d3-ab61-d6f4968f105a,
ORTA,KZ,e82aae70-8ba5-4905-91c9-63afbf1f4a4d,
XTZ,KZ,bfb0e501-f763-4328-b53e-e1b37a46d413,
NEFormat,KZ,5b86fbe1-5bd0-4497-9a8c-200a9b6e21b3,
Thriumvirath,KZ,102007cd-d45f-4048-858a-82d81a715902,
Soul Collector,KZ,eae2df66-79fb-440a-a966-9710ba31e37d,
Symphony Of Horror,KZ,55fbf55e-c509-49ee-9d88-2428f7779e1c,
Егор Дырокол,KZ,eddad6e6-69f7-470c-a8b6-308d0df0730b,
kim,KZ,39a8a5d6-74dc-43b1-8136-09302643f7f6,
EQ,KZ,47c17502-2331-45b8-99a2-e328d32f9122,
WinL,KZ,bc0d3803-7592-4dc9-bc30-84779cb1a839,
Bonapart,KZ,d4118218-ee85-46a6-8c09-9121cface8e4,
FatBelly,KZ,b897696e-a935-4c3b-abaf-c461a87c2819,
DNA,KZ,47359bb0-15a6-45a0-a469-727192196a43,
Dana Tunes,KZ,af95ceda-7108-4d07-a664-f10bc6a9d909,
akimmmich,KZ,d8f18827-ac52-4f29-8377-93e37a9e02cc,
Jeltoksan.,KZ,27f5e875-76ac-42c6-a5d7-20043e499d6d,
4nothing,KZ,be0b72cb-2cb6-4331-b6d1-add16cb73b07,
Dias Adil,KZ,7cd07637-887a-49ce-8783-4af807ccf16c,
Timur Mynbaev,KZ,ee0749d5-c5b5-4ecc-bbe6-38aa0811a60f,
Айдана Меденова,KZ,ea3a7a5e-59bd-4fd7-addc-92ec5e2768d2,
Amir,KZ,88b78ba0-fe89-443c-923f-584036a14c7d,
Сұңқар,KZ,f1d46396-a43e-44e8-9d46-138498f6ca81,
JUZIM,KZ,2030afab-4170-4aad-9288-bce35857baea,
Mysterions,KZ,a8725226-1a21-4330-838a-b5ac52d1c76f,
Saian Aqmolda,KZ,2932ec1c-2d6e-4d17-8c24-7beabb6206ac,
Наzима,KZ,48f1e500-e27c-4544-b189-d29f009cb0fc,
Еркеш Хасен,KZ,2a95f8f6-5dc8-44f9-b066-5791059efa60,
Oleg Bryjak,KZ,5c2a6a43-1c4a-4884-ae28-e2077f7658c2,
Karshiga Akhmediarov,KZ,f35c10c3-50e6-47eb-9af4-cf6f967440e0,
CURSEDEVIL,KZ,4e9d092c-0d72-4220-bd54-cfa98e8669a2,
Blue Screen öf Death,KZ,e9bdc3ce-02d4-4760-8383-f8b3baa7d2c2,
OM,KZ,455891d0-69ef-4261-8161-80b91e16ffec,
2Hat,KZ,33cbf6c5-39b0-41bd-b90a-abdf8336ba7c,
Taspay,KZ,c6fde6a5-8c94-497c-ae02-5e3d69a8d6cf,
Rakhat-Bi Abdyssagin,KZ,9745772c-21a9-444c-9c73-32befcc7430c,
Sevenlight,KZ,1645437d-e12e-4436-b922-74e63cf0655c,
Yenlik,KZ,20a4952f-365c-44a2-9f72-7a128ff9861f,
Folk Ensemble of the Presidential Orchestra,KZ,2a55440c-49d9-4bbc-a15f-0c818538ecfc,
Void Alchemy,KZ,efba3b4a-72bc-4318-8d3f-cb028fd36d28,
ALEM,KZ,05fb42a8-ba7e-45c5-ade1-8e037ecccb81,
Qudyr,KZ,927d0c52-bf18-4c28-8c85-e33ac909ee03,
Edil Husainov,KZ,1b3b5a95-712f-4bd3-877e-ef97af8488c8,
DJ Azamat,KZ,c71bdfc4-2d64-403d-8407-f7c7ba2fab0f,
Sprinter,KZ,4ef451b8-d95a-46fd-a2e6-03d1776cc22e,
JC,KZ,bf2cdba8-4143-47d1-be89-6fe872ceedb8,
Ырыскелди Сатыбалдиев,KZ,8bbfcad4-6c5d-4c9d-ab38-a44e16abf15d,
Aiman Musakodzhaeva,KZ,81481740-006c-4e0d-ae63-6d41d54300b9,
Triste,KZ,9645c42b-2348-46fe-8e0a-caf0ddc6e105,
Қазақстанның Ғазиза Жұбанова атындағы Мемлекеттік шекті аспаптар квартеті,KZ,2fac74dd-79d4-414d-b433-512774d32adb,
fusxka,KZ,5f218ad8-d0ca-4efe-8444-ba4a6bb22ef5,
Erkegaly Rakhmadiev,KZ,a5b2a208-093a-4b39-a44c-731dd176aa12,
Mедитация,KZ,15ab3b59-41c1-4cf5-8a68-3fd5181847a0,
Alan Buribayev,KZ,0ed3a531-3fc8-48a1-a83d-4a510cfd0799,
Nocturnal Art,KZ,5b142193-fae5-40f0-b5e8-b6862f73e8ae,
Мюзикола,KZ,a1ffbc59-83d8-4f71-bd42-d4d7b13fd3f0,
Sherniyaz Mussakhan,KZ,9a9c4897-0fe1-4868-a13c-caa9e2539709,
ARShAT,KZ,1d86558d-921d-45e9-93ed-be799b941f70,
Steppe Sons,KZ,629efa59-60b0-4081-9f12-30add71a6efc,
Alfia Bekova,KZ,fc771922-a692-4e98-a2ab-7914011af750,
Polina Max,KZ,eafe1df1-c341-483f-b70e-964aaaed36a0,
Мадина Садуакасова,KZ,86ad299f-80bd-49f0-b05b-cef9096c3147,
Malika YES,KZ,611fba6f-bad3-49a3-a11e-085055ebbab1,
Ne1Tron,KZ,7d977615-58e9-41bc-81c5-8bd4d54257ea,
D. Nurpeisova,KZ,e8957ec0-3acb-4580-9818-974a56088bde,
Жанар Дұғалова,KZ,5540cc93-8cb8-4d63-8b08-248eeb985676,
Али Окапов,KZ,c2af49eb-7d7b-43ce-b4c6-573c6af06f8c,
Marhaba Sabi,KZ,9e6dc1a5-5b6f-4f4c-89cd-81e81a5c6c35,
Josef Berger,KZ,cf3125b1-fe72-47d8-9922-7e1faba76882,
Роза Рымбаева,KZ,1d68c830-1c1e-4d53-a391-969f1f53f5b8,
Base,KZ,392a28a8-2408-478b-892b-185b9785ea7e,
RaiM,KZ,c5554188-c6b1-420a-a593-9c303c8a3795,
