name,country,mbid,youtube_channel
Dissevered,LA,33d4fb3e-d62b-4800-9a2d-9ec818edbfa8,
Molam Lao,LA,99bae4c6-0eb8-4f52-beed-b1aabc539850,
Alexandra,LA,5def94b4-a760-4d06-aaa8-d39b17f23d54,
Nouthong Phimvilayphone,LA,1006498b-bc8b-4192-b79f-bbed61cf079e,
ຄຣີມ ທິດາສະຫວັນ,LA,c3e2519b-cc4e-4b42-b110-7577f3cb857f,
Void of Course,LA,8691c946-2330-4a6a-ba11-70b0ee27a15d,
Covered in Gore,LA,2548e244-a93a-4018-b9bb-0657444426f4,
Khamsaen Wongsimuanfg,LA,ba292bf8-2018-4513-b70d-b0edc30f15e5,
Sapanakith,LA,c474b5df-8cba-4df7-b41d-9383b48a1dca,
Namfon Indee,LA,c7f9f853-832b-438c-8755-888983b6ed57,
Nang Nak,LA,822babef-9d0c-4ad5-bbc0-f1e031d88dff,
Pheng Bing,LA,0e0bd94a-81a8-41d1-ad41-f63094320be9,
Nang Salit,LA,91529532-ac2f-431b-af91-deb93804b95a,
Khamsuane Vongthongkham,LA,700a86d1-b3b4-4cf7-a25d-d25413005b5b,
Talieng,LA,589fe382-c0a5-46e1-8716-61cf2888a0b8,
Lawae,LA,9ab214bc-e783-41f7-a8da-29af7d84efcd,
Phuma,LA,6dc643e4-1212-4035-825d-6ce5609ccc15,
Pen Sim On,LA,98712ecc-0a31-480e-837e-ff87cc10e883,
Youn,LA,2e53c79c-04bd-4ade-8734-1398d0c8c3a1,
Molam Som,LA,c8ed9649-2894-4e0a-88f1-2893f3fcf3f3,
Mr. Mi,LA,01802c05-1d56-4f04-9f4d-31fe3c864d42,
Ensemble De Gongs Des Oy,LA,cbc513e5-1bbe-4194-b540-8f2e594ba828,
Mr. Thi,LA,0b5cd3f6-07ab-4a4e-aa58-6bd8a3eefe52,
Ms. Duang‐di,LA,8093bb9e-49c0-457b-80a8-48fc3a22521b,
Thao Keota,LA,8739c97b-7868-43b3-8ecd-47b373e9f652,
Jan,LA,ff5d0e9c-2c75-4901-9679-4f3dfa8e6103,
Suphantha‐amat,LA,a0e02d13-1117-47e0-8c34-d16d93b5c776,
Thao Nénh,LA,f51a2caf-50f8-438a-9e17-98d5cecfc870,
Thit Oun,LA,abf5a4c6-74d5-4b7a-af28-f1afb1f270cb,
Thao Phou Xhon,LA,3d1f442b-bb0c-4346-89e2-ea6a5bb631d7,
Souligna Fasavang,LA,ab6b9d2a-697d-4311-b1ed-7339750b9bb9,
Rotkin,LA,81162b1f-749f-44bf-9fcd-586f69355358,
Dictator,LA,3d602802-5b23-4d47-a6d2-b98dc94c9e99,
Hades Ghosphell,LA,9ca9dc00-9e17-43f4-8671-796d6119a955,
Endless Outrage,LA,e4a7ab3c-47e1-4540-96dc-672bb0a636c2,
Thinlamphone,LA,86807cb1-aaee-494f-a93c-8a5da865816e,
Jo Laotai,LA,aa94f174-1f48-41d2-8bf7-9161c8eb2187,
Sakpasith Thammavong,LA,c85d7dbf-314e-4b73-a90f-f7ba452dc650,
Yang Kang,LA,86d995ac-961f-4e1c-a3af-251070804993,
Somphone Manivong,LA,fa7d5303-695b-416b-8c8b-02c7f3fd69aa,
Vilaphanh Phommachak,LA,069ee467-da0b-4092-8e64-42433d2214b6,
Vongvilay Opimsakda,LA,f9f6b8d3-4128-4ce1-adc5-90b5cf2cf1c5,
Denesavanh Chanthakhad,LA,815a0187-508e-4084-ae72-b954360c0f46,
Bounthong Keoboula,LA,381e9ac2-e762-40b8-bbcc-ce84523cf981,
Kianthiay,LA,43ef2d3a-b6c7-409a-88a0-c4c5df4ba8ec,
Sisounéth,LA,7425a56d-2f82-4a8c-8aa8-c53ab3cb916f,
Bounmanh,LA,acfbf9e6-5e87-4318-b498-1d5cd55cd68c,
Atsavinh Souvannasing,LA,23e4362f-928b-4167-82be-43368db32511,
Pouvieng Vathalisack,LA,98a7f9a7-7480-490a-a612-f0c26a9045df,
Khoune Duongdala,LA,2a87e9f1-5e7b-4306-acf7-c2a32335bd6a,
Tiao Phün Muang,LA,c8e975c8-4c64-4a9d-9394-a5601f125759,
Singkham Sisombat,LA,cda48416-a0a6-4ea8-89fb-a984d7eb0fac,
Saengmalai Sisutham,LA,b42bdcbe-de42-4467-b4b3-f43e3d0ed0ea,
ອັນນາ ແກ້ວພິລົມ,LA,498f7db9-045d-4780-85a2-d50b45c59413,
Paengthong Sisutham,LA,1248f0d1-9206-4744-b1e0-225d3f6a1bca,
