name,country,mbid,youtube_channel
فيروز,LB,338bbb53-5b96-447a-9444-8906844a0790,
Abdel Rahman El Bacha,LB,78e0ab1f-4621-4ce1-aacc-202f7e9ed490,
نانسي عجرم,LB,c5fb9677-b013-4cd7-b89b-bb6e73ad851b,
زياد الرحباني,LB,854d133d-771b-4776-ad66-6768f4f848e9,
مرسيل خليفة,LB,c19ad0d9-4e21-4579-8940-ca61cbca1d8c,
وديع الصافي,LB,d416ee19-8b5b-40df-aaa6-ccc420ac2795,
إليسا,LB,8bd1e3c9-780a-4bbe-b59b-39e4aa2eca5a,
نجوى كرم,LB,2674597f-6c40-47cc-b980-67f94725f7a7,
Rabih Abou‐Khalil,LB,4644d754-bdef-4323-9854-9e82acbdaa79,
وائل جسار,LB,34fc9c4f-40d7-4a02-a057-58892c39f155,
راغب علامة,LB,375e25cc-67cf-4233-b7a7-f2129bdad9c5,
نوال الزغبي,LB,da5588eb-dc55-49fe-98ce-6dac1af3a329,
ماجدة الرومي,LB,486bade7-2ca7-4518-b2a1-4f44d2287163,
ديانا حداد,LB,d731ae85-7707-48f0-884f-0b33b551708c,
عاصي الحلاني,LB,614cf8ea-27bb-4354-b3c1-0c87bb1774bb,
وائل كفوري,LB,e29614b4-0143-45bd-9feb-6f8129245d71,
غادة شبير,LB,3a77b712-301f-4614-9063-82b70559f646,
كارول سماحة,LB,18fefe9a-763d-4faa-b78c-49df506267db,
Charbel Rouhana,LB,133d2984-b894-4ee7-9fd1-ef632ba63c6a,
Hiba Tawaji,LB,3267517b-cbd8-4189-b4cc-5649afec5122,
صباح,LB,75f51459-d2a3-4778-946a-a424d71ab068,
Toufic Farroukh,LB,bfdbd620-2ab2-4a28-a36f-fd248d1ac2c5,
فارس كرم,LB,aefd0622-def6-4ce7-879d-0c435d199cdc,
يارا,LB,96613432-4837-469f-8b70-482458c5888d,
Mashrou’ Leila,LB,a31becdf-7b33-4409-9eb1-3f74bd72997c,
فضل شاكر,LB,b3f5bc93-c962-458f-961e-d861e6e0c828,
هيفاء وهبي,LB,4aed3268-3863-4387-b9af-9edb5c4cd087,
Elias Rahbani,LB,3d9b0101-da55-4894-8781-9a7c37e9c97b,
ميريام فارس,LB,065dd56a-dead-4d33-9537-d0a8aea7c193,
Soapkills,LB,c88d9941-9965-4188-a498-4c346646c072,
Fadi Tabbal,LB,e1d2111a-07c2-4644-be42-abfc4ff1f7af,
Adonis,LB,ab5ab2b6-1bb7-4b49-a218-a02c842bc763,
رامي عياش,LB,c3fe1c71-1f06-4cdd-aae0-105f89f5678a,
مروان خوري,LB,2f6c7fac-834c-494f-99bd-07335e9d9b31,
El Rass,LB,a491331d-4d92-4cb7-a5bd-5f789af82c9e,
PRAED,LB,b7f3c7fc-7518-41e7-ba9b-801d30cb5eb9,
إحسان المنذر,LB,5a6f8f64-0ae9-479f-a0d0-cc2fd02e3748,
سميرة توفيق,LB,91d50161-5cfb-4ffe-9361-0494e2bc0916,
Mazen Kerbaj,LB,f35f7edd-46ed-4a42-89a6-8dac6cb553da,
Kimaera,LB,debdc351-d9f5-49a9-b6a6-0e367d399ac2,
جوزيف عطية,LB,04da5502-d15b-493a-b277-4f9ccf45b96e,
تانيا صالح,LB,a86fb3ab-81a2-4016-a676-19bb9ba0b9d4,
Toni Makhoul,LB,f49e956f-47b1-4bbb-85b5-011b38643f70,
Postcards,LB,a3fad754-0681-4974-adf3-538d0c04e667,
Dania Khatib,LB,13d09d16-4862-46ea-baa4-252623090646,
Raed Yassin,LB,a667fe5f-94ef-477d-9dfc-8c2aaa41c167,
جان ماري رياشي,LB,22bfe543-bdb4-49a9-b130-db1a09efbe99,
The Ab Brothers,LB,1dff507c-cbb0-4022-b061-1a77a9a8597c,
Amanda Abizaid,LB,4444b83c-a555-4fbc-b7ca-a83f5e2d3ebe,
عائلة بندلي,LB,41ea794b-dcfc-46d2-9faf-3d9ca416f7bb,
KOHAR Symphony Orchestra and Choir,LB,00c56e73-6907-4e97-87c1-a23e987f6650,
عازار حبيب,LB,ca695aab-17c4-4955-a5d6-11a8f0fb3d4f,
Yara Asmar,LB,fab65762-22ab-410e-b470-0e56ae378879,
Darine Hadchiti,LB,cff08057-03fe-40b8-b9cb-f042591c3ca3,
Leila Milki,LB,a6f90dfe-ebca-4a0f-8081-a1744ef73790,
Melhem Zein,LB,e4767ef3-01e5-40e1-beb3-64f2acbe5fcc,
Kinematik,LB,f8e8d46d-b780-4595-94c2-18e57c647867,
Hanine y son Cubano,LB,09a4eb96-ed86-4805-8d60-77add038c2f9,
The Wanton Bishops,LB,7c367fba-7ec9-4288-9788-1b04e69c9070,
Aline Khalaf,LB,8c3b3295-5f9f-4917-b6ac-6a91ae255024,
Aymen Zbib,LB,790fe22d-f0a9-4d5d-a8bd-a484875265f7,
Youmna Saba,LB,7e42aaa1-721e-4149-bfa8-2ba01a8ff249,
ملحم بركات,LB,16ded13b-bf0c-45a2-8333-3dc7419ac64a,
Turbulence,LB,ab903c58-8ee9-422d-b1c2-6c5fd64da5ff,
Yuri Mrakadi,LB,8bb66614-429b-40ca-9807-dbf5ec901b7b,
Ayat,LB,6732e9a4-cedd-4fbe-a1a6-7c09b448185e,
محمد البكار,LB,93553844-b15f-4b4f-8951-b3887045e489,
Setrak Sarkissian,LB,8478a887-fe46-4019-a7d5-811857912f42,
Zad Moultaka,LB,c86e946f-02ee-4476-abee-b7ed6fa80230,
فاديا الحاج,LB,9c5c87d2-3718-414b-9470-a5ff802259bc,
زكي ناصيف,LB,e38849c4-2d34-404d-b627-48808e907fd9,
Auriga,LB,6fe27f71-7769-473e-9be4-f7931b2ac08b,
Kaoteon,LB,583f858d-ef51-447b-a214-8d4cccc7e756,
طروب,LB,39868a36-4fdf-4ae5-abc7-8919405db04e,
رولا سعد,LB,8f507019-f103-4d27-8a34-5b4540897bbf,
“A” Trio,LB,7c0900f5-bf64-4a70-8ac3-5179c52d851b,
Sharif Sehnaoui,LB,5bbc2039-ae08-4fde-8798-62ca5bc226f6,
عبود عبد العال,LB,e0824b1f-98ce-488f-ba49-9acc9fe3257a,
Katia Harb,LB,dba2e317-fb2a-4bb6-a0ed-1e9ba16b8e14,
Meen,LB,8e8b1a52-48ba-456a-a5a6-e0744543a370,
ريس بيك,LB,3efd503a-628e-4566-9988-e25c8ce38898,
