name,country,mbid,youtube_channel
Tru Tones,LC,05102b76-886e-49cd-bc4c-a1df4d51ce1e,
Derek Walcott,LC,e4374439-0b4c-467f-8821-40fbe0a2a62e,
Rob Taylor,LC,412dd25d-4e00-43eb-96d9-9dddc91b9f6f,
Ricky Wayne,LC,6ab0f15f-d190-4a9b-9541-f20dd0936648,
Harry Best and Shabang,LC,74039055-d7eb-4d42-9b64-7c482597fe52,
Motto,LC,284ef5d5-95aa-447b-80ed-aeade569ac9e,
Leonard John,LC,eed710e7-a569-4a54-9237-e927bd8e1546,
Sasky Louison,LC,2324ffb6-c3b1-43ad-88d0-906fb5bfd85c,
Rameau Poleon's group,LC,ce3ba18f-f097-41e3-ad87-774b7e3d68a8,
Ives Simeon,LC,58a1b366-2b1b-48cc-87f0-d41750cfcc2c,
"François ""Difé"" Fanis",LC,d39390b7-3cb6-495a-a932-0605cbcf2f5f,
Elford John,LC,b5f34007-fe85-40ed-8efb-ab0d10876b24,
Nora Son,LC,13b16867-37e0-415c-9c50-851756cb8d2c,
Maké Joseph,LC,97e68bb7-d62c-4e68-a9f7-6948bc91bbfa,
Summit,LC,7ab1e87f-2f6f-4224-a090-c92e01e17eae,
NIJAH COLD SWEAT ST CATHERINE,LC,f2768c68-eede-4cc7-a55d-176199a420ea,
Christiana Jean-Paul,LC,09bfe05d-7dc8-40e3-b5ba-3991574f720b,
Zita Celise,LC,3cc76b1c-7008-463e-a3ce-9100dd6c8ced,
Morne Cayenne,LC,9cd5a394-cc0b-455a-8a4b-7dd8a22c5af7,
Taharqa,LC,1a381c16-1c3f-4bd7-a181-093e0042aa09,
Fidèle Emannuel,LC,17b87442-30bb-47da-9403-8adf172b9c5f,
Clide Clery,LC,cf49c4a4-1db1-47e0-a41b-bf3c9e913a5b,
Eric Theodor,LC,48f92e18-fb2e-476f-92b3-4579a5b24993,
Jeanine Simonne,LC,e9c3ad3a-cb80-4243-8796-0f79bb6c3588,
Julita Louis,LC,7ff800a5-a3af-4fdd-8f2b-6f80ddeff280,
Lamargit Society of Laborie,LC,eece694a-c0a8-44f1-931f-a34824384639,
Lydia René Louise,LC,a6688cb8-5e36-4ceb-8226-2413949d7ec1,
Germain Bebey,LC,7d410159-7c1e-4b31-ac51-db68e44b4214,
Lawrence Flavis,LC,8cb4434b-c5ad-400c-ae11-516a8ce84625,
Remy Joseph,LC,04934840-9245-4db7-9cdc-92f56e3dbf04,
"Steve ""Foumi"" Theodile",LC,6af4c7f9-949f-44e1-8a0c-fa3f0bd048ee,
James Arthur,LC,1235cdbe-f7c8-4f1a-aa13-ef85dcf303ff,
George Michael,LC,68a104b9-dab9-4229-aa76-5ed940728fb5,
Wilkinson Girard,LC,27ed1c62-222b-476d-b455-866e22a16926,
Gustin Louis,LC,455352ab-fda7-4b07-a634-a4c7880937ee,
Fred William,LC,02e3b2c3-f391-451c-9698-95ca1142ebee,
Lawrence Clifton,LC,5f06d85a-337e-48ae-b4e5-f3c4283b8b5c,
Etienne Wells Joseph,LC,d9216a60-6bdc-467f-9571-2e4514490103,
Edna St. Mart,LC,9bff9e49-a034-4d97-aa9b-59c5bb63c2d3,
Noah Delaireon,LC,efbb23ac-19d3-4c5a-b469-af8de3ba6eba,
"Georges ""Démou"" Sitotte",LC,ec044ee5-2fad-483c-9d01-f2938d299aa4,
John Jacobs,LC,a7aeba04-2da2-44fe-a558-e448b494d7c9,
Napoleon Henry,LC,78d4a76a-1e94-4fff-9517-d2b89f6bcb6b,
Joseph Walter,LC,7b2ee5a6-a4a6-4e28-9d61-6282ea4f675d,
Jules Popo,LC,15ee55a0-4359-4e5d-aada-d4f722a4b4ac,
Philomène Estephane,LC,d23ad6cb-2963-4f1f-9645-b9a0f00f105f,
Henry Sinais,LC,7ab4114a-faa4-4e71-96ba-05c9f5abb9eb,
Mongstar,LC,e3cb99cc-c6ba-4062-8eb2-2e556c9ac59c,
Boy Ramine,LC,84a3fe58-a4ba-4d97-9cf6-3ff804dad36b,
Francis Ashdale,LC,1175f2d0-83c4-4326-bd53-f2b6fee1b6a3,
Peterson Celise,LC,d91d014b-a855-40cf-9739-1aa79c207eb8,
Francis Geffraid,LC,7083b3f8-a933-4bd7-b6a1-249d60d9871f,
Rameau Poleon,LC,c86e5989-8a96-4d67-8ed1-0735e4c1c686,
Ezra D'Funmachine,LC,9df5a299-f93b-4989-a1ba-8feeef0c9216,
