name,country,mbid,youtube_channel
Josef Gabriel Rheinberger,LI,f3fd1ce1-1911-4b23-a1ed-a7c3a34cbe6e,
Elis,LI,eaaee2c2-0851-43a2-84c8-0198135bc3a8,
WeltenBrand,LI,3191d9f3-6ad6-42a3-ae2e-1332ba7f04c6,
Kylo Dream,LI,735aef3e-7e7a-4218-a16f-e674a5edec7a,
Keaden,LI,bab50c89-0a3f-44cd-95d4-3ce7d5e22867,
Pussylovers,LI,1792048c-718a-47c6-bc41-0507e1b7ac3b,
Ensemble Esperanza,LI,cfbea3ee-c4eb-4692-ada7-22cc70d524cb,
Dark Salvation,LI,92cc0c9e-a4a7-46f4-b083-66a192be04d0,
Al Walser,LI,c6fe8f86-e3aa-4466-8b2d-e3dd06f8fc62,
Lovechild,LI,046a8047-8789-4a75-90cc-92aa6beca3e5,
I Am Chaos,LI,538e6a50-64d8-4d36-a63d-94230cd77965,
Etta Zero,LI,bc2b81a2-9493-4f80-bf71-efd93067eadf,
ICESLAM,LI,3ba3c8a6-31d2-4a6c-8e5b-71934f969a52,
Tess,LI,0536ed05-afbb-405e-9260-6f1fcf02bf56,
Demonium,LI,b765f382-5c69-430d-8fb2-43bc0daef961,
Michael Sele,LI,7908c360-f36b-4f58-8ad5-b87e32276770,
Shotgun,LI,e1e243b7-69da-4d6c-96a8-644a01904c26,
Nick Spirit,LI,a1597758-d770-43e5-bcab-6195be6a0aec,
Eh Luagen Uf Eu,LI,875e1509-8a08-4f58-94e0-3851070cd907,
Copy,LI,215beb28-341c-46bd-9344-dd78624bab8d,
Heria,LI,40c00ab5-2009-460d-8143-6802fcd3f84b,
Snowhite,LI,38e99588-9bf8-4b49-9773-71787644fe94,
Sinfonieorchester Liechtenstein,LI,aae1fbfc-5f9e-4f97-b840-55f61772b51a,
Cauliflower,LI,f818d502-f04f-4f3a-96ac-a24fd61e679b,
Zirkonium,LI,a2b3779d-c831-4b2c-896c-610545abeeaf,
Amerikan Beauty,LI,c85d3e8c-839a-4208-9606-e69a652f47e8,
Duo Hanselmann,LI,bf58aa44-f5bc-4471-90f0-5c2786a3608e,
YungKB,LI,e97cb9c1-3191-4bba-9033-d459beba488b,
Isabel Santol,LI,9da9f3b6-b5ae-424f-9573-827bc12bf837,
Sabine Dünser,LI,3de67a48-c687-4341-84f4-90cbd763d3d1,
Rääs,LI,1bded07d-7374-49be-8ac0-6374cdc0b052,
Carmen Wyler,LI,801c4abf-6642-420e-b464-06bd75f70fe8,
Neuland,LI,af1309b9-1417-4239-953b-0d18b53b4678,
Inferno,LI,4e250a8e-54fc-4708-8d57-525854e72f12,
Ferox,LI,a3c92b95-7794-4677-a11b-d658b068301f,
Ice,LI,826a13f7-4875-419c-a975-38ae7cd6c0e7,
d‘Fätzer,LI,ff95acf1-7380-475c-bb4a-f6e2d1e71ae0,
Andreas Karl,LI,db15e2c7-d094-44bf-bd9b-d0bffe052e9f,
Unbekannte Täterschaft,LI,4c56522c-70c6-44c6-b8e9-7ee06a3ed6de,
Christian Gruber,LI,e64f8dd2-d33b-440d-817b-3ac063757d45,
Slam,LI,339d558c-95a0-4285-b9f1-297438897ebe,
Patrick Burgmeier,LI,ea0cf92e-68f7-49c6-aefc-1b8440276ab5,
Markus Büchel,LI,95ecad43-50fd-4b13-8e31-562fe2686bcc,
Rebekka Biedermann,LI,00aef22a-03bd-4e49-a60b-dbd4f1010bf8,
Simon Gabathuler,LI,62039616-b40e-41d1-8dbd-062c98255ac5,
Simon Schädler,LI,979e72e2-fee5-4a70-be38-7f1a80b36e24,
Kids in Cages,LI,2b77b950-756c-441a-bc20-e4e40b76528a,
