name,country,mbid,youtube_channel
Soulful Dynamics,LR,c6526bb6-b2a3-4516-9c32-dda722568109,
Liberian Acapella Choir,LR,46668575-f590-441e-94cf-b7a247e6b65f,
Congresswoman Malinda Jackson Parker,LR,4010cdc0-6464-416a-b691-f7388c713f11,
Kapingbdi,LR,4277d067-3186-4514-a750-9affefc6b8d7,
The Greenwood Singers,LR,d2e09f7a-e610-42a6-ab70-d7925866445b,
Howard Hayes,LR,b6ef6d0e-e24c-43a5-b901-3a9bdb72407a,
F.A,LR,dca448a2-8ddf-424c-bdb9-c81cc786ab7b,
Rosha Soul,LR,61ba6e22-9b5c-4039-92a4-74a262d58c8d,
Spacz,LR,9fc2a1f5-3d4b-411e-98fa-3415c1fbd5fb,
Liberian National Cultural Troupe,LR,28e5a6c3-7c1a-4da8-b8bd-f2c94e82f12c,
Pepe Kroma,LR,cb5b2750-0465-43eb-bf38-32dc53de296d,
Jeru,LR,083d4d4a-7116-4840-8d74-60ae5fef6bf5,
Jeffly and Bo,LR,945790e7-942d-4cbe-bf36-3b65edd747f1,
Jon Wieh,LR,d86b759b-0793-4bd4-8785-43293dc7c48f,
Mr. T-Kpan Nimley,LR,4012912c-0e07-4c40-a144-f87c8b6abff1,
Tehillah Japer,LR,ca4c2293-6d06-4d15-b82b-04ae572602f8,
Dammntc,LR,89751111-d99e-434e-a6af-955b90dcec93,
Boulevarrrd,LR,ade0f4f9-c185-453f-92d3-b8372c9f3bf8,
