name,country,mbid,youtube_channel
Sankomota,LS,d2d358aa-73aa-4e42-88c1-7175a0f0abf4,
Sotho Sounds,LS,808e91ea-caa3-40a1-89be-7cd9e42cf692,
Core Wreckah,LS,cee94483-0959-408f-9a24-9581e3fd72de,
Tau Ea Lesotho,LS,6bb5f708-7b3b-4bc4-b8ef-135a6f3ff802,
Morena Leraba,LS,e9a450ac-0e9e-4ce1-ad33-1b73607f9d26,
Ntate Stunna,LS,6456d61d-813c-42ae-a99a-52a5639646d2,
Mpho Molikeng,LS,b5313410-7b90-457d-8f96-1c29a7c590a0,
Target Oa Lebaleng No.4,LS,8865d48d-6d8e-4274-a0ba-49da3a42b9dd,
Lisuoa,LS,519a5ca9-7dbf-4f2a-a0b6-2e648ddbd93a,
Hlasi,LS,ecc72785-ed0c-4fdd-a91d-52fa98787aff,
Master Jeys,LS,e0d2aeb2-21eb-44af-b296-7b5e5ebd625d,
Stiano Ls,LS,05e881b9-43d5-4b1c-a3bb-26ebc7d452a8,
Tau Ea Matsekha,LS,63fee07a-ea68-4743-bdf2-cfa2b86eac24,
Malehloka Hlalele,LS,57b1f0c0-96a0-45f0-83c3-a3563ebebd72,
Cymtom,LS,99d5c7cc-562e-4cc8-b047-6e113355be22,
Sir Edi,LS,c08c2e13-4b87-484d-b464-961b97168ce2,
Famo Mountain,LS,42270c7c-dfd5-48ed-9a8a-fb626b63c829,
Mosotho Chakela,LS,79098dbc-9b30-49cf-ac91-bc9d718d33fa,
Siphiwe,LS,05d380e5-6e79-4144-9e64-fa5f4969ee74,
