name,country,mbid,youtube_channel
Lena Valaitis,LT,58cd9fcf-00df-4c36-bcf8-feeedec11229,
Girių Dvasios,LT,7dec7881-d8eb-4795-a524-18244241cd30,
Andrius Mamontovas,LT,663b0be4-8e49-4ca9-b771-58e169e4e628,
Foje,LT,617f85a4-ca8a-454b-8502-902744b6fdb7,
Dinamika,LT,2b121e58-c4f0-4ffe-a9bd-1459f3e2cd31,
Yabujin,LT,2791a048-7546-450e-aeda-a692a74f65c0,
Antis,LT,db7bb413-9e53-40e4-8d73-3726fac48f9e,
Skylė,LT,50b1ad54-cccf-41d2-a510-2d164eb4c2b0,
G&G Sindikatas,LT,888f92c6-1ce4-49f9-ab41-47c3266cb7b5,
Dovydas,LT,cdeeafc7-4438-4301-8256-87bf89248198,
Bix,LT,759f60eb-4b82-4596-8aa6-ef6b8b2c5d6a,
Geno Samuel,LT,956dbafa-960a-48bf-97c8-29dc161e6901,
Stasys Povilaitis,LT,db27527d-58b7-4813-931f-b625df77f551,
Vytautas Kernagis,LT,a436e72b-7021-4c5b-8f86-db10fa17613c,
Alina Orlova,LT,867f63d3-ebb7-4f84-bf45-c8d39a15c477,
SKAMP,LT,5d9379bb-e3ca-43d7-afe5-66fe27ebbfc5,
David Geringas,LT,daf1af2e-aefb-4223-a8bb-5f290834dbdd,
Mikalojus Konstantinas Čiurlionis,LT,b1f99e23-6537-4490-aaea-5a09a3ca9ffd,
ŽAS,LT,8f6d21b0-a451-413e-b3c6-98019569b5f6,
Džordana Butkutė,LT,ed2815ca-781c-478f-b4b7-9441a45a93b2,
Jurga,LT,1bf6db18-cb63-4299-81d7-ad57312a8f86,
Beissoul & Einius,LT,deba6d78-b76b-42f0-81dd-348841709a69,
Akmuo,LT,d8491baf-960e-456c-84a5-82f11fb4f685,
Gintas K,LT,76cb3ae6-785e-4ca9-86c7-48fe3cc392a1,
Mano Juodoji Sesuo,LT,5bf0c233-044a-4f96-b036-4ea1604a4ff0,
Mario Basanov,LT,6a79c0b8-0342-47c8-ae44-a6165297afbc,
Diktatūra,LT,4b2e0474-31c1-4eda-8341-ec362ca036bc,
Vitalija Katunskytė,LT,df6709fa-2ff3-4574-960d-90897eb384fe,
B'avarija,LT,67f95a4e-366d-41a9-afc3-703b336ae5dc,
Rondo,LT,7d7cf8b0-042a-44b6-9eb5-25a3c262ed9c,
Dynoro,LT,b3968fd2-df5c-42b6-a5e2-d9963322d5c7,
8 Kambarys,LT,7b95a59f-ac5d-40ca-a6f1-3857f28cff2a,
Stellardrone,LT,8208d8f9-61b6-47f2-90c0-2680dadd56a8,
Radioshow,LT,774de320-5f75-4be3-84af-0e1930be0a92,
Linas Adomaitis,LT,894f4ba3-f36e-49eb-bf72-f5315dba46f3,
Kūlgrinda,LT,985c824b-b29f-4e21-a001-937c8f018044,
Marijonas Mikutavičius,LT,c00c75ff-c83c-40ec-b37b-f478a6c3b5f5,
The Ganelin Trio,LT,9b854266-8d7c-4ce8-9d71-ae4ba34b12c6,
Alexander Schneider,LT,8f51dbf5-45c2-4361-a375-a7b876d13098,
Hiperbolė,LT,9619ad4b-439d-40ad-9601-f667df7c0104,
Lemon Joy,LT,feb2b5e8-a0d6-4382-815d-7804ce87c351,
Lukas Geniušas,LT,ae97fe1f-c7f1-435a-9a98-ad02367c9052,
Misleading Structures,LT,8fd107cd-09a7-4de9-8053-0e4e0ca2d16a,
Roe Deers,LT,cec2e65d-ee1d-4cab-bbf7-61fb0838b2b0,
Jessica Shy,LT,e5d28117-0662-40b8-8007-6e35909c4efc,
