name,country,mbid,youtube_channel
Rome,LU,9cc9a4f7-d11f-46c8-b97f-902b8a440cf4,
Lëtzebuerger philharmoneschen Orchester,LU,fca4ea60-7623-4b66-a045-fb7b42d56012,
Sun Glitters,LU,2a258278-db47-47aa-91b3-1cdbf5e93d54,
Francesco Tristano,LU,c2de59ca-07b1-431f-b946-e3e5421ede63,
Camillo Felgen,LU,d8e98ce2-407c-487e-ba36-c26a3adcd343,
René Deltgen,LU,4bd8741e-dc1e-4604-8204-12609a96b1d1,
Ranga Yogeshwar,LU,8135f122-4746-4169-b70f-472ce7a861f9,
Serge Tonnar,LU,719c0ee2-d68d-4740-b7e6-c24253e2f88a,
Pascal Schumacher,LU,ba64be9c-2082-43f3-aa68-4e01c7e7d89c,
Versus You,LU,3ce13f40-0c25-4136-9f31-7561fa3fca65,
Gast Waltzing,LU,ec71356e-fbf8-413a-b307-4bcffbef69f1,
Petrograd,LU,f6b1ac51-28a7-42e0-82b4-5b5789779559,
dEFDUMp,LU,6758ac7f-afb4-4015-8859-3c99542c5578,
Mutiny on the Bounty,LU,c4b5f712-5de4-475f-9ac3-abb7e6bbec60,
Don Gelato,LU,13bbc69a-c651-4116-bdbb-dcd36b97db03,
Françoise Groben,LU,b6977685-7711-4a72-be67-dadab95c464b,
Black Candle,LU,e151dbad-ccda-4927-8349-c0c1e8bdf69d,
Legotrip,LU,5818ac20-d1a7-45fa-bf55-9b5b47ff7c5e,
Fausti,LU,802ad516-df1e-4c1b-8edf-00bc5548c30e,
No Name,LU,0947fcb0-9810-4018-ad44-dee1a118c6cb,
The Skinflicks,LU,30293538-b046-45e3-af41-f1df756afcab,
T42,LU,850bdbb6-5ead-4ac8-89f0-3185da81f7b2,
Monophona,LU,195f72b7-572c-4eaf-8b2e-0ec292142a19,
Luxus,LU,f111b671-528b-4fa3-a43f-9580df820a50,
Reis Demuth Wiltgen,LU,ed4dd690-0fc3-4818-98ca-d9db6e0244e7,
Toxkäpp!,LU,82d0a6cc-583b-4f17-929f-c75d0727c9e9,
Francis of Delirium,LU,4332dc29-35a4-406f-855f-8df891462993,
Claudine Muno & The Luna Boots,LU,6064800e-e481-412a-b141-f7a6c40afdb1,
Dream Catcher,LU,e6647c1d-9aaf-41a9-88e6-4acafab00077,
"Solistes Européens, Luxembourg",LU,414b58a9-8836-4466-8f2f-c633bc095221,
Caroline Mart,LU,e57220bf-3636-464c-abd9-a45ceb468251,
My Own Ghost,LU,5479aa49-fd65-44db-87a3-cbbca539841c,
Desdemonia,LU,3f218d2e-6236-43a5-b6e3-e74c97f8e275,
Fracture,LU,c68b07ad-bb80-4100-a94d-36e247312469,
Lifeless,LU,4e0eac27-b039-4c3a-b202-a021ae043b26,
Tito Mina,LU,c3f01168-596f-4689-bb24-1dd15b7e697c,
Feradur,LU,89609a8c-d227-41f1-b623-e34dbbdda554,
Jang Linster,LU,6591cace-9c25-465e-b8ed-e6887e403dd5,
Abstract Rapture,LU,04018ff8-0560-4dda-9207-f9aae7634957,
Pierre Cao,LU,506eb4d1-3132-43e8-97cb-699c4c275ae8,
Heartbeat Parade,LU,a2d7d23a-0842-4a88-b19b-a105450d1b4f,
De Läb,LU,1f1df2f4-7e76-4730-939a-a23f24251223,
Seed to Tree,LU,d6dc031d-4c12-40a6-9138-fe462c2028c0,
Elysian Gates,LU,33d5ac30-25e8-495a-ad03-51ad8ed717a8,
Cool Feet,LU,97dd27f3-53cf-48b2-9b81-c966d7d85656,
Guy Schons,LU,15b5e7ef-5082-429f-89a3-853748fe326d,
The Winklepickers,LU,7c7a6ed3-106e-493c-a22c-5a5fee89c9a5,
Thousand Lakes,LU,760f5317-919e-475d-a049-4a805721d303,
Grupo Pilon,LU,10ce917b-064b-4c3f-a40d-cffa7a008769,
TNNE,LU,598faafe-4ef1-4228-9e3a-226e8031cb50,
Chook,LU,429627d6-2a75-4447-b7a0-306dae343115,
Klappstuhl,LU,e6ca390e-5401-4af4-a049-49176797eab4,
Actarus,LU,38def810-47a9-42e5-aee1-029075f3ec57,
Light Damage,LU,0334cc9a-d304-4b6e-887b-6e6b42fc4147,
Fusion Bomb,LU,630ee23c-8885-452f-883c-f18fcb0f0097,
