name,country,mbid,youtube_channel
Raimonds Pauls,LV,0dafaad6-94b6-45f3-be12-4861d0d9e7c2,
Mariss Jansons,LV,0965cb8c-4528-44fb-b48e-38920bd9a1cc,
Prāta Vētra,LV,647f6826-8e7f-49b2-9d8f-fa4dee659edf,
Gidon Kremer,LV,e2c8b2ea-8b6e-4d6e-9ea5-e2b34b073045,
Mischa Maisky,LV,dac3e41b-15b9-4ade-9036-8dcaf7a8857d,
Jumprava,LV,0f8218b0-5c46-4c88-8505-851380b5cb7d,
Līvi,LV,e695947f-ec86-4ad1-a0a7-8edceab85814,
Iļģi,LV,6721ad15-8109-4ec5-8122-2c5fa9451cf7,
Dzeguzīte,LV,055f23da-2581-4d29-b008-b2a9934dcf46,
Pēteris Vasks,LV,e87fd6a2-8f83-4451-9b0c-4ba4e0d855cb,
Andris Nelsons,LV,14ced464-fd2f-4140-8fc6-c433bdd1c874,
Latvijas Radio koris,LV,5f906627-4601-4d07-8311-27521225cb63,
Laima Vaikule,LV,7c50fdc5-fbac-4bc6-8ab3-7c145c0c9d89,
Zodiaks,LV,505894dc-27fa-4dea-b802-963bf19c3cd6,
Ainars Mielavs,LV,0b965e4a-e0cc-4e2d-9679-c7b48ef882c2,
Pērkons,LV,7ca8e322-7902-46ce-af39-8c9b168907b9,
IVOXYGEN,LV,6faefc2e-952d-4062-9d9d-182d889dc66d,
Nora Bumbiere,LV,7ff1bc5d-a550-48a8-a0e6-f471908067fc,
Viktors Lapčenoks,LV,885c95a6-eba0-4c00-8fe0-0192ca2374eb,
Labvēlīgais tips,LV,0cbcfd82-4523-42fe-9cab-34b810dd2e4a,
Imants Kalniņš,LV,c0c0027c-11ac-4637-9a4c-a2693ca21d5b,
bet bet,LV,b02117b2-4438-438e-af67-8f675cbca4c7,
Credo,LV,d2693422-78fe-49b3-af69-676f7e567d43,
Auļi,LV,6dcf4734-69fc-48b1-b239-00c2a0c68a1b,
Igo,LV,b3270cc9-4fb1-4a77-a9e5-ed5af2ad9141,
Baložu pilni pagalmi,LV,a1ab8c47-870f-43d4-a66e-7715cc0d353d,
STandART,LV,ede08d63-0b9c-4d61-859f-6277ff823cc1,
Sun Devoured Earth,LV,a0469e88-c2d4-408e-837c-ab6d6f83828a,
Tumsa,LV,e4ca6ce4-d945-40f6-8d69-6ac88d31344d,
Imants Daksis,LV,c952a16e-40c2-4c08-b217-901dd951a7a3,
Dzelzs vilks,LV,0d15c2b9-4ff0-4675-899a-96ca204addf8,
Jauns Mēness,LV,44e38bbf-1751-4c02-bc51-6107491c13bc,
Liepājas Simfoniskais orķestris,LV,845880bd-9b21-4df6-835a-fe68c6ba3158,
Rīgas Doma zēnu koris,LV,a2a94dba-9fe1-49f6-9684-9dbfccd47202,
Sigvards Kļava,LV,d99cdcb4-5f61-43e2-afb8-50ea012945c9,
Eolika,LV,dec55862-d7a6-48d0-8a96-54fb328407c1,
Zigmars Liepiņš,LV,454263e9-a35a-481f-88a0-43aa41c173e8,
Saucējas,LV,5cdf2302-21a6-4607-b3cf-bb7365cc47fc,
Kaspars Dimiters,LV,e18094d7-2486-4372-8471-078aa8e65cde,
Jānis Lūsēns,LV,b56293df-0262-4b88-8cc8-ef4260fb3b3d,
uamee,LV,2ee4f5e9-1398-4b96-a49c-c641c0f0d02c,
The Hobos,LV,0f9d70ed-1d1d-424b-8190-ae1a03db14a0,
Normunds Rutulis,LV,4a8b4d00-82e6-4249-87e7-a72a0bfe4c57,
Knīpas un knauķi,LV,3a6b3d4c-89fc-4d6e-90e6-f02287dff7f9,
