name,country,mbid,youtube_channel
Ahmed Fakroun,LY,e71d25ac-af0c-47ef-8ead-48ef634e11d0,
Oydis,LY,d7cdd386-c150-45e9-b917-670e2ee89358,
إبراهيم الحسناوي,LY,7e7edb3c-581b-4fcd-9778-bc737f635713,
The Free Music,LY,7f3e7689-9fb2-41b3-a507-9822799975f1,
Bahjat,LY,bbe33e6d-2f90-4b5a-8694-7a75d949e241,
محمد حسن,LY,4505d7f9-82db-4857-a476-effc2ec51bc0,
Cheb Bakr,LY,dfedc65b-ca37-41e5-9a66-ccff0eb4027f,
Rex Mortifier,LY,53634e1e-7737-4d1f-a3a9-359f978a265e,
Dalinda,LY,b06f89f5-66d4-4726-9103-18b1e2068ab1,
Tasnim,LY,28c46e5a-bf97-41fe-bcc7-623ce097e7ef,
Najib Al Housh,LY,a374ea4c-a4c7-4a3b-8123-1cbee01344e6,
Cheb Jilani,LY,ac3dd034-782b-444d-a2b4-15d2752b47c7,
Ibn Thabit,LY,7db7c4ab-b7bc-48bf-8bb6-28c89609f984,
محمد صدقي,LY,59638999-3cc1-44f1-a802-4a3b66d3fdec,
El Shab Arab,LY,696cdc07-6fff-4530-9abc-5e0c7271756e,
Mister Hami - مستر هامي,LY,42d96f5d-06c6-4e51-9d06-b463d43c30dc,
Chet Féwet,LY,d93b2d5d-b34e-4bb3-8592-518e68dfae40,
معمر القذافي,LY,030c3aee-545f-4b9c-a89e-56a45592f900,
Khamous & Bougadi,LY,503c6313-f3fc-400c-bb73-e4ad39d77b90,
Khalil,LY,2c6753af-0ce1-4f65-b6f8-433177efc522,
Libya Music Band,LY,263fbec8-a920-4b47-8e50-66b05f7d1a89,
Fuad Gritli,LY,817e9704-a3d3-413f-9961-53d6003bafeb,
Khaled Al Reigh,LY,d7e74d6e-7731-4958-8282-898cccdc438f,
Shahd,LY,a08799bd-7bb2-4e91-b4d3-3c8b25c0a9bd,
KA7LA,LY,f7cd2e2a-0095-45a0-8cc2-eb569b8b2026,
Arphalon,LY,80d9df6e-1442-4715-a45e-be0d4345205a,
Ayman Alatar,LY,4a248d56-2a23-476c-af1b-3b2eda7bf9e6,
Redwan N. Shishko,LY,1adaf441-be7d-411e-b136-5f874a2602ed,
Resurectionist,LY,8039d087-aba5-4014-a744-1d8bea3ddd91,
Kaosemen,LY,4d2ea6f5-ad7b-42e6-ad55-74892552e325,
Alhayawan,LY,277bfe6b-a6b9-4284-b5c3-a2f6edd61263,
SAB F.H,LY,c64b4a82-c7ca-4ac8-a2d3-fb484cd318b3,
Ahmed,LY,34444a67-9396-4903-b9b8-6245eab07145,
AsSel.nmd.,LY,6ff4f900-bfd6-4978-873b-bc1cf0651161,
IAZ,LY,c88429a2-ac47-4585-8cc9-f0ce30444ccf,
Nasser el-Mizdawi,LY,21b29083-f659-4543-b087-3ed71cd24dd2,
Magma,LY,6481f4b4-cf50-4b10-84cd-58784c3ed240,
Rex Inferni,LY,6f206aeb-3d3a-4948-b38e-1f890c56fd9f,
Witchhammer,LY,e0a12d5b-09a8-41fe-b350-93f06a277920,
Yusso Balhood,LY,1088411c-a16b-4de6-abad-f96efb6b4e18,
حسن عريبي,LY,8068fa46-a50e-4d5f-a3fd-983fa3d6c101,
Jonathan Steel,LY,464557fc-31f0-46ee-bf46-14285efec3cf,
Synesius of Cyrene,LY,9e5f0a80-0c4b-4099-a33e-236e768958f0,
Walid yosef ben srity,LY,38af685b-5384-4b01-a51b-a782fcfb06d4,
Dania Ben Sassi,LY,c68d7153-f462-4883-82cc-00f2edac6840,
DJ REO,LY,1f7099c0-8276-42e8-9cb2-12afbf685ccf,
ناصر المزداوي,LY,6ebcccec-992e-443f-8cee-3c770d868259,
الشاب جيلاني,LY,8dd3bc78-38ed-4e84-b51f-4a7f27874e5c,
