name,country,mbid,youtube_channel
جوق المعهد التطواني,MA,1fd6a88b-ac4b-42fc-8067-152e481ee14d,
جوق البريهي,MA,0bc7687e-34c5-4103-8177-b4a58d23a823,
ab97,MA,a663618b-275b-43a0-993a-e7ff6fff81fa,
Nass el Ghiwane,MA,cbcd5eaa-0d67-4269-b0d5-05f2988d7c69,
Majid Bekkas,MA,032592b6-c309-48fa-b92e-d3e48ebf1857,
Master Musicians of Jajouka,MA,6090a491-7af6-47fe-b083-18727224851f,
Hindi Zahra,MA,34964ede-3103-4023-93c8-ee514abdcb3b,
Oum,MA,d5099437-811e-4cba-909a-c3d263e1ae89,
Amine,MA,f0d574e0-638c-463a-92dd-33aa9339cffb,
Muslim مـسـلـم,MA,8acc6265-6395-46c5-8b54-2f92c215463e,
Hoba Hoba Spirit,MA,e3cf0e04-abbe-4bd9-ba26-257d62a53725,
Omar Metioui,MA,6d28ff1d-2a5f-4f07-b771-d7a92a29a6fd,
محمود ﯕينيا,MA,f55cc026-59e9-4bbd-80ce-4dd951c840bb,
Paul Bowles,MA,fc11241f-c3c0-4114-8081-b7542852c87e,
orchestre asri,MA,3793bfe2-c5ad-4902-8bbc-597f4d403bbc,
Don Bigg,MA,4b8e5ed2-1fc9-44fe-82f1-86c2dd139dca,
Oudaden,MA,c8a425eb-1346-49c6-89a2-cb97524e05e3,
Orchestre du Conservatoire de Tetouan,MA,73f07632-08b7-4d28-aa49-2cebd727109d,
جوق تطوان,MA,1d4621c3-eb52-4bbb-bb98-d351d7db3c80,
جنات,MA,07713667-fcf9-4b8b-bbe8-c257994738fb,
Driss El Maloumi,MA,ab28374f-0c23-498b-b5d4-8b58da3e5f4e,
Abu Lahab,MA,59029cc2-c1a6-46b4-aeb1-6db667c64823,
Aziz Sahmaoui,MA,0eeb6fbf-7832-4cc2-ae4b-f3ff480e8115,
Aïcha Redouane,MA,4563a476-e9d2-446d-9c56-9c2aa56815ba,
Aisha Kandisha’s Jarring Effects,MA,4c0c58a1-bd7a-4a4b-bb12-306a937b8389,
DJ Abdel,MA,7b4ac3d6-19df-4663-8d22-18189394acff,
Cheb Kader,MA,8bdeed6f-1eb0-4234-9eba-f63943439338,
ElGrandeToto,MA,49487c06-ec80-470d-9f97-e80649a05b90,
Amira Saqati,MA,4830ed82-6cad-49a1-a906-c38070ce169e,
جيل جيلالة,MA,2946db8e-0c9e-4f70-bf96-b609f2eeb2b6,
OCB,MA,966c6945-e5ea-4764-a3b1-907e7e14fd5f,
Mhammed El Alami,MA,3d43a03c-7fae-4e9d-a10b-28c9c24af5d1,
Hamid Bouchnak,MA,2d43c2a8-84d7-4f48-9262-27fec6c84e09,
Master Musicians of Joujouka,MA,f069a602-ad24-4f77-9865-e203973a61af,
Bachir Attar,MA,2a5b912e-c820-4dc3-bee2-8a06088fd315,
Sofia Essaïdi,MA,ddd130f4-46da-4470-8a28-179e2efc1931,
Moulay Ahmed Hassani,MA,8dc68405-974e-4c27-a0d8-2ff1a1c4659d,
Vigon,MA,b327cd98-eb56-4edc-b73f-f6d1d518a4ee,
Rabii Harnoune,MA,1f4c8b74-4287-43fc-87d5-1e6a4e627ff8,
Ahmed Shiki,MA,9b436783-95bf-4e5f-8e0e-9d7cd7cbd618,
