name,country,mbid,youtube_channel
Stéphanie,MC,a7ef5c8f-4521-4744-ad78-46ac7ceae75d,
Orchestre philharmonique de Monte‐Carlo,MC,eaa3e43c-48e2-4fee-bb06-c14e0a270729,
Aleksejs Macions,MC,2eb07f5d-e3f4-4dda-b6e6-6f1989cd3a26,
Shani Diluka,MC,f2add51a-eba8-4b82-9110-121b6970afd6,
ShitNoise,MC,0932a4ec-c5d4-4392-8f71-7259c1b289c9,
Godkiller,MC,3d2e4733-44a0-49bf-8e76-45ab6eddbf90,
I.M.O.D.I.U.M,MC,9e24b7e4-fe99-4286-a876-1b0c6ed6d890,
Young Cardi,MC,4c0b876e-9144-4b09-801d-8fc841fb1ff1,
Marie,MC,a830efb3-5e03-4031-9b7e-e6816b73fe08,
Stella Almondo,MC,a75c1875-fee8-4f70-afae-6d6825d67864,
Charles Leclerc,MC,cf57ba0a-634e-4f11-8eae-e1527d13b415,
Minouche Barelli,MC,2027504d-1ec0-4a64-ad95-fb7cadb72286,
Black Knight Symfonia,MC,275bb39e-e97d-47e0-9069-98210f62b6fd,
Thierry Amadi,MC,86a89964-cf34-46fa-b144-fbf78dafd1bb,
Les Musiciens du Prince‐Monaco,MC,a2eb8a97-7106-4c27-aea3-7fab8ef073dc,
Risky Business,MC,49241767-3636-43a0-b667-20f079bc5870,
Vanya Cohen,MC,f8ae2b67-04ab-4c7a-b486-5974d6e948f1,
Uranium 235,MC,17ff7ccc-5805-47d8-8c28-892ef27a088f,
Bruno Bocca,MC,fb1a2d8c-7e38-4d68-9190-b9ce9b1174cd,
Charlotte Casiraghi,MC,6d330eab-405e-4ee1-9afc-9497c38557a0,
The Outlaws,MC,d67e817e-21ff-4698-bbc4-c68cb073bf34,
Coco Radar,MC,3cd71da1-447a-4f64-bf4d-7f903afe0dfb,
Louis Abbiate,MC,6e4f750c-358a-498c-b4e3-f9967cf8c322,
Big Band Jazzissimo Académie Rainier III - Monaco,MC,6e725892-ebcd-4665-81bc-7b8914bbe5ae,
Alberto di Monaco,MC,1d8a7ace-6496-459a-93cd-ffb8fe2e1d58,
Alex Allavena,MC,90d19628-90d0-4ca1-a080-a3db8cbea95e,
Albine Berlioz,MC,17e36d69-69fe-41f0-9f47-d84c8143df23,
Marc-César Scotto,MC,fc8aedc6-b594-44fd-9b21-a749c3daefa5,
Fra Fiction,MC,04cf7a40-1578-4432-8de3-2c400ff202c3,
Fabrice Alibert,MC,d3cc675b-3ad1-44b2-a9c2-762cf3cc829d,
Orchestre Tzigane de Monte Carlo,MC,2b1775a0-19f3-49a2-b3db-23a142fe6911,
Trio Goldberg,MC,bed818a7-bdb2-456c-97cc-523b5f7aeae8,
Federico Hood,MC,d748f254-a68a-4843-9bd2-cbd2351e9c76,
