name,country,mbid,youtube_channel
Andrew Rayel,MD,a90cbe49-705a-49d4-931b-8a8841f431b0,
O‐Zone,MD,5cb608ea-bd36-4a33-b9a5-822c7fc4194d,
Zdob și Zdub,MD,06b13f0d-b1d4-4e29-8b74-d80b63813e32,
Infected Rain,MD,901c5926-43be-4f16-9fdf-87953ae8d1ac,
Евгений Дога,MD,0e961d8e-2f3e-4401-95fd-295b9647ba59,
Lăutarii,MD,d51c9904-bf4e-44b7-ae60-e23c94c17ccb,
Memphis Cult,MD,9fcd3220-bb9a-4177-b0ac-e8fe564010a4,
Carla’s Dreams,MD,487c0b1c-4406-4818-a63d-bdf99d34a189,
Irina Rimes,MD,02711b98-5af2-4ff7-84b9-0b1fc64ee1fd,
Patricia Kopatchinskaja,MD,d290d27c-ed19-415a-ab43-ddb2f4071f76,
Nicolae Botgros,MD,02acbc98-94c5-4eec-b7d9-db2f890d61fb,
Patmos,MD,1423e60b-dcd3-4779-b726-7db92e3e774f,
Alternosfera,MD,fed48f12-6a89-417e-9490-a8d864653294,
Sasha Lopez,MD,effec721-02c8-4f09-9a88-ce6ef522bcad,
Pavel Stratan,MD,877b0897-026c-4243-b096-7fcdf470ddd7,
Arsenium,MD,f3e9b4dd-f1c6-468a-8808-9747f5a0f23b,
Anatol Ștefăneț,MD,0c77beb0-a4e4-4737-b7c6-15363745510c,
Cleopatra Stratan,MD,5a8f33ef-1a15-4961-918a-e6a00a44858e,
DJ Layla,MD,ab2ad6ec-0b33-4f99-854d-919a0a08287b,
Trigon,MD,d45044f2-328c-4c7b-9742-72427ad2ae72,
The Motans,MD,30d9cd86-f165-4724-9757-c4cd4b5f5ae7,
Kcik,MD,1bdeddf0-8343-470e-8a05-668d85e76fea,
Alpha Point,MD,22d2d0b3-bf1c-4bb3-8f9c-e5560dc09548,
MYRIDIN,MD,fb7c21f5-e04a-413f-adde-b9c33e306ac2,
Crazy Loop,MD,1cb45855-ab32-47fd-b0cb-a4a464ff4ac7,
Basarabian Hills,MD,d0aaa9d1-53f9-4772-a63a-1820975c2ea5,
Iurie Sadovnic,MD,8b64f65c-310a-44a9-92f6-eade6d481371,
Gicu Rău,MD,9c0b3169-55db-43fc-8203-8c057690798c,
Broono,MD,41977571-d0fc-4b27-8da7-935a0e1ca03b,
Alexandrina,MD,dba54cd5-a339-44bc-9280-520b18cef97a,
Ракетобиль,MD,500d9e12-d109-43d8-9828-e9347b09fc56,
Ион Суручану,MD,1cee399c-2f09-4a0e-9d85-d0ce1775e54f,
Millenium,MD,0352d0cb-f875-4f90-9f5e-ec2405d39540,
SunStroke Project,MD,42789179-3785-482b-be34-10dcb3ce0cea,
Seas on the Moon,MD,637cde9b-7967-45d5-800e-0a1051c63316,
A Refraction,MD,178fef6b-f283-48ea-87ca-bfdc312c52d2,
Александр Бырка,MD,a5c5c303-29e4-4d00-a270-22e5a95b88e0,
Caligo,MD,afc6810c-3269-43e2-b2fe-aaa8b392d132,
Nicolae Sulac,MD,46e7ce36-c60e-4e53-8a18-4d4654dbd857,
TRAP HOUSE MOLDOVA,MD,cd0453ab-7b16-4b42-b20e-1cf954ba33dc,
Alex Calancea,MD,c040e4e9-31db-439d-a75e-8e2f18d1959d,
DoubleV,MD,f802a70d-bbfb-4922-9b02-35dca59c00d5,
Accident,MD,579dba55-08d8-43fd-b7f1-fbd7c35c79d8,
Plaiesii,MD,d6d822f2-febd-4238-8be9-110018f77fc9,
Alexandra Conunova,MD,bf5e349d-d6a2-4860-aa14-61f173947114,
Megatone,MD,aa2593d1-7494-4f12-8f57-241bf642b389,
Adriana Ochișanu Botgros,MD,a5482135-3b17-4ad9-97d0-2eb69ce63c05,
Zinaida Julea,MD,6e66437c-88ae-47c7-89cb-9c6a52138d55,
Atika Patum,MD,86bfb6f9-cdb3-4921-84e5-f1370dd44c56,
Natalia Gordienko,MD,e6769362-0ddf-4bef-9eb3-3a032aaedb98,
Lidia Bejenaru,MD,0258ad51-2eee-4bbd-a0bd-7e30112534ae,
Skyweep,MD,802d7d89-053e-46c9-87e3-6895afdc4d8e,
Anatol Cazacu,MD,cf8dddd7-80bd-42c3-a1c7-a934a01940df,
Via Dacă,MD,23c9f88b-faa1-4b90-9738-eceab4416e0a,
Alexandru Cazacu,MD,ceea55e8-d9ec-4845-a0cf-2ac63121686b,
Misscatylove,MD,a7ac031d-dfca-4197-9a08-bdfa455ae1a3,
Vladislav Cojocaru,MD,69e0e795-09e6-43bc-b032-29ecd7c751fd,
Tender Pain,MD,d0ae111d-4269-4c25-a406-f5da76fb782e,
Sarcoma,MD,a903229e-df16-40a7-954a-9406d18fac33,
rubycone,MD,31731dce-469f-49e6-9405-627cbb772987,
Tany Vander,MD,bef9345f-374e-448e-af57-8628ab544843,
Invisible Landscape,MD,bae93255-1725-483b-93a0-73cb5d04f96c,
Nicoleta Nucă,MD,5ad59e2b-ebbb-49ed-99e7-cb92463951ae,
lst drm,MD,0aa0afbf-10f2-4f23-8ac1-f5c6c3319709,
Uthopia,MD,ddda3288-2bc1-4f4a-9426-7ddfbdfbfdfc,
Viscol,MD,9e0a02f3-1865-4de2-b73f-b2699915f399,
Zombie Attack,MD,6e8b92c4-7186-4b82-a97a-cb319209327a,
Mark Stam,MD,84be585a-5b77-4872-bbf7-0c83ecd79c63,
Alissa Zoubritski,MD,61e9c4ce-ec47-44bc-89d6-4b19bfc0ed16,
Timur_SH,MD,a9dbbbcb-ff4f-4155-b7fe-ded7d6a0e924,
Natalia Barbu,MD,4af46e6b-6bd3-4dbe-9eee-cb6c122dd175,
Pasha Parfeni,MD,105d132f-0bd8-4488-b340-87bfdde9f8af,
1000facez,MD,b7eee795-c789-4cee-9d9c-f2d7301b2a14,
Misha Miller,MD,3df03b99-a41a-42dc-acdd-48df0aa731bf,
Tsarewitch,MD,aefb91a7-cd4d-4904-89f9-9307b6cbbb8b,
Aliona Moon,MD,05bcfe99-d7dd-4b1a-b45e-8d03276fafd7,
National Symphony Orchestra of Moldova,MD,d1bfc320-e6e9-48c7-b936-89ff8b2140af,
Nikko T.,MD,6f7c478c-5da4-4a16-b150-d7ecb0f506e0,
HKK,MD,1b538cb8-1941-48aa-a98a-044edced3d21,
Black Dome,MD,f2186593-3375-453a-ae05-e9c0130dd081,
Zaebisi,MD,a78b9d4c-0b20-4c87-8297-dfdaca190798,
Cristina Scarlat,MD,9a15be2c-e4f8-4da0-b5a4-e775797f67f9,
Octavian Casian,MD,8e09fe9c-c00c-43d8-8580-58501430d02d,
