name,country,mbid,youtube_channel
Rambo Amadeus,ME,fd673f97-a906-4eed-89a8-f58fe28ccc30,
Titan Slayer,ME,a8ce563e-067f-4b84-8e42-30a3eba3f10d,
Shogan,ME,30c57516-48b0-467e-ace5-775ad68ef60b,
Miladin Šobić,ME,b08347ba-c0d6-4d8d-b415-97905cc24769,
Who See,ME,51b7b094-c761-4f4b-a3ac-5296f2f0acb1,
Tenor Youthman,ME,117790bc-c44b-4551-9648-3dbe9c63d22f,
Sergej Ćetković,ME,e528713f-e966-4524-b9b7-38ff54bab8f1,
Monteniggers,ME,7995cbb1-1bc0-47d0-9a82-4c13a97cdf42,
Sijenke,ME,9da066e1-59c5-4bbf-bce9-2e9abf7b4fd5,
Vanja Radovanović,ME,7db352ff-5faa-4b70-a72e-6472dec6efda,
Šako Polumenta,ME,ff920e0f-b956-4c93-959a-f39278632019,
Branko Balsic,ME,2a60526a-586c-4455-b7ee-c17b59084f51,
Bojan Marović,ME,7709b4d9-3986-4f39-9f35-8e259976f1b3,
84Bit,ME,f1e38c08-8738-46d3-9695-abaaed4920f4,
Grim,ME,9474f6fe-b22e-44c7-afed-488bcb6295bf,
Zoran Kalezić,ME,73a1b4cc-74c7-4d13-933e-0cf2b024dfdd,
Karacha,ME,d9033fac-eea5-4278-9c03-87d8ce1db8f3,
Gjyste Vulaj,ME,d3e1c700-6ed1-4453-8392-c77af06ab703,
Alen Mukovic,ME,8ee027fe-bf84-4565-affd-a26c1f3e09c7,
Zaimus,ME,6cd6dd6a-e79d-4054-8115-4bf8b2fac0e4,
Miki Petkovski,ME,3aa017b2-5c5a-4453-9610-28a59ac85512,
Velibor Miranovic,ME,593c15b6-8662-4d63-9506-d366a0a3db9b,
Jah Beer,ME,2b6c929a-cffb-4d84-9b56-a2fa048f82af,
Arman Licina,ME,269fea30-2a8f-428b-8094-ec1499a251c5,
Zoran Marković,ME,83315d53-2dfd-429d-859f-568ea24fa244,
Slavko Kalezić,ME,01683b74-b0ff-49a1-bb12-a3e50ffb5c2a,
Iguman,ME,bdb5d928-6db7-44f1-af33-7b948c0026f0,
Zigelii,ME,66a184ce-58c9-4aef-97f7-8cbc5fcd8bec,
McKiddie,ME,80ad8fa9-6abc-49e4-906a-c45534b4d5f7,
Lèrr,ME,1a8d5496-1a44-4741-823e-6981ebd94a1c,
Bogalj,ME,6003dacb-6d4d-4426-9184-c057efe6e2d9,
Andrea Demirović,ME,0befb300-fe11-444c-b772-da54c5e138a3,
Nina Žižić,ME,9809fe57-6451-4fc7-a874-9f8e67979e12,
Goran Vukošić,ME,ab2df47e-e296-412a-9113-32f4619ecd91,
Vladana,ME,320f81ba-c8cb-4748-b48e-f9ab24aa5e52,
D Mol,ME,43245b7b-dbfa-43f6-a026-810c294886bb,
Nikola Karović,ME,a8b8b0c3-6981-4899-95ed-54900b101f26,
Kingja,ME,aca9314f-ce0d-44ba-839d-a6b8df537491,
Stefan Filipović,ME,0a421452-a088-4bcc-8848-ed866d119b21,
Makadam,ME,201a060a-c85c-4d2e-b9fd-698ea338ce0d,
Maša Vujadinovic,ME,56ea2ae1-769b-41d0-b097-70a08421e015,
Lejla Vulić,ME,18687d42-ed9c-4c20-aa20-08ca25114e01,
Highway,ME,eac5951d-85d1-4915-9b0b-b1509d733cbf,
Ismet Krcić,ME,14c8f091-b208-470a-a24d-528a985a0b3a,
Momčilo Zeković,ME,28cb8ad4-b382-4e46-90f4-ce37af9b092a,
Milena Vučić,ME,0a7ff84e-88a6-4d2c-9aa7-d34b3812dba0,
Crveno i crno,ME,4cd6c7b5-a675-4f2d-a725-54b433a89805,
Perper,ME,abceaf84-c20a-407f-b5c1-fa73be02fa21,
Marija Božović,ME,dd77e910-2bb8-458a-a71b-4c244c925e5c,
Jana Mirković,ME,70207c9b-bac5-4cfd-89af-7819fda7ac40,
Pim Secle,ME,8fdfefda-c497-475c-a8cf-618174041518,
Aleksandar Perunović,ME,88a632b5-40dc-4e52-860d-28e56e581efd,
Jelena Laković,ME,b75648d0-381a-4ea3-8060-8ef29c07d5cd,
Jovo Ivanišević,ME,0fbe5fc9-c9b5-4c8e-adb8-ad915d2ed373,
Napst3r,ME,4baa3b09-25c7-4b29-ae58-e41c743a9b0d,
Nikita Mironov,ME,5d933a96-f85f-4a87-952d-8114ff1534aa,
Kosta Popović,ME,ec08b65b-3dcc-477c-8328-0f2242488463,
NeonoeN,ME,02eea542-3807-4444-837e-007c307ed56c,
Eliza Stark & The Dappers,ME,73511f74-f8dc-4536-9e6e-7db5b8373f1b,
Slaven Knezovic,ME,aeee6b19-2afb-4888-a2e1-6b91db367019,
Andrijana Božović,ME,fd256263-6879-4353-94fd-88c9d7c36f48,
Danijel Alibabić,ME,7bbf957c-14a6-4ce2-9c45-efb0efd1dd58,
Tribe Project,ME,24635e7a-cc69-49bd-9861-07389ed6af4d,
Nero Wolfe,ME,264dca53-d6d1-429d-bac4-5864b9e2b0a2,
Stevan Mandic,ME,7de210bd-8bd1-46ec-aa6e-b47ed6a53151,
Milan Perić,ME,d15e9db3-61fa-4391-80ae-f7882278a89a,
