name,country,mbid,youtube_channel
Tarika,MG,26f6d5b4-137f-451d-aadc-74ae204dc5b3,
Jaojoby,MG,0aa93c31-29b9-44e7-b594-7c7211b34d47,
Rajery,MG,9dd562f5-3e87-41a2-9eb1-851439f2f068,
Mahaleo,MG,16083734-d64a-44b5-bd7c-eab5ceb426fe,
D’Gary,MG,612fcd72-c4a5-47df-bbdd-7e4b3292873a,
Régis Gizavo,MG,ddca7ed5-7a6d-4a46-ba19-a1a33807fc89,
Justin Vali,MG,89a8582c-cc7a-4fda-973c-d504341e55b2,
Erick Manana,MG,32a919b2-6d8c-4160-a950-83c97e4678ab,
Tarika Sammy,MG,e01363bc-0fd5-4f4b-9051-683c54c299ac,
Rossy,MG,c39462a1-2b7a-4333-b95f-d0620d974504,
Damily,MG,c8ad8bfd-8465-4738-a688-f08c4c0f4139,
The Dizzy Brains,MG,1e5e6788-674b-4184-8bb2-5f5c1bfa8367,
Poopy,MG,ec7d2e83-0d5d-43e4-8167-2f77a43aaede,
Landy Andriambaovonjy,MG,35cc1467-5ade-4db6-ae9b-8b45aea8c6e3,
Tony Rabeson,MG,f2f18680-7548-4d23-9d70-94162ff1195d,
Razia Saïd,MG,905380d8-08e0-4ac9-9992-ea1f009f0023,
Njava,MG,fd507647-0a09-414c-86fb-14adf819fa77,
Rakoto Frah,MG,8cb11aab-f38e-4923-8897-bafa553e66f5,
Beyond Your Ritual,MG,32b6287d-0a0e-4758-bb73-24df41657486,
LohArano,MG,7794c65c-b80a-4fa6-9aed-02b6addf6967,
Sylvestre Randafison,MG,2bb88094-0f77-47ca-9ff3-c04de2a8215a,
Teta,MG,96eb5488-41cb-4f71-b98b-6a55682b7679,
Mily Clément,MG,316e226c-2336-44a0-aa2b-d191e6f85857,
Kristel,MG,529d3f55-26b6-4f0d-8090-2e897b536e3f,
Dama,MG,6291031b-96f6-44f8-901a-4629d6c03205,
Hanitra Ranaivo,MG,c898d3cf-44be-4d1f-b6fa-042b1659c733,
Toko Telo,MG,ae216411-b608-4763-aed2-4a9af0bdf372,
Vilon’Androy,MG,27a40a5a-ee98-4780-b69f-3d0aee55bac3,
Modeste,MG,b1f271a4-0c22-421a-8b28-1bf8152d024b,
Ny Malagasy Orkestra,MG,b8f55a52-50c8-466b-bf99-c16ee71e09c9,
Sahy Ratia,MG,99df1a93-2d1f-452e-8bdb-ed5d82f8cbb2,
Holy Angels,MG,9616e51e-278c-48f4-9cd0-26614a5d26db,
Lala Njava,MG,810bc3d7-6165-4f77-9771-f61ba70bbe7c,
Rakotozafy,MG,d1ee48ec-75cf-4d32-8c2c-ee8eea767945,
Vakoka,MG,64471a82-ff50-4acf-bdb8-54551ac5d8f4,
Lamasy,MG,ce5bdaa8-7e2d-4d3b-a42e-f3b15642ce7a,
Patrice Ratsimbazafy,MG,c5c8e757-0b3d-4ef3-9cd5-33975bdeb123,
Mr Sayda,MG,72f93e52-b9b1-4f60-8a5e-c40b7bf0a202,
Mama Sana,MG,8b3481fc-04c6-4093-9880-8d8c63596ec6,
Apost,MG,a78051c5-476f-47c5-b2c8-6423d40b6577,
Lalatiana,MG,c1b0f4fb-2c0d-4ea5-9efe-765e978bf369,
Tanga,MG,df2d5d65-a37d-4d0b-8ccd-6b22debbf570,
Seheno,MG,cd435ef9-c121-484f-a083-9e05958d8de9,
Gamana,MG,0c724026-7ed5-4658-a96d-4cb298261598,
Storm,MG,28249aa8-faa9-4e04-ba2c-c3b9cdd02644,
Lego,MG,fcae11a2-a08e-4f0a-99e8-62d80f450ea7,
AmbondronA,MG,369b7b4e-4e72-460b-b087-1ee8dd82f3f4,
