name,country,mbid,youtube_channel
Marga Sol,MK,b33f280b-1381-4abd-868e-7e91b80c42f2,
Leb i sol,MK,f655d16d-d23f-44f3-93f9-176e961bcc55,
Калиопи,MK,2d999b5f-fbb0-4ca7-bb0d-9f534c43ca41,
Тоше Проески,MK,a61f8004-ccc9-4154-b45a-f677d5869b46,
Каролина Гочева,MK,6fe98a86-93cf-4e5a-8269-163a117d24d5,
Vlatko Stefanovski,MK,e9d87fc2-2961-4e12-a56e-67fe1f8be2b9,
Egorythmia,MK,71465f45-6f45-4a73-aaf0-a79d736c6222,
Esma Redžepova,MK,903123a5-f9b0-4cac-aece-747cf0dad732,
Кочани Оркестар,MK,6427d4bb-1a78-4b6f-b222-514cee62df58,
Veljanov,MK,ca5f0d86-7056-4222-a6cb-f8ea87dabf74,
Goch,MK,e30805ea-4a31-4f30-9b22-2ccf711b8854,
𝙻𝙰𝚆𝙵𝚄𝙻 𝙲𝙷𝙰𝙾𝚃𝙸𝙲,MK,32d06f3b-f9f8-4ea6-a836-58beccde08bb,
Kiril Džajkovski,MK,87d4efc5-c4a8-422b-9f8c-ea94c2eb4d0f,
Usnija Redžepova,MK,1c430b23-5418-4c57-8ad4-cfbd87e5ed6e,
Ареа,MK,2e8c255b-2cc4-4913-afca-601d5a26dc24,
Disease,MK,cc2f8d8e-c8e1-4c1c-8ff6-3f6addde29c4,
Елена Ристеска,MK,0c0b86c2-7b8e-4445-871b-6f797a706fcf,
Spirit Architect,MK,0a026714-c7eb-4070-ba8e-68f9f701b6e1,
Angel Dimov,MK,307b689c-4eb3-4be4-a769-781790a5e422,
Djantrix,MK,e00ad0cc-73cb-4886-8933-35d711afe8ce,
Yudhisthira,MK,096c85bc-4c9a-4427-b806-133e294e85b2,
Superhiks,MK,3245d5fc-827d-49c2-91f7-97b13b3cc742,
Undone,MK,2e6ce86f-59bf-40c1-84e8-b60ab84edc0e,
Ferus Mustafov,MK,620137c2-9c7d-4769-8b77-f5468bbcb524,
Мизар,MK,44ecccd4-fe22-4b45-b2ed-17920ee0cba5,
Kala,MK,74af13b2-efef-4238-a44a-5b54466a75ce,
Muharem Serbezovski,MK,73711180-483a-4ecf-88bc-360bc4c86b1b,
Fobi,MK,2fbbd51f-d4b4-4c6d-b598-1253d4bff7c5,
FxPxOx,MK,13d894cd-7338-4ea5-ac27-f7f0e74df35a,
ДНК,MK,c9a91007-5a92-4a4e-8ae4-82a3f90823e0,
Dimitar Dodovski,MK,131b61fc-5908-449e-bbb5-04adcf8c5b1b,
Симон Трпчески,MK,c6ff94ae-9f00-422f-8451-99f47f3ab68a,
T.B. Tračeri,MK,b30c1fc8-d0cd-4832-8022-32a8f3ee6bc6,
Atriohm,MK,798e0542-214e-4e61-b4fa-aa4fcb683611,
Tengri,MK,efa2a8be-83ec-4d2f-b8a3-27d555ab5808,
