name,country,mbid,youtube_channel
Amadou & Mariam,ML,1fb60b6c-0f4d-42b4-8a5e-de705ec76660,
Tinariwen,ML,5c98fc12-be83-4246-ae5b-2184192913b9,
Salif Keita,ML,b29a24ff-2c55-437e-867b-1456c9f3f73e,
Toumani Diabaté,ML,b96ba7e7-d882-409a-9825-ed3d6dbb437d,
Ali Farka Touré,ML,9be2a5ac-8201-489b-b5f6-91f958bf9060,
Ballaké Sissoko,ML,da8ac8ac-2155-4baa-8605-973175bab92b,
Oumou Sangaré,ML,2013f3af-51a3-404d-9afc-91b3f277ea4e,
Boubacar Traoré,ML,5cc16125-511c-4669-9e56-651fec2690c3,
Rokia Traoré,ML,900fb180-4427-4e56-a99f-84adb74bd3bd,
Vieux Farka Touré,ML,7682d624-9e0b-45b2-b7d0-d1b18b3ebd05,
Nahawa Doumbia,ML,1d0f0e40-c454-4e3d-92e0-09579fabba1f,
Baba Sissoko,ML,c9ea083c-57f2-4cae-9dc1-d5587c8fbffe,
Rail Band,ML,8d6778f4-f175-4001-b899-93954fb05297,
Fatoumata Diawara,ML,6f5064bb-7dbb-4a44-bac5-04c467394817,
Songhoy Blues,ML,acc25e07-3392-437a-b409-ed73b47f3d59,
Habib Koité & Bamada,ML,0ef55617-7220-457d-9f9b-52131970ae6b,
Afel Bocoum,ML,d09eb662-bd34-4837-9e74-21afcd5373e3,
Mamadou Diabaté,ML,9474aeb4-e013-4ae5-adb9-f28bd83ddca8,
Mamani Keïta,ML,7fa66a12-e4d4-4e1a-9dff-6eceae1c84ca,
Lobi Traoré,ML,a6264df4-e8c4-4d33-908e-0d33d191bc20,
Samba Touré,ML,6ff7aac2-d23d-4b73-a881-4952a3fc8377,
Habib Koité,ML,08cf9600-2671-4a33-b5e5-594bb41e3de5,
Bassekou Kouyaté,ML,101d5966-9854-4257-8aed-8da4ac1070cd,
Tamikrest,ML,57b481d3-b44a-4573-9fce-2c2e21710912,
Issa Bagayogo,ML,090b62e5-b103-4322-99f9-148c9d14e97f,
Inna Modja,ML,23af86de-d70a-4640-bdb1-7998d16d22fb,
Cheick Tidiane Seck,ML,d5998ceb-570b-4bea-9acf-d74bc127b4d4,
Sidiki Diabaté,ML,279a62ed-0b0e-4d2d-834d-7abe276434a5,
Terakaft,ML,ee53d1b9-0a9b-4975-8ab0-1b0c9701e994,
Kandia Kouyaté,ML,c33858a2-b9ca-4a0e-9f2e-227b0de57ab9,
Alkibar Jr.,ML,6a1f4a14-3764-4df7-a3fe-3de13f99ac48,
Djélimady Tounkara,ML,38a2f32e-0304-4851-9807-9d7f84b12851,
Kassé Mady Diabaté,ML,810c160c-8390-4fec-a746-67fabd43f9f8,
Idrissa Soumaoro,ML,34a05541-7ab0-4ca7-8b3c-8c3efafa7cb3,
Les Ambassadeurs Internationaux,ML,c1bb5a2c-cbb8-47ba-88cf-e02a50fe148b,
Sidi Touré,ML,2bb6d037-fc84-4301-832e-d462c13763b8,
Mama Sissoko,ML,c3a2da2a-2a0d-4fa9-90f2-66fa162aa8f4,
Ngoni ba,ML,6cbf28db-ba38-4408-aab4-5e467f84afec,
Aly Keïta,ML,c6415be6-38e4-47e5-812e-85dd95d9d9c0,
Tartit,ML,2c861a0e-59c3-46c5-b488-5209fab74a57,
Toumani Diabaté's Symmetric Orchestra,ML,ca8da504-b281-478b-839c-52f49d85dbf2,
Trio Da Kali,ML,6d1397ee-1d5b-46dc-bcb3-3de1e53ae996,
Abdoulaye Diabaté,ML,a7e9770a-633e-4b84-9fc9-d0421a0a45dd,
Luka Productions,ML,03fcfcd9-f451-47a0-920f-712bac5d0f63,
Ami Koita,ML,075b6969-244a-4af7-8bd3-4605135e7b35,
Sorry Bamba,ML,75643508-e659-4e6d-b15f-15e0bfdb5b9e,
Super Biton de Ségou,ML,3e4d99da-3bef-41c2-9a40-f2c0efa85987,
Soungalo Coulibaly,ML,279f6964-1c92-4227-a00f-b6f35fad6e7d,
Balla Tounkara,ML,9c1e7c5c-a247-4acf-9d71-7b6101f0d302,
Super Djata Band,ML,8a41bd13-926d-40a8-88be-bcd27f58d74c,
Zani Diabaté,ML,d2e453ae-4ea0-4ff3-8348-55868468cd86,
Adama Yalomba,ML,c344dccb-ae57-4856-9a0f-6695413dd85a,
Bishob,ML,aa8d6a64-bb37-49d9-9beb-d4601bce0f4a,
Amanar,ML,5828cffd-7f62-4097-b978-c7f3b6ca05c7,
Baba Salah,ML,6cab10de-9971-4e06-b274-3f5b61439fa4,
Pamela Badjogo,ML,cbabfb37-b1f2-463c-a8a7-3995b92d426d,
Bako Dagnon,ML,c21789c7-cb3b-4191-a0f3-e0084da9ca73,
Maravillas de Mali,ML,61bc27cb-5269-4e70-b9be-d838ab69f736,
Ramata Diakité,ML,5da2b620-e924-4f61-9c35-ff4ba922bd70,
Ensemble instrumental du Mali,ML,243192ef-acbe-4d79-92d8-c0629e0860d9,
Neba Solo,ML,94ceb092-b50a-4155-8228-0965459f0016,
Kerfala Kanté,ML,2f92cdac-ba24-476c-97b4-bafd771676ed,
Lansiné Kouyaté,ML,c732ff75-3e5f-4bec-9606-3224afed9a5d,
SMOD,ML,2bae648a-240b-4acd-884c-547b1ad56f80,
Mamadou Sidibé,ML,23b15603-36d8-4683-bc06-68231e04a637,
Awa Poulo,ML,ed41bbb6-0369-4e79-a16e-6845bc579788,
Dogon,ML,b6e87335-8a87-4867-90e0-5eea3d5eeee0,
Kélétigui Diabaté,ML,fd9e57f8-8dcc-4f65-be8b-fa3b9c8e04ee,
Oumar Konaté,ML,a498fabe-4e84-4fa5-9f4b-65d3834eeff5,
Djeneba Seck,ML,75167823-45c7-46fe-bf6f-65c96b69925f,
Khaira Arby,ML,fe2b47cf-ae12-47d5-9b42-66aaa996464c,
Pédro Kouyaté,ML,b88077ba-e4cb-4113-b898-96a21ee594e0,
Sidiki Diabaté,ML,76e813cc-7134-4211-8750-aae013b8dbb3,
Amy Sacko,ML,9fd8d79f-c43b-405b-99f4-6bc4f9add6ef,
Ben Zabo,ML,2fa4c823-02e8-48b4-9640-f51dbeebefea,
Les Ambassadeurs Du Motel De Bamako,ML,cf9c981e-588b-46f6-b72b-3fe6b13cb945,
Les Ambassadeurs du Motel,ML,b6461afd-6d23-44aa-a44a-cc02b076de36,
Bloffou,ML,1c527da0-8bcd-42c2-8a17-c5be6647d7ba,
Samba Diabaté,ML,dcb9a94e-dd7e-43e9-9f91-c518b336f5b5,
Madou Sidiki Diabaté,ML,94c9e8c6-b8c5-44f5-9de7-cda9476792c5,
Bamba Wassoulou Groove,ML,03d1b0be-9d21-440d-8487-4b8c3f09c09b,
Nabintou Diakité,ML,61bfd780-bdd0-4728-9ce8-b5ead53ad099,
Harouna Samake,ML,71a9ec8e-c367-4285-8094-32a0c2a794e1,
Sali Sidibé,ML,f209e493-aaf9-4ebb-bb1d-8585bc49cc90,
Supreme Talent Show,ML,65b47f3f-341c-4928-9dff-1e3cc87f9f1a,
Tata Bambo Kouyate,ML,7ece0e89-6f6b-4c33-8f60-59e5abeec3bb,
Ibrahim Hamma Dicko,ML,7e04c467-05ae-45d3-b615-12579c18bb9b,
Babani Koné,ML,9a1cca99-be62-43ce-bb16-9d5391a24ae0,
Mamadou Kelly,ML,007a8836-15b9-4e9e-997f-e783c75fa620,
Lessazo,ML,133b89dc-e3e9-466f-99a3-e6c0b28d8d3d,
Djénéba & Fousco,ML,9c9709d9-1875-46c7-97dd-852a1164c466,
Mah Damba,ML,b290bafc-b24c-4b82-a4e3-b4842ef4e564,
Bamakò - Fòli,ML,45a2242c-6d32-4108-8054-63d26e9d9f3e,
The Lobi Traore Group,ML,3d8506e9-4d14-4084-b605-b05461c69fe5,
Bajourou,ML,0121e0f4-48e4-4887-a9ac-dbde864581cd,
N'Gou Bagayoko,ML,19ff72a3-51f0-4d2e-b186-8fb9f67603ea,
Moustafa Kouyaté,ML,dbdbdac7-dc96-4a8c-a149-76c17ef63417,
MC Waraba,ML,763f5b8f-33ad-4d65-ac30-f7d8ce232bd0,
Moriba Koïta,ML,7368436e-c9b1-432b-a215-7587c8296bfe,
Djelimady Sissoko,ML,3027d20f-7141-4b96-9c3b-0c7bb47878bb,
Jeli Moussa Sissoko,ML,761e2b98-b73c-47d3-b83b-6e4e5fc95900,
Baba Sissoko Ensemble,ML,c3c9713e-928a-4e90-9cc8-10d03b3bc3b2,
Hamma Sankaré,ML,09b7833a-9d8e-4146-b219-8749ba111da3,
Bounaly,ML,1f241361-f9bd-4610-894e-5b81639412b2,
Solomane Doumbia,ML,962c4924-eb9d-4cbc-8361-83aa0b4b702e,
Adama Diabate,ML,f4802d05-7a7d-40e3-ba61-e3126e18170a,
Les Espoirs du Mali,ML,4248b1e6-ac62-410c-9ea0-692695734f6f,
Djeneba Diakite,ML,3cd1728b-49ad-4d08-8aed-dbd9f55ec128,
Yaya Diallo,ML,9be42e7b-1358-4aa0-9e4f-7fc14a0e58c8,
L’Orchestre national “A” de la république du Mali,ML,2ce40c8e-aa88-414b-844f-571121d08794,
Super Tentemba Jazz,ML,9eb5c790-ef19-46d5-b5e9-87ef9f020934,
DJ Diaki,ML,b3ca39c6-a42d-45da-adc9-92afcd09da01,
Donké,ML,c52af9a1-2783-4999-a016-e913bcea433b,
Saïd ag Ayad,ML,db9004fa-a05c-4d7c-9528-ff0548584559,
Batrou Sekou Kouyaté,ML,9996ff6e-aa8b-4f09-b84f-821842f7f267,
Makan Badjé Tounkara,ML,bcc5efa0-a822-4157-92f2-266a4c52446b,
Bassi Kouyaté,ML,9a3a9308-304c-406f-989e-47d9c60c61c5,
Leila Gobi,ML,23b15214-5217-4ad8-88f1-3568a8eaca5f,
Yakaré Diabaté,ML,d32a9b9d-ed81-4943-9fb1-5f44100c6e16,
Djana Sissoko,ML,54a9622b-e491-41ca-8aaa-41218fcb93d1,
Méléké Thiathio,ML,dd539ca0-27ee-48fb-97f7-86464005ae69,
Nfaly Diakité,ML,e58065ea-2fb2-44bc-a3bd-f3025f96ef4a,
Phenomeno,ML,3bfb65eb-15b5-4220-ad82-293e36a21fe0,
The Frikyiwa Family,ML,62dd8d25-abba-40c0-8f65-6b38bda0c8b4,
Djibril Diabate,ML,765cfdef-95f6-4e7b-ba0a-32c27d53344e,
Ousmane Sacko,ML,77107b57-2ef0-431e-9cdb-efc565255944,
Sibiri Samaké,ML,5908b420-57c4-49ca-ba07-66565d17e9e2,
