name,country,mbid,youtube_channel
Хурд,MN,1edf11d2-c1df-4547-8433-318772e34fb3,
The HU,MN,8601a656-4830-457c-a3f1-f25b105d1629,
Altan Urag,MN,19063f26-ad08-4473-a1a9-2ce8eca902c5,
Egschiglen,MN,bfe66bc8-623d-495d-8dec-f79dff5d3a34,
Sedaa,MN,bce7d683-913c-4b67-8efb-fbdc9bd546ae,
Намжилын Норовбанзад,MN,6997b836-823c-4699-8960-f8e282ab5708,
Хөсөгтөн хамтлаг,MN,0bac491a-ab0e-404d-9bfc-8258f92bd0db,
Дашдоржийн Цэрэндаваа,MN,06e30b6e-ac98-4c2d-88fb-3f7de6f847f8,
Nisvanis,MN,04c09b3e-47b8-4ebe-a3fa-37c7d0148716,
Wondha Mountain,MN,d8e95aae-37fa-4e41-92ea-44742ac1851e,
Hosoo,MN,ffbe8d3c-a8aa-4b92-9a42-b21ccd927ccd,
Uuhai,MN,b7b1e69d-a802-4369-8eb5-2ab9253cf508,
Batzorig Vaanchig,MN,eea39605-c680-41f4-b1a8-bb12735c2608,
Гэндэнпилийн Явгаан,MN,bbc7ed4c-a688-434a-a17f-2a253681f9df,
Tsagaan Sar,MN,821a932a-df57-4101-9fdb-3eef81c19c03,
Melodies of the Steppes,MN,327f6fcc-f81c-4446-8bd0-70bf6295cc9d,
Mohanik,MN,f90ac2c1-c0d7-4114-b587-1bc784fed828,
Lumino,MN,c9e26fe8-5fb6-4fc4-b919-639912081302,
Соёл Эрдэнэ,MN,29441734-0624-4b4d-9248-9b369ed1be03,
Growl of Clown,MN,c8a55bd5-c702-481b-9a71-f93bce3ffba0,
Аравт,MN,ced36013-bb72-480e-a9f0-d6776c420388,
okkulte,MN,22a59c52-b48f-4bc4-a561-95acda46d23f,
Talyn Duulal,MN,99340a3a-3c43-4e8c-883f-575863eca6d4,
Dangaa Khosbayar,MN,03292e26-9271-4c0f-b6a4-a71f330fc7c8,
ᠠᠯᠲᠠᠢ ᠬᠠᠶᠢᠷᠬᠠᠨ,MN,3463ca01-07d7-42f6-8a72-0b42c881e16f,
Altaï Khangaï,MN,86cc2535-06d0-4a6f-ade1-d3fcd6e6da7c,
Hasluu Yulong,MN,e826395c-4d7b-4934-b7a4-cd1c1e452c56,
Céline Dessberg,MN,1aff215e-d144-4bc8-888d-20d6e7e01611,
Цэндийн Батчулуун,MN,146137d1-a935-4800-a635-d265f0db9343,
Dörvön Berkh,MN,034d1373-91a1-49bf-ace2-a24d2b24ed5f,
Morin Khuur Ensemble,MN,a65495e9-cf39-4e49-99ac-30699003f3ef,
Battumur Baasandorj,MN,c42b6fec-e6ed-46b0-a327-f07f78c0ebd7,
Ginjin,MN,ac4c2497-3028-4d1c-962f-883ef7126423,
The Grasslands Ensemble,MN,74145276-c384-4513-8e0c-f6f1466dde70,
Fire,MN,b736df8b-51bd-4aac-8b37-610f40e512e4,
Togtooliin Chagdarjav,MN,338d3a18-609e-419c-956c-5e29aa95c3b1,
A-Sound,MN,f99d0875-dda1-4fe5-aa7d-b32d720a24ff,
Т. Баясгалан,MN,b3924596-f065-4309-a3ea-523305a0e119,
Doljin Enhtaivan,MN,bc5ecdb0-13e1-49da-ad94-8dbd6e8a4c44,
Хар сарнай,MN,ae371ee3-4cf1-4a0b-92ba-7855e998915f,
Flash,MN,0d426a44-0320-4e45-a4ec-b8fe77fb5002,
Zagasan Shireet Tamga,MN,e70456b6-159d-46fe-af21-59769cc1893b,
Ensemble Khan Bogd,MN,a7211d57-7586-4880-a56f-88bbbf0f15e4,
Domog,MN,26b8a4da-ded7-4b1c-ae80-f4f92862af55,
Cuthberth,MN,6cba9c5f-eb3b-45fc-815c-112a380edf65,
Tsegmid Gerelmaa,MN,0da4e7d2-ab2d-4613-a699-d82707dfe4c9,
Davaajargal Tsaschikher,MN,05020c5f-56b3-408a-a24c-ea48ef89138d,
Chinbaa,MN,53bea4c0-bf97-49bf-bc84-e000418bb921,
Guren,MN,483b294d-831a-4b65-832c-f37e3b87c0d4,
Namuuna,MN,e479b2e7-9510-4f1c-b4c8-22a46c214655,
Ethnic Zorigoo,MN,15a8e694-bcfa-4f5d-a3e4-d39ca1bdf8eb,
Karmantic,MN,cf126f37-728f-4b00-babe-e6cf6fca9e14,
Таравжавын Ганболд,MN,0d85aca9-1086-4b71-af12-e824307658ce,
Davaidasha,MN,cc57b45a-1724-4687-b449-d849bced4910,
The Seismic Waves,MN,e36481fa-24da-41c5-b057-029b6a6af34c,
Gurddrj Gantuya,MN,8afa51e1-89eb-42fd-89be-896e65e01726,
Dashnym Enhtuya,MN,9a7330ba-df02-48b6-80f1-87ca37a50fd5,
Аясын Салхи,MN,7d365dfe-568e-403c-8a6a-5b981d326e15,
Khalkha,MN,9aa0efbc-26a5-401d-8f24-87f89c385025,
Gombodorj Byambajargal,MN,1956d979-9f89-4526-867c-fc2f141dc23e,
Dawaasambuu,MN,6ab066bd-3eba-4286-9fa7-b1d95c5d4389,
Torgut,MN,0ba82ec9-aa3b-4602-b682-7b7dd277c5d8,
Үндэсний Дуу Бүжгийн Эрдмийн Чуулга,MN,506c62f5-7f3d-4413-bede-35e50c7e07c2,
Баатаржав Болд-Эрдэнэ,MN,3885224a-15eb-4aae-805a-6c9d1ca2b9d7,
Udungua,MN,1d995148-bc3e-4f41-8489-f74abe3ecfdd,
Lil Thug E,MN,11d40b44-5e5b-4727-939d-834e8cdf5187,
Araatan,MN,c4fa7486-8b6b-46d1-b436-dbc6df6f5165,
Enguun,MN,6789ff1f-3056-4ed0-9c5c-95f5f73d7b8d,
Batbayar,MN,841ff823-c545-4502-8466-b7bdab3d7920,
Čimeg,MN,360f92c4-41a3-45b2-8a2b-6b30f68292b5,
Darsüren,MN,91ff42d4-3f68-4e64-8c7c-6867350ad443,
Kabuki Jo,MN,2eaa15d1-19db-402e-8731-5f1a4ebcefeb,
Doljingiin Enxtaivan,MN,ae3c545f-155c-4aff-94cb-ff5d55f6fa7c,
Gerelsogt,MN,ebd4cc96-03b8-42ff-aa13-bda1a389efd2,
Бямбасүрэнгийн Шарав,MN,8dc39361-ea4f-4a28-ab57-3fbff512c85c,
Dovchinsuren,MN,de3aac35-2c7b-4e94-bd80-3920aa0ff869,
N. Jambaljamts,MN,3868070e-f829-480b-9e6c-99ca9f226373,
Tserindorj,MN,05657617-6c69-4252-9bb3-c30390e7d499,
Dorj Dawa,MN,5091c97c-ba02-4bef-93d1-c09624bebf8d,
Энхбаатар Баатаржавын,MN,caf2bf2d-c400-4a55-be13-239b7c6e4c17,
Dorǰirinčing,MN,5418edff-b32f-45ef-a18e-4144fbfeb6b7,
Jumajan Uli Seit,MN,628bfbb0-03e2-4eb3-bd67-5f3612db67ec,
Danzan,MN,77cdc56d-808d-41b0-a652-d745856a9a4c,
Enkhtayvan,MN,4cda0280-d912-41b2-b129-acf84312f095,
Oyuntsimeg,MN,0cc59f21-8cce-4e68-afb6-636839430857,
Tsolmaa,MN,b7267d9b-b933-4e73-96dc-4a455ef92614,
"Chimudon, Mashibato and Togus Ziguradan",MN,cb478b9a-0c96-4a05-a34b-819577953651,
Khurelbaatar,MN,fd891fc5-595d-40b2-8eaf-9334f71f406c,
Davaatav,MN,e58ff1a2-3fe7-46e1-b6b0-68e783a0424f,
Batsükh Dorj,MN,572998a0-78ed-4f4e-8146-23677c76f4cc,
D.Zhantsanchoy,MN,1cd48161-76f1-45a6-83ba-00ec2bc35014,
Alimbi Tsedev,MN,1f12c7c5-fc52-4239-ad2d-baaf77a04fc6,
Bedel Uli Aigan,MN,5cacb781-f140-47b8-b68d-71905128adb3,
Diuvmipjdiart Tsevooravdan,MN,91abc8a8-a613-4e52-8268-14394b00889d,
Loutbaten Boiourgtslooun,MN,cc7680d1-85ff-412f-ac0b-f42f14d665c6,
Kumakhan Uli Kelek,MN,9deac958-f478-45f7-bc7d-24ca85801ac1,
Shinebajar,MN,e00821fc-bac3-4b43-8035-f0674e661493,
Zakhchin,MN,4ecf4a1f-d09c-49de-94f4-c650a019f189,
Dashdory,MN,95e74cfe-1c77-421e-94f3-5957375fd62e,
baatarfly,MN,9450f24f-06a8-4104-9216-5deea3956ed9,
baatarfly,MN,9450f24f-06a8-4104-9216-5deea3956ed9,
Batsükh Dorj,MN,572998a0-78ed-4f4e-8146-23677c76f4cc,
Se Enkhbayar,MN,450e94ac-c1bd-4cec-881e-6715e0b06674,
Twinpearly,MN,2ddde4e4-30f3-4754-9084-7510ae12a609,
Baterdene,MN,aee87708-9e73-4fea-91f4-d2a3ebc2aed8,
Kelek Kumaqay-olu,MN,6f656b2a-40e4-4712-8c20-892b8edfb729,
Naran,MN,cdc1b11f-08cd-48c3-9f24-4db1c060b3da,
NMN,MN,0c9552a4-e337-4bc5-bbf2-28083b38e484,
Maraljingoo,MN,b1bacae7-57a0-4af5-be24-9e846f99491b,
Luvsanjambyn Mördorj,MN,b7786e1d-6115-434b-9f02-13c5939e0258,
RAWA Ulaan Baatar,MN,87f7285d-2705-46f9-920c-658340026d97,
L. Murdorj,MN,1d50a340-52ed-408e-aad1-02ecd7090847,
D. Purewdorj,MN,d0b8defd-5857-4cba-a382-e50a166e23a0,
The C,MN,2c17ba40-40bb-4e33-ae2a-0f5591cca276,
Гэцэл Шинэнгийн,MN,69bfa7bb-ba4b-4b60-8309-c56e273192ca,
Ariunbaatar Ganbaatar,MN,44681b36-3022-4ef6-9d3c-09ac72b42bce,
Temka,MN,b4f09de7-11f1-4a87-8c7b-f9bb9d55673b,
Gala,MN,f2b2cf68-3265-470a-9578-39f1b9d321d1,
Enkush,MN,b70c5f53-6691-4075-93d1-2fc9526e770c,
Jaya,MN,c3dc2f40-b0bb-4416-91da-b6c183ad20c8,
Dashka,MN,a887eb20-bc1d-48ea-8e55-4b4df7137625,
Erdenebat Batmyagmar,MN,3fd13897-c2b6-4bb5-8532-c4253da44d0c,
Bold,MN,e8c1ef79-7e72-4c1e-afff-24392e49c3b0,
アルタンゲレリーン・ツェデンイシ,MN,14b11981-ff4b-49f0-8e89-377f1dd6a44b,
Orgil,MN,b00fd1e0-874c-44ac-b2c4-f7e17f32ab9c,
Уламбаярын Бямбажав,MN,bead9e5c-a9f9-437b-a7ae-a8448b688682,
