name,country,mbid,youtube_channel
Yondani Butt,MO,a6e0b905-ca20-43ef-99f9-10d674b2593b,
Achun,MO,145f3db4-c4dc-43fb-a75a-5f4e86f72b26,
Macao Orchestra,MO,08636840-81f7-4041-a447-3bd0887f573f,
梁洛施,MO,6425c9db-b321-4eb2-a1df-946d46acea6c,
WhyOceans,MO,36c1180e-5af4-40b9-ad29-dd5147e73b89,
Turtle Giant,MO,8801bfdf-eb81-4184-8b20-be8bba99fc8e,
Daze in White,MO,17d269b4-8e94-418b-9a95-8cd0ff3a89b4,
The Thunders,MO,5fd7050a-f418-4d02-b011-c6801fc3853d,
A Outra Banda,MO,8d7fd057-fe1f-431c-ad0d-91e9f3250d00,
Macao Youth Choir,MO,b770a7a2-4d20-416f-bc7a-da13893433c9,
ユリア★,MO,4e3aae7f-c896-4725-a2c2-92f004f154c4,
麥健才,MO,3d6af48d-b734-4266-bee3-9419ed7c6876,
Lio Kuokman,MO,9338378d-32ac-43ca-a98d-9f1c98721fbf,
陳慧敏,MO,b73a24ec-5c98-4578-a359-c823b0c6fe53,
e:ch,MO,fbb55aab-c741-484e-82a9-ed009f33fbcb,
C-Plus,MO,33f34963-4c44-4607-aea4-4e5d0b323f1a,
彭永琛,MO,abce6d18-6283-4db5-9506-263264e5a1ab,
秋莉蓮,MO,6a4f34cb-f876-456c-a5a2-f82794494f93,
Forget the G,MO,01f6f73e-99d0-448a-8540-948368d5906b,
O.R.S.L.O.,MO,d8080479-cb50-4801-a59e-acc1d62b1fed,
鍾楚霖,MO,ae7efca9-e377-44e8-981f-9cb4ff35caef,
倪力,MO,a290ac78-a030-403c-849c-0670a82deb39,
杜澤誠,MO,56e1c24c-edee-44da-9227-8e7bc2a3a84f,
莫兆忠,MO,1a8f9610-cb01-4a8e-bea1-225eedd8d5bc,
何嘉榮,MO,f9919bf1-d594-4bc4-acb7-991cd78974c7,
黃均鎏,MO,d13354df-049e-4f6c-ac0b-98e696baa3ae,
是非,MO,020e233e-8a99-48fa-88c4-8fda29e49efa,
Cancer Game,MO,cc57b950-9a0a-41d9-9a08-9d328daf93d4,
青原FIDA,MO,9222ea81-f04b-4df8-9285-49c835138564,
Free Yoga Mats,MO,34aa42fd-3b1c-45f2-a5cf-fd12ad8f41a7,
Eric Chan,MO,df95b825-4dd9-49f5-97c9-1d7727d85541,
李峻一,MO,6a3a3ca5-0f28-47c4-a27a-9615b8890095,
Blademark,MO,bdea5ed2-2ed5-4f1a-a97f-9946588bef71,
雷濠權,MO,373c4758-3428-41b6-9359-c645ad3e52df,
Ari Calangi,MO,e5c789d6-fd1e-41c9-a2ea-7baa167064c1,
吳國恩,MO,2bf86dc2-3273-467f-8407-1887e25e9eb5,
Hoi Leong Cheong,MO,0bfd2cd6-efd1-4172-abe9-24282db95ae2,
