name,country,mbid,youtube_channel
Philippe Lavil,MQ,3e040341-d8a7-42a5-9149-439e5296bf26,
Dédé Saint-Prix,MQ,9bad4167-0612-4d29-827c-15f379cb4237,
Kali,MQ,49d1cff4-82f7-4f12-9a72-7ad482a8e979,
Jocelyne Béroard,MQ,21c48caf-4d15-4541-b7d3-103117c6db0b,
Perle Lama,MQ,3fe6cbcb-7fa3-4767-81f1-d3e424eff6cf,
Henri Guédon,MQ,f47602cd-b6fd-4ef1-b8ad-97accadc2b4b,
Jean-Philippe Marthély,MQ,25d17e6c-8511-4b86-8587-42f8a0bc9d38,
X-Man,MQ,c4d89f91-6a83-48e1-ad5f-ae13cc0d7ea5,
Ralph Thamar,MQ,dcf8d1d3-f34f-4a74-b2b6-20f5044c22e7,
David Martial,MQ,523d5e53-7832-4139-a704-e241a6653c7f,
Typical féfé,MQ,08bec6d2-d9ea-487c-95ac-559df0467f84,
Eugène Mona,MQ,e090289d-4ae4-432f-b848-0c585c4d0989,
Saël,MQ,b731b455-4344-4c55-af8e-b2e6fcd830ad,
DDK,MQ,04fe0859-50d7-40fa-b9e3-3dc7b0f3be0c,
Straïka D,MQ,2c7a2e57-db59-4f19-b99d-aaed604b3760,
Black Affairs,MQ,1c50fa3b-7e26-4545-829f-91f4020b9393,
Marius Cultier,MQ,4624f96f-0dfe-48eb-a855-c4ab6f7f2b18,
Jean-Claude Naimro,MQ,e8043a72-b554-4862-9681-22bfa5222c1d,
Éric Virgal,MQ,6d6e0005-f976-4b8e-a367-0b8d7d8818c4,
Jean-Michel Cabrimol & La Mafia,MQ,12860c2a-dab7-42ff-a13b-4f8b0d98de3b,
Alphonso et son orchestre typique antillais,MQ,699f4e61-94d5-4b68-be4f-1472ff15bb1e,
Pier' Rosier et son Groupe Gazoline,MQ,89715efe-154a-47c2-b4e6-e6e01e7b4e2b,
Ronald Rubinel,MQ,c59f46ae-cffd-435a-94fd-f04e175ea25a,
Les Léopards,MQ,98342121-f082-49d8-a797-370a05d2a81c,
Djamatik,MQ,142e1254-f37b-47de-8dda-2e578089a728,
Tony Chasseur,MQ,982dd290-45d2-44cf-9ad0-413c35850c5b,
Maureen,MQ,c3aff0da-1330-4068-b84f-c8e1370f58d2,
Pierre Louiss,MQ,ed99a540-9069-4f89-addf-f8fc9911f05b,
Watabwi,MQ,b0225d11-4ff4-4fe0-a701-4dea1344d5b1,
Joby Bernabé,MQ,ebf165e0-fcef-404a-a977-d19274b68820,
Bago,MQ,722b8d95-02de-4bf8-b3d6-e70eed496b73,
Wapa Sakitanou,MQ,c6455d68-9290-4e4c-980e-2b99fcdfc33d,
Super 9,MQ,31122877-001d-4f70-9d6c-18d1fc3cebfb,
Fitzroy Williams,MQ,9aecdf19-2b3e-42fe-83ca-6cb4cb8eb785,
Chorale du François,MQ,5e979fe4-2133-4dff-90b4-8fe9a57e35e9,
L'Ensemble Abricot,MQ,65577ef7-7fcd-4238-ad22-9b069717f198,
Steven Morris,MQ,9935f014-f92f-4bc4-9bde-604172439d6a,
Raphaël Toiné,MQ,3923aa50-8e0c-4d56-af5a-95672b7815f0,
Charly Trio,MQ,34f636c3-bd6f-4389-9151-28dd8315e22a,
Bwakoré,MQ,750b973d-2906-49f2-bc6e-cecf57da2c9d,
Fal Frett,MQ,a641b2c7-a9a4-4422-8be9-766918a5b5be,
Orchestre “Tagada-Biguine” de Alexandre Stellio,MQ,28bb8dd6-5d16-4b31-a6dc-774a63ca1d5b,
Emmanuel Casérus,MQ,36412af7-feaf-4ad3-9ea8-78c6a8de6847,
Rody Cereyon,MQ,46bf5dee-4677-4120-b43c-9192c6d2803f,
Simon Jurad,MQ,4899ac39-9bec-41a6-9187-2b6f75636a77,
Vincent Ozier-Lafontaine,MQ,9dde4f84-bc6c-49a7-a052-ab15329fb2d1,
Léon Sainte-Rose,MQ,618ae279-17c7-4486-bcc2-6eccbba48932,
Salomon Clovis Ruffin,MQ,e0e37a03-a3e9-4e71-b2e5-7f87f70dc91b,
Sista Milka,MQ,7ddbcff1-ffaf-4a99-b9b4-f9099801c88b,
Selecta Martinique,MQ,685cb237-d2cc-49b8-9df1-da08b6c90370,
