name,country,mbid,youtube_channel
Noura Mint Seymali,MR,5fe8cdd0-e642-43f7-9138-fe5c707ddc38,
Malouma,MR,64018a63-ebd5-47e9-94bb-fc90b8bc68d2,
Dimi Mint Abba,MR,8c7bb863-d74c-478b-ad17-d6a96a8a6f8d,
Siré Camara,MR,c5b40842-72e5-45ec-98e3-09ac6d9aa745,
Khalifa Ould Eide,MR,62c71781-d495-4623-b474-7a991a1b29ab,
Ahmedou Ahmed Lewla,MR,aa9fa958-dca6-499f-a04c-4988f801aa2b,
Jeich Ould Badu,MR,a5b14c24-3f1c-4247-a04f-1d93342ad60d,
Tahra,MR,75fcefba-fdcf-41dd-a139-2aeb37542caa,
Ensemble Diddal Jaalal,MR,d44f254a-134a-465d-99a9-e30c9d5bd0c4,
Ahl Nana,MR,fee9fa0b-e87e-4cc0-b4d7-67053c1b751a,
Veyrouz Mint Seymali,MR,51db44ac-ea07-4558-aa92-c61034f46abf,
Jeiche Ould Chighaly,MR,476cc4e5-a1d8-4ea6-9166-59a91166b750,
Sidibou ould Siyed,MR,d9e4d054-78a5-41e6-950e-9c585ca062c0,
Hussein Moktar,MR,d5d52d8b-c4db-420b-b284-54ae7e8f34e0,
Maitre Ledy Youla,MR,d62b7586-1a26-4ae4-9e14-4442903ccb33,
Idoumou ould Jeich,MR,b35bbbdc-5fdc-4583-8e5e-439ab7d2f9f0,
Sedoum Ehl Aïda,MR,d8f3eb93-050d-493f-a0db-d8b7a84b0d80,
Aïcha Bint Chighaly,MR,66a1d384-4ec7-44bc-b630-89d58f4cd0bb,
Ousmane Hamady Diop,MR,f0bedaf5-7b21-479a-85b4-3f031dc31b43,
Mohamed Taled,MR,7b40a8ab-7276-46db-934e-13f87e6ecedb,
Cheikh ould Mahmoud,MR,8ef16527-33dd-4c58-9589-79d415223ad0,
Troupe Cinquieme,MR,1ab03b3a-0ead-410a-b80a-5ef1bd37c296,
Coulyman,MR,4287f48a-2027-4075-ada9-ca1397ce1190,
Mamadou Tangoudia,MR,fd2fb038-9aef-49df-b64e-c6b972ebe454,
Seymali Ould Hamad Vall,MR,574b1d01-4855-45ee-a857-b4ffec2bb0a8,
Barou Sall,MR,fdb5a610-b51d-431e-a8d9-adc9d0eaafbe,
Garmi Mint Abba,MR,fb52727b-11ab-4340-b027-194ebe898156,
Tartite,MR,d2b8fde4-4ba2-46ce-bce5-77cbd96382ae,
