name,country,mbid,youtube_channel
Robert Babicz,MT,c0c0e16b-91f5-4e6a-bc34-3e80c23c0faf,
Tenishia,MT,90a13444-0707-47d1-bd1d-0423b1b2ccf8,
Sound Synthesis,MT,1c0235a2-9ad2-411e-aa58-b996ad3bb4ce,
Ira Losco,MT,b41116a2-a0ca-4298-93ee-50d42b94afcc,
Capitol K,MT,4fea49f6-3b6b-4381-831e-bdd70a0a0d34,
MANWEL T,MT,1b1add16-3519-4ff9-b5b9-09cbc6684d85,
Joseph Calleja,MT,90e32dd3-6eff-47ed-affb-763dced7bd91,
Fabrizio Faniello,MT,6999592a-50e6-4af6-bbdd-c096316ab803,
Abysmal Torment,MT,7e775ea8-d03b-4327-86a0-1286fc32e496,
Forsaken,MT,ff146b3d-8964-4223-8fdb-9ed12925b6d8,
Saħħar,MT,2af4e59e-4ce7-4359-9cd8-19a524677f3e,
Beangrowers,MT,8655357b-2e9d-4cd8-b652-7cdd6e9a1faf,
Acidulant,MT,1aa905b8-d408-4d4c-a155-9e866c63cf17,
Brodu,MT,4bc6da32-2fbb-4922-bb12-528599c63a49,
Stimulus Timbre,MT,d5fffb79-1b07-4160-9bc9-48d3825f0b5e,
Weeping Silence,MT,a3dbf66b-6592-48aa-a668-5c23c332904c,
grande1899,MT,b20eafe3-5bb4-462d-a049-d8ece34f7c76,
Devil's Breath,MT,8c9da7ea-6e70-427b-9716-2683fcbae31b,
Martyrium,MT,4994370c-8664-4c93-a432-53020672f4c3,
Brikkuni,MT,e2bc2acb-2128-43a7-b65c-a93799f362e0,
Albert Bell's Sacro Sanctus,MT,530907e6-f77b-4a9d-b6fb-afd722a492a9,
Etnika,MT,39849971-c717-480f-baa1-ddfdd27559cb,
Red Electrick,MT,3fcc84b1-1f32-4034-b607-f8335558d208,
Melchior Sultana,MT,b5f727a2-aed8-4efb-b946-b5123f4b72fd,
Acid Synthesis,MT,a3bfe884-2ceb-4c55-9c68-e0ffce641b95,
Juliane Wolf,MT,205aa21e-5613-4605-9c83-dc916bf17608,
Chiara,MT,a2b27666-6c0c-4303-b5c6-5870b77eed19,
Different Strings,MT,da94c1d0-ef39-4a77-a259-3874200a8e18,
Nomad Son,MT,816b8275-e3c3-4a0b-9fcc-7276c3997295,
Sonitus Eco,MT,36481280-671a-45ef-9e64-17ec6affc14e,
The Travellers,MT,570dffca-10bd-4e49-b3f0-10452be9f31e,
Kemic-Al,MT,69c3d687-04cd-4b7a-a113-7b7371176cd6,
Unfit for Purpose,MT,51d602ab-a878-4921-9971-6f2176657937,
Interconnekted,MT,32d1278a-c568-4538-b3da-af55b191f7c0,
INTERNET GOON,MT,3bdcfbfd-7a9f-4e47-8b2e-ea239128d882,
JOON,MT,a15312a5-7ef4-4274-a2c8-56ea9f6b06d4,
Krishna,MT,147ead7b-69e0-417d-ba46-f85069096795,
Ġukulari Ensemble,MT,d58c3827-1e4e-49f4-b1c8-101a381402c5,
Joseph Armani,MT,ee6c211d-a9ef-4b38-9599-6cb07041d946,
Loathe,MT,e9ea0fbc-ccc7-4e98-9290-0a41aa848fa2,
New Cuorey,MT,2996cf92-02fc-4577-a7d4-2dc2e68dbe51,
Chasing Pandora,MT,fb0a5f35-ffa8-428a-949f-45c67bc50b06,
Damaged & Co.,MT,3f3ddb75-644f-40c6-84bb-7e05a21a94a6,
Hearts Beating In Time,MT,0957d537-1b34-4cf0-a031-e1ee972cd4b4,
Scar,MT,0815f764-cf54-4a66-8ce0-aa7a4cad5d79,
nosnow/noalps,MT,0d1d5695-3d75-4b0c-a46a-bcbca9766a2b,
Spin,MT,cebb1897-d94f-4137-8a24-92c87ae5f598,
Cygna,MT,0e44c54f-2d66-48fc-89e5-9cfae203ae86,
Destiny Chukunyere,MT,2b8201ce-7799-4e2c-9cfe-b9b21c55d48d,
Miriam Gauci,MT,58e984bb-d8ea-4d57-852c-358dab08920a,
Kantilena,MT,41963ba8-e5d4-4938-bcc2-ffdc3c5b336b,
Benny Grima,MT,745b8077-2f69-4cf6-8637-1bf5b1436ef6,
Tonia Grima,MT,01e075c7-15b3-4e2e-9985-4c43101ac481,
K.A.R.R,MT,44110259-0940-4005-a11a-456b5bdd09c7,
Charlene Farrugia,MT,d27582f3-ac72-40fc-82b2-30d6ee80f711,
Firelight,MT,3affbfd8-68c8-458f-bf1a-6c1e6b5981d3,
The Shh,MT,6a06f224-84d6-46cd-a511-988eb539ddef,
ManaTapu,MT,9753edbd-3738-4083-b7fe-7ca14653d6e2,
Repugnance,MT,c27e641c-09f3-476c-a38f-709d6492e599,
Aidan,MT,7d3ef926-7257-4fec-8263-922f146a8a76,
Mary Rose Mallia,MT,c02d00e2-4bd4-42d8-929e-ab8fb528c786,
Corkskrew,MT,b7e9efeb-a1ca-46d7-8306-412b52c20c03,
Norm Rejection,MT,94a7bca7-7520-4325-bc3f-74594a9a6f14,
