name,country,mbid,youtube_channel
Cassiya,MU,03575e37-4880-4fd6-bbe0-6a4cfb83ceb4,
Eric Carter,MU,b964f31a-f097-4883-a393-3631e0c1a9cb,
Jean-Claude Gaspard,MU,f77add25-7a56-403d-b8a4-b57acf0285a3,
Ken Zo,MU,d7737c00-7a1b-4f0f-9c12-9ac8784e90e3,
The Prophecy,MU,fedad9e9-af9b-434b-bfa3-e582525edca2,
Racin Seggae,MU,c3995b77-d702-46b3-8d3e-b49fe1f04f07,
Linley Marthe,MU,92d2341c-85cb-4204-97fd-b0d9efd9bd5b,
Kaya,MU,a9d625f3-af2e-4842-8303-9c1523d28711,
Menwar,MU,2c9155fa-6cc3-4ec2-91a6-e1b519b157f5,
Blakkayo,MU,69fe8703-8694-4486-91fb-96e9d890600d,
Lisa Ducasse,MU,efd7aaa0-bff2-4196-8c91-4486d4142cf0,
Jerry Léonide,MU,41aa1a3d-7991-4540-a886-fa09cdca14f7,
Negro Pou La Vi,MU,54863337-94c1-4f5e-ad92-a09ef9c93db4,
The Meme Friends,MU,c0600154-4c94-411c-9d79-05f6d7cabc60,
Denis-Claude Gaspard,MU,bd76d1ed-ea71-4dec-9ad5-0b26e6a998d6,
Vincent Brasse,MU,ad9299b4-56ad-4267-8836-e7929cd34336,
Babani Soundsystem,MU,1f057f9d-35e1-4d82-8700-bf968db5f464,
Bigg Frankii,MU,86ebe4e8-5671-4221-a78c-9773f8f694a2,
Oxygene,MU,0d60c239-5916-44b7-b406-09473b81c562,
Natureland,MU,cfb62266-1a5a-4c95-8571-7461197c7334,
Laura Beg,MU,8d7e37b2-91df-4c12-96ef-612b2959de8c,
Nitish Joganah,MU,169e1b61-b1db-4ba0-aa75-dcec7aaa7851,
Natty Jah,MU,f59efdf0-9ffe-4f70-a81a-986ee85e68c3,
Nefta,MU,63fcb4a4-e99d-4266-a252-de6c2f89fe4a,
Linzy Bacbotte,MU,7596ec5d-0e15-4b3e-97b2-8ad5c3a5db16,
Jackie Carter,MU,2321ee54-986a-4eab-8605-e44542a08724,
John Kenneth Nelson,MU,fe1567a7-f9d4-407a-b368-980cfa0313a3,
ASH,MU,ac1bdf9d-eaae-4afd-a52b-5e75b602b14b,
Ti L'Afrique,MU,788e6140-70f1-42e0-9603-7dd0e3a290e8,
Nash Mafia Blues,MU,f2880947-efe9-4f95-b469-20cbc5ba2208,
Heroes Fall Last,MU,3ccbd055-b976-4f63-8b6f-b82354b1c572,
Claudio Veeraragoo,MU,f1724090-4a90-49bc-aea3-8de23240699b,
ALV1N,MU,205d5eee-5c04-416c-b631-799494db70cc,
Aldo,MU,b6841a9d-8eb8-4348-ae79-fe3f81251dc1,
Didier Clarel,MU,46472da1-fba3-44c2-8210-3937a2f2ec32,
JP Chronic,MU,c384366c-3513-4959-8712-effee864767a,
AVI S,MU,1c5b8852-142a-4497-aa84-e39b8fa85fd8,
Kryztof Geldhof,MU,7462e4dc-ee57-4f5b-b6b8-9145860529b8,
Kwerk,MU,795b4c9d-1d3d-4a5d-87fb-b6bf48139142,
Jacqueline Némorin,MU,789981fd-7d07-47bb-8543-d0c8b58bb66d,
