name,country,mbid,youtube_channel
Zero Degree Atoll,MV,0cc0ed6c-fe3f-4cda-86c7-785fa1f019e9,
Leovēlle,MV,a0f26418-d536-4156-a561-25fed8e49163,
Nothnegal,MV,f86afb91-245e-416d-8782-3f7074a06e8e,
Shahyd Legacy,MV,444ee40d-6d72-44c6-990c-524c4728596c,
1984,MV,27dce90b-7fe6-4bfe-9faa-65577474bbe5,
Shambe,MV,c70a7a14-7c71-4c5f-9393-247677a71fab,
Serenity Dies,MV,b9abe946-564c-4b62-9d97-0d80acaa147a,
Autonomotor,MV,b3c18047-1dc5-4611-a580-e3879cec5f90,
Dhona,MV,14069fb1-111d-4c70-b04c-f34ec1c3d79f,
Shani,MV,96e27b39-8bb9-4a41-b083-65da1ee311bb,
Sadhin Ali,MV,d1590456-2e84-4f4f-a3ec-674b3dee458b,
Shamaam Shareef,MV,5683e086-2a5f-4b1b-97e5-c3601299cc60,
Mohamed Ibrahim,MV,2a722fef-369c-4b91-8d6f-6157e07cb178,
Ahmed Haisham Ali,MV,226252bb-f1b7-466c-b37c-b23cce5ce7ad,
Thasleem Abdul Kareem,MV,a1003b13-5d88-4a33-860f-d24a3ec647cf,
Lujein Abdul Matheen,MV,7b0ceeb7-75c8-4374-95e6-5c97cef112e7,
Ambaa Live,MV,04538aec-6cf1-4019-93d0-2e186c7630ff,
Abdul Raziq Ali,MV,badd26fe-8049-4645-ad46-e17c4cbfd632,
Fini,MV,b81d70c4-dfe9-402a-913a-d40edbe037e7,
Shifaaz Shamoon,MV,20513713-a0ed-4820-b3ac-794a1308afa1,
Sacred Legacy,MV,9f7de8d1-9350-43ea-9cce-d0405baa3fc3,
