name,country,mbid,youtube_channel
Malawi Mouse Boys,MW,44da26e7-bf7f-4d59-9fb9-d2cefbf73a6c,
Zomba Prison Project,MW,0ea9d96e-925b-486b-b8a3-44d5db6555a8,
Black Missionaries,MW,82945de9-856b-4a06-831e-138acd618570,
Street Rat,MW,79e3095b-b045-496d-8b39-aa2e87017009,
Xi,MW,b4f1e03d-b91c-45ba-b8b5-04dab8e97e3d,
Dick Khoza,MW,6d480bb2-41ef-460d-8a94-25e887751628,
Skeffa Chimoto,MW,ede7af9a-6010-47bf-9a7a-de1aa853a2a0,
Faith Mussa,MW,818bcce3-4066-4849-8e45-c91e1d5db93c,
Gasper Nali,MW,c8fde0a6-77fa-4bf7-9229-8903eefd9ee9,
Tigris,MW,7a9dfee8-4c8a-4095-a35f-d6ba719bd578,
Keturah,MW,2fd3d195-7e40-46e7-a0fc-88ee2b381618,
Michael Mountain,MW,251f5508-d506-49f4-a08a-3c164dc4a193,
Peter Uyu Mulangeni,MW,a7b0dea7-978c-4ef7-a40a-e99433f59555,
Danny Kalima,MW,894efb9c-6995-498c-a0a6-47373b1ecafb,
AyCee,MW,a3cf3071-ba77-4a56-86f0-ceb0af3f480d,
Billy Kaunda,MW,1da8f2ca-de06-4191-899e-0360cb245e60,
Neil & the New Vibration,MW,5f58c50c-e3b1-4cd3-a18a-32c307e4716a,
Erik Pilani Paliani,MW,dc44e04d-3f8e-487d-bbd5-8b9300ed6cf1,
Tendai Shaba,MW,d2dcaf0b-b56e-456d-97f8-f392e1c8bfb3,
Alan Namoko,MW,83569867-beb3-4c48-b04e-86ce65e21407,
Chimvu Jazz,MW,999f5fee-d101-4826-8145-9d87c6829482,
Rhanawa,MW,d364bd4c-a83b-4b77-82d3-562d4bd36e11,
Blessings Chisama,MW,071f60dc-d2c3-49fe-90ea-b7afdc59017f,
Sonye,MW,8cefd669-8535-4dea-957d-052a32c36456,
Tay Stixx,MW,deb2523c-cef8-41db-b27c-3a7df401765b,
George Mkandawire,MW,dffc8586-8e04-4606-bd8c-d3c38895c37a,
Allan Ajogi,MW,109155f2-ccd7-422e-aa1e-aa40dca42a7a,
